security_id,market,ticker,end_month,case_id,name
SEDOL:B0LNG76,UK,BIPS,2009-03,SEDOL:3132632,Invesco Bond Income Plus
NAME:european opportunities|ordinary share,UK,EOT,2009-03,SEDOL:3132643,European Opportunities Trust
SEDOL:422002,UK,PCT,2010-02,SEDOL:166399,Polar Capital Technology
SEDOL:263193,UK,BVT,2010-02,SEDOL:3091830,Baronsmead Venture Trust
SEDOL:3142921,UK,LWDB,2010-08,SEDOL:B598LZ1,Law Debenture Corporation
SEDOL:B1DQ647,UK,IGET,2010-08,SEDOL:B59YCM3,Invesco Global Equity Income Trust
NAME:aberdeen asia focus|ordinary share,UK,AAS,2010-11,SEDOL:171315,Aberdeen Asia Focus
SEDOL:791348,UK,BGUK,2012-09,SEDOL:B1XHSL1,Baillie Gifford UK Growth
SEDOL:600756,UK,MTU,2012-12,SEDOL:B0WHX65,Montanaro UK Smaller Companies
SEDOL:B18JK16,UK,JEGI,2013-03,SEDOL:B07V0R2,JPMorgan European Growth & Income
SEDOL:3216473,UK,JEMA,2014-01,NAME:rights and issues|preference,"JPMorgan Emerging Europe, Middle East & Africa"
SEDOL:558167,UK,AATG,2014-08,NAME:private equity investor|ordinary share,Albion Technology & General VCT
SEDOL:906409,UK,TRY,2014-08,SEDOL:B3BVWS4,TR Property Investment Trust
SEDOL:B0DQY35,UK,UEM,2014-08,SEDOL:B3YSKP5,Utilico Emerging Markets Trust
SEDOL:341969,UK,JEDT,2014-09,SEDOL:B1XHV78,JPMorgan European Discovery
SEDOL:B1NPGV1,UK,BHMU,2014-09,SEDOL:B3ZY353,BH Macro
SEDOL:846505,UK,JAM,2014-09,SEDOL:B4XR6J6,JPMorgan American
SEDOL:392105,UK,HGT,2014-10,SEDOL:B1G3RS6,HgCapital Trust
SEDOL:783884,UK,SMT,2014-10,SEDOL:B1GJQ98,Scottish Mortgage Investment Trust
SEDOL:B11V7W9,UK,ALW,2014-11,SEDOL:B5883J0,Alliance Witan
SEDOL:787369,UK,SAIN,2015-06,SEDOL:B1NB0H3,Scottish American
SEDOL:205753,UK,MIG5,2015-07,SEDOL:B7173K9,Maven Income and Growth VCT 5
SEDOL:783613,UK,SST,2015-07,SEDOL:BRJZ8K0,Scottish Oriental Smaller Companies
SEDOL:B17B347,UK,OAP3,2015-08,SEDOL:B53Y133,Octopus Apollo VCT
SEDOL:B0DQY35,UK,UEM,2015-09,SEDOL:636911,Utilico Emerging Markets Trust
SEDOL:B1N4H59,UK,CHIB,2015-09,SEDOL:B00DDT8,CT UK High Income Trust
SEDOL:B1DQ647,UK,IGET,2015-09,SEDOL:B0FXK92,Invesco Global Equity Income Trust
SEDOL:802284,UK,SJG,2015-09,SEDOL:B0FXL33,Schroder Japan Trust
SEDOL:B90J5Z9,UK,TFIF,2015-09,SEDOL:B1NNWQ2,TwentyFour Income Fund
