ticker,month,label,unit,truth,n_matching_labels,matched,nearest_label,nearest_value,nearest_unit,nearest_ratio,split,announcement_id
KIT,2026-06,,,2.0095,0,False,is as follows value date nta per unit,2.0145,dollars,1.002488181139587,learn,03110221
MFF,2026-06,,,4.991,0,False,weekly nta mffadvisesitsgroupweeklyntapershareasatfriday approximates pre tax and,4.214,dollars,0.8443197755960731,learn,03108997
PIC,2026-06,was nta per ordinary share nta before tax,dollars,1.207,2,True,,,,,learn,03109037
PIC,2026-06,nta before tax,dollars,1.207,2,True,,,,,learn,03109037
LSF,2026-06,,,4.317,0,False,per ordinary share f f nta before tax,4.3337,dollars,1.0038684271484828,learn,03108647
PIC,2026-06,,,1.207,0,False,nta before tax,1.202,dollars,0.9958574979287489,learn,03107916
SEC,2026-06,,,2.238,0,False,at estimated nta per share pre tax nta,2.248,dollars,1.0044682752457552,holdout,03107500
MXT,2026-06,,,2.0016,0,False,is as follows value date nta per unit,2.0101,dollars,1.0042466027178258,learn,03107362
PCI,2026-06,at close of business on nta per unit,dollars,1.099,1,True,,,,,holdout,03107308
LSF,2026-06,,,4.317,0,False,per ordinary share f f nta before tax,4.4,dollars,1.0192263145703035,learn,03107093
SEC,2026-06,,,2.238,0,False,nta per share pre tax nta post tax nta,2.279,dollars,1.0183199285075961,holdout,03106616
MXT,2026-06,,,2.0016,0,False,is as follows value date nta per unit,2.0082,dollars,1.0032973621103118,learn,03106512
SET,2026-06,,,1.985,0,False,at estimated nta per share pre tax nta,2.0,dollars,1.0075566750629723,learn,03105593
MOT,2026-06,,,2.1458,0,False,is as follows value date nta per unit,2.1663,dollars,1.0095535464628578,learn,03105496
MEC,2026-06,,,1.6021,0,False,noted below dollars per share estimated nta pre tax,1.541,dollars,0.9618625553960426,learn,03105042
GLS,2026-06,ordinary share nta before tax nta after tax,dollars,1.722,1,True,,,,,learn,03104850
CAM,2026-06,,,0.8225,0,False,nta before tax,0.82,cents,0.9969604863221884,holdout,03104155
RG1,2026-06,,,2.65,0,False,share for regal partners global investments limited was,2.58,dollars,0.9735849056603774,learn,03103993
DJW,2026-06,pre tax nta per share,dollars,3.22,2,True,,,,,learn,03104012
DJW,2026-06,share as at pre tax nta per share,dollars,3.22,2,True,,,,,learn,03104012
SEC,2026-06,,,2.238,0,False,at estimated nta per share pre tax nta,2.259,dollars,1.0093833780160857,holdout,03103816
CD3,2026-06,,,1.58,0,False,unaudited nta value before tax at of,1.57,dollars,0.9936708860759493,learn,03103591
TGF,2026-06,,,3.486,0,False,tgf nta vs share price share price nta,3.5,dollars,1.0040160642570282,holdout,03103570
MXT,2026-06,is as follows value date nta per unit,dollars,2.0016,1,True,,,,,learn,03103234
PIA,2026-06,,,1.3778,0,False,and before tax on unrealised gains and losses,1.3448,cents,0.9760487734068806,holdout,03103068
NSC,2026-06,for the treatment of sleep apnea operating in,cents,0.28,1,True,,,,,holdout,03102974
GLS,2026-06,,,1.722,0,False,ordinary share nta before tax nta after tax,1.6673,dollars,0.9682346109175377,learn,03102957
MOT,2026-06,,,2.1458,0,False,is as follows value date nta per unit,2.1637,dollars,1.0083418771553734,learn,03102782
ALI,2026-06,,,2.75,0,False,unaudited and approximate pre tax nta per share,2.61,dollars,0.9490909090909091,learn,03102314
DJW,2026-06,,,3.22,0,False,pre tax nta per share,3.13,dollars,0.9720496894409937,learn,03102195
