ticker,month,label,unit,truth,n_matching_labels,matched,split,announcement_id,nearest_label,nearest_value,nearest_unit,nearest_ratio
PIC,2026-06,was nta per ordinary share nta before tax,dollars,1.207,2,True,learn,03110440,,,,
PIC,2026-06,nta before tax,dollars,1.207,2,True,learn,03110440,,,,
WQG,2026-06,,,2.178,0,False,learn,03109504,nta before tax,2.12,dollars,0.9733700642791553
LGF,2026-06,,,1.7534,0,False,holdout,03110000,were nta per ordinary share nta before tax,1.7604,dollars,1.003992243640926
MXT,2026-06,,,2.0016,0,False,learn,03108937,is as follows value date nta per unit,2.0115,dollars,1.0049460431654675
TGF,2026-06,,,3.486,0,False,holdout,03108900,estimated nta pre tax,3.31,dollars,0.9495123350545037
SET,2026-06,,,1.985,0,False,learn,03108554,at estimated nta per share pre tax nta,1.973,dollars,0.9939546599496222
FPC,2026-06,,,1.6887,0,False,learn,03108424,fund as at th amount pre tax nta,1.6994,dollars,1.0063362349736484
AIQ,2026-06,,,1.5212,0,False,learn,03108360,entity one managed investment funds limited management fee,1.5,dollars,0.986063633973179
PCI,2026-06,at close of business on nta per unit,dollars,1.099,1,True,holdout,03108290,,,,
MOT,2026-06,,,2.1458,0,False,learn,03107936,is as follows value date nta per unit,2.1677,dollars,1.0102059837822723
PIC,2026-06,,,1.207,0,False,learn,03107412,nta before tax,1.2,dollars,0.9942004971002485
GCI,2026-06,,,2.0051,0,False,learn,03107323,governor macquarie tower farrer place sydney nsw p,2.0,dollars,0.9974564859607999
PIA,2026-06,,,1.3778,0,False,holdout,03107101,and before tax on unrealised gains and losses,1.3565,cents,0.9845405719262593
CIN,2026-06,,,45.82,0,False,learn,03106400,,,,
RF1,2026-06,,,3.67,0,False,learn,03106312,nav per unit of regal investment fund was,3.72,dollars,1.013623978201635
PCI,2026-06,at close of business on nta per unit,dollars,1.099,1,True,holdout,03105841,,,,
MXT,2026-06,,,2.0016,0,False,learn,03105912,is as follows value date nta per unit,2.0078,dollars,1.003097521982414
SEC,2026-06,,,2.238,0,False,holdout,03105967,at estimated nta per share pre tax nta,2.315,dollars,1.0344057193923146
PIC,2026-06,,,1.207,0,False,learn,03106040,nta after tax,1.202,dollars,0.9958574979287489
LSF,2026-06,,,4.317,0,False,learn,03105675,taxes l long short fund limited phone acn,4.18,cents,0.9682649988417882
