code,company_name,sector,discount,market_cap,nta_tr_cagr_3y,nta_tr_cagr_5y
GCI,Gryphon Capital Income Trust,Fixed Income - Australian Dollar,0.03236746296942772,1310.06,0.10450952370082309,0.08848371468682846
SNC,Sandon Capital Investments Limited,Equity - Australia Small/Mid Cap,-0.000693962526023717,107.66,0.21283459725448697,0.08749605528381249
FGX,Future Generation Australia Limited,Equity - Australia,0.02009974308599083,556.02,0.20764185349900502,0.0782429276148689
PIA,Pengana International Equities Limited,Equity - Global,-0.056466831180142174,297.96,0.15904252393415924,0.07693069856351294
MIR,Mirrabooka Investments Limited,Equity - Australia,-0.12411347517730487,564.12,0.16136797908376263,0.07420441157226564
NAC,Naos Ex-50 Opportunities Company Limited,Equity - Australia Small/Mid Cap,-0.028846153846153855,24.04,0.19366701211442355,0.05479776681058017
NCC,Naos Emerging Opportunities Company Limited,Equity - Australia Small/Mid Cap,-0.21276595744680848,33.21,0.17515942182299618,0.04359044870655577
FSI,Flagship Investments Limited,Equity - Australia,-0.22626788036410928,32.58,0.07675305618291409,0.02597472299240585
OEQ,Orion Equities Limited,Equity - Australia,-0.5346558902767573,3.21,0.6576811891022526,0.01924598465462668
ECP,ECP Emerging Growth Limited,Equity - Australia Small/Mid Cap,-0.3568665377176016,11.84,0.08767789854012319,0.00796397106654698
TVL,Touch Ventures Limited,Equity - Global Strategy,-0.4814814814814815,41.79,0.05915219049154935,-0.020971540565407558
TEK,Thorney Technologies Ltd,Equity - Global Strategy,-0.589041095890411,34.64,0.12331825600017214,-0.037228538311281846
BEL,Bentley Capital Limited,Equity - Australia Small/Mid Cap,0.12244897959183665,0.91,,
BHD,Benjamin Hornigold Limited,Equity - Global Strategy,-0.3635077793493635,5.8,,
CDO,Cadence Opportunities Fund Limited,Equity - Global Strategy,-0.001823154056517784,34.99,0.13156246955097572,
DN1,Dominion Income Trust 1,Fixed Income - Australian Dollar,-0.0099930048965724,344.28,,
GLS,L1 Global Long Short Fund Limited,Equity - Global,0.16144018583042974,1117.22,,
KIT,Kapstream Investment Trust,Fixed Income - Global Dollar,-0.044538442398606715,185.01,,
LF1,La Trobe Private Credit Fund,Fixed Income - Global Dollar,-0.06598984771573602,260.41,,
LGF,L1 Gold Fund Limited,Equity - Global Strategy,-0.019048705372419317,914.38,,
MA1,MA Credit Income Trust,Fixed Income - Global Dollar,-0.007345642247369555,553.79,,
MRE,Metrics Real Estate Multi-Strategy Fund,Fixed Income - Australian Dollar,-0.2724841716150851,286.18,,
PCX,Pengana Global Private Credit Trust,Fixed Income - Global Dollar,0.008827238335435084,226.66,,
REV,Revolution Private Credit Income Trust,Fixed Income - Australian Dollar,-0.0056960127910461456,435.09,,
RG1,Regal Partners Global Investments Limited,Equity - Global,-0.10188679245283017,601.11,,
RG8,Regal Asian Investments Limited,Equity - Asia,-0.16969696969696957,365.61,0.5465474110801654,
SET,Solaris Australian Equity Income Plus Limited,Equity - Australia Strategy,0.07304785894206534,202.52,,
UWC,Underwood Capital Limited,Equity - Global Strategy,-0.4772507260406583,10.99,,
WHI,Whitefield Income Limited,Equity - Australia Strategy,0.09090909090909105,416.36,,
WMX,WAM Income Maximiser Limited,Equity - Australia Strategy,0.001616669660499559,329.79,,
