ticker,month,label,unit,truth,n_matching_labels,matched,split,announcement_id,nearest_label,nearest_value,nearest_unit,nearest_ratio
GCI,2026-06,on nta per unit as at,dollars,2.0051,1,True,learn,03110344,,,,
PCI,2026-06,at close of business on nta per unit,dollars,1.099,1,True,holdout,03109506,,,,
OPH,2026-06,vs prior value date cum month end distribution,dollars,3.1428,1,True,learn,03110009,,,,
MIR,2026-06,,,2.82,0,False,learn,03108824,pre tax nta per share,2.77,dollars,0.9822695035460993
KKC,2026-06,,,2.3528,0,False,learn,03108743,previous nta estimate,2.3383,dollars,0.9938371302278137
PIC,2026-06,was nta per ordinary share nta before tax,dollars,1.207,2,True,learn,03108447,,,,
PIC,2026-06,nta before tax,dollars,1.207,2,True,learn,03108447,,,,
LSF,2026-06,,,4.317,0,False,learn,03108072,per ordinary share f f nta before tax,4.3534,dollars,1.0084317813296269
MOT,2026-06,,,2.1458,0,False,learn,03107363,is as follows value date nta per unit,2.167,dollars,1.009879765122565
SEC,2026-06,,,2.238,0,False,holdout,03107012,at estimated nta per share pre tax nta,2.296,dollars,1.0259159964253797
SET,2026-06,,,1.985,0,False,learn,03106608,at estimated nta per share pre tax nta,1.996,dollars,1.0055415617128463
PCI,2026-06,at close of business on nta per unit,dollars,1.099,1,True,holdout,03106435,,,,
DJW,2026-06,,,3.22,0,False,learn,03106295,pre tax nta per share,3.23,dollars,1.0031055900621118
GC1,2026-06,,,0.71,0,False,holdout,03106075,as at are as follows nta nta,0.7079,dollars,0.9970422535211267
GCI,2026-06,,,2.0051,0,False,learn,03105483,governor macquarie tower farrer place sydney nsw p,2.0,dollars,0.9974564859607999
MOT,2026-06,,,2.1458,0,False,learn,03105074,is as follows value date nta per unit,2.1658,dollars,1.0093205331344952
PCI,2026-06,at close of business on nta per unit,dollars,1.099,1,True,holdout,03105022,,,,
GCI,2026-06,,,2.0051,0,False,learn,03104627,governor macquarie tower farrer place sydney nsw p,2.0,dollars,0.9974564859607999
MOT,2026-06,,,2.1458,0,False,learn,03104701,is as follows value date nta per unit,2.1662,dollars,1.009506943797185
SEC,2026-06,,,2.238,0,False,holdout,03104760,at estimated nta per share pre tax nta,2.324,dollars,1.0384271671134941
ALI,2026-06,,,2.75,0,False,learn,03104376,and approximate pre tax nta per share,2.69,dollars,0.9781818181818182
MFF,2026-06,,,4.991,0,False,learn,03104250,nta per shareasatfriday approximates pre tax and,4.115,dollars,0.8244840713283912
