signal,bucket,avg_fwd_return_monthly,cagr,volatility,sharpe,t_stat,win_rate,months,avg_members
absolute_discount,1,0.008596834040798374,0.09236626417502403,0.17267700005182268,0.5974276160613178,1.833301495410583,0.48672566371681414,113,9.973684210526315
absolute_discount,2,0.010112914086536032,0.11425091778402208,0.1558505481894065,0.7786624458384878,2.38944934582543,0.6548672566371682,113,9.535087719298245
absolute_discount,3,0.010862942371624686,0.12542512439956588,0.15063640927393243,0.8653638857153385,2.655506479957253,0.6548672566371682,113,9.359649122807017
absolute_discount,4,0.008374758871908774,0.09584070597240024,0.1308671105801642,0.7679324928729482,2.3565227815211274,0.6283185840707964,113,9.5
absolute_discount,5,0.006637794697287029,0.0752659937905713,0.11641218319590715,0.6842371148851095,2.099690225577965,0.6460176991150443,113,9.596491228070175
absolute_discount,6,0.005406133698306772,0.058822947976271855,0.1218212366052399,0.5325311594882534,1.634156414594574,0.6194690265486725,113,9.333333333333334
absolute_discount,7,0.002968736606257262,0.028957496717574305,0.11717284046241556,0.30403666186204803,0.9329847698137306,0.6371681415929203,113,9.37719298245614
absolute_discount,8,0.004950586638815612,0.05561885363944019,0.10015599449930972,0.5931451228932362,1.8201599851789503,0.6194690265486725,113,9.482456140350877
absolute_discount,9,0.0013458259645792317,0.009298071243962314,0.11620650405134768,0.13897596960506348,0.4264698284000123,0.5575221238938053,113,9.456140350877194
absolute_discount,10,0.0035274751749703906,0.034566365251793574,0.12937632362821871,0.3271827557976149,1.0040122340356614,0.584070796460177,113,9.885964912280702
absolute_discount,1-10 (long-short),0.005069358865827985,,0.1493624810785494,0.40727969936402064,1.2498024226215156,0.5663716814159292,113,
discount_zscore,1,0.015204289817156089,0.18257759705157106,0.1643386265309611,1.1102166402218259,3.040453487835457,0.6666666666666666,90,8.692307692307692
discount_zscore,2,0.005212028412656525,0.05503599211142851,0.13214267028457988,0.47330919541117195,1.2962106150065977,0.6111111111111112,90,8.087912087912088
discount_zscore,3,0.014154568052420857,0.16970495000506047,0.15295768633553755,1.11046931146988,3.041145456546418,0.7222222222222222,90,8.065934065934066
discount_zscore,4,0.01169319897277337,0.13470307649409308,0.16006087834485302,0.8766563642801136,2.400822329483422,0.7,90,8.142857142857142
discount_zscore,5,0.010609222986937832,0.12512800102368193,0.13273559825601863,0.9591298605344651,2.626685300957553,0.6666666666666666,90,8.263736263736265
discount_zscore,6,0.01052215385785009,0.12397259658074655,0.13493237221287582,0.935771336584804,2.5627153485712824,0.6666666666666666,90,7.923076923076923
discount_zscore,7,0.005102934906926808,0.05151999795810114,0.14675491856192246,0.41726178231827926,1.142718452802659,0.6,90,8.065934065934066
discount_zscore,8,0.0029625317099977954,0.027565439462885033,0.12823096298696418,0.277237101647498,0.7592450717484366,0.5888888888888889,90,8.142857142857142
discount_zscore,9,0.0029418765864814814,0.026252531998989692,0.13506211495352016,0.2613798773247899,0.7158182744436025,0.5555555555555556,90,8.021978021978022
discount_zscore,10,0.003300796346347001,0.030097241680373088,0.14106261161194728,0.28079415022548243,0.7689864504699554,0.5555555555555556,90,8.571428571428571
discount_zscore,1-10 (long-short),0.011903493470809084,,0.13195256748913248,1.082524761494113,2.964616154641128,0.6111111111111112,90,
widening_3m,1,0.0067463366727279275,0.0716732705043821,0.15361888828040307,0.5269927479553473,1.5955497799538176,0.5727272727272728,110,9.684684684684685
widening_3m,2,0.008580891514251576,0.09976259130082821,0.12108289198786723,0.85041492221161,2.574759040363772,0.6727272727272727,110,9.234234234234235
widening_3m,3,0.007917496304394004,0.08947756233928805,0.13091118180703296,0.7257589026487866,2.197344198594006,0.6363636363636364,110,9.117117117117116
widening_3m,4,0.00945596077319018,0.10843720707256232,0.1388242402270257,0.8173754748645978,2.474727145904405,0.6727272727272727,110,9.26126126126126
widening_3m,5,0.009139291748167489,0.10690407514046463,0.12320323933520644,0.8901673492498036,2.695115490162194,0.6727272727272727,110,9.315315315315315
widening_3m,6,0.006778562383087786,0.07701700084686247,0.11678742243505051,0.6965026447286385,2.1087664789425022,0.6454545454545455,110,9.063063063063064
widening_3m,7,0.00726237595861649,0.0826311879149344,0.12189694836745206,0.7149359575491028,2.1645761050305703,0.6545454545454545,110,9.117117117117116
widening_3m,8,0.005550878562581333,0.06012491678908605,0.12587095119280198,0.5291971032215824,1.6022237969561908,0.6090909090909091,110,9.26126126126126
widening_3m,9,0.005739220741479221,0.06295285831508646,0.1227832582207479,0.5609123743395896,1.6982465487869234,0.6727272727272727,110,9.135135135135135
widening_3m,10,0.000336604293646877,-0.007304745340604213,0.15042418414704722,0.02685240772064917,0.08129970174379368,0.5545454545454546,110,9.594594594594595
widening_3m,1-10 (long-short),0.006409732379081053,,0.14100225951834375,0.5455003970270852,1.6515844702193772,0.5454545454545454,110,
overshoot,1,0.01483119114713845,0.1754582095282431,0.17381589248238016,1.023924171857316,2.8041318305052414,0.6111111111111112,90,8.571428571428571
overshoot,2,0.009574630705992064,0.10818541939305093,0.14930752064558608,0.7695229816630229,2.10742547787736,0.6666666666666666,90,8.054945054945055
overshoot,3,0.011631761507677248,0.13771117023451884,0.13837188100037295,1.008739182289144,2.7625460238954,0.6888888888888889,90,8.0
overshoot,4,0.01366568309783069,0.16364676854950821,0.14994115490454474,1.0936837006382012,2.99517616807635,0.7222222222222222,90,8.10989010989011
overshoot,5,0.007024704383697091,0.07777757729573098,0.13615864484552498,0.6191046679408515,1.6954879604397493,0.6111111111111112,90,8.197802197802197
overshoot,6,0.005316665525310405,0.057271800472607604,0.12668539715771532,0.5036096324843021,1.3791917794426936,0.6,90,7.868131868131868
overshoot,7,0.011004027106997355,0.12683613720781794,0.15576011925343528,0.8477672328249449,2.3217061846597824,0.6555555555555556,90,8.010989010989011
overshoot,8,0.00460449386428351,0.04877891935792378,0.12150235474891682,0.45475601263517645,1.2454006314069526,0.6333333333333333,90,8.098901098901099
overshoot,9,0.0034986020314417988,0.03192945825016902,0.14168208607980437,0.29631991975085653,0.8115055214283238,0.6111111111111112,90,7.956043956043956
overshoot,10,0.003223081941847442,0.030581588019646055,0.1308432184759536,0.29559792056993284,0.8095282452388629,0.5444444444444444,90,8.527472527472527
overshoot,1-10 (long-short),0.011608109205291008,,0.1404662120132428,0.9916784148088187,2.7158231879087764,0.6111111111111112,90,
