ticker,n,agree,agreement
CD1,19,0,0.0
CD2,19,2,0.1053
GC1,23,4,0.1739
HCF,13,0,0.0
KAT,24,1,0.0417
LSF,22,7,0.3182
RF1,24,11,0.4583
