holding_month,A_absolute_discount_decile,B_absolute_discount_quintile,C_discount_zscore,D_sector_neutral_zscore,E_discount_overshoot,BM_equal_weight_universe,BM_cap_weight_universe,A_absolute_discount_decile_SKIP1M,B_absolute_discount_quintile_SKIP1M,C_discount_zscore_SKIP1M,D_sector_neutral_zscore_SKIP1M,E_discount_overshoot_SKIP1M
2017-02-28,0.021777777777777778,0.012011111111111111,,,,0.007857142857142858,0.005029526679704749,0.020999999999999994,0.015238888888888887,,,
2017-03-31,-0.017099999999999997,0.007372222222222221,,,,0.006453932584269663,0.011773799285961622,-0.034124999999999996,-0.022276470588235293,,,
2017-04-30,-0.051512499999999996,-0.02970588235294118,,,,-0.008129545454545454,-0.004907912077205573,-0.02876666666666667,-0.014222222222222223,,,
2017-05-31,-0.021222222222222222,-0.008305555555555556,,,,0.0026977777777777772,0.010883830413478887,0.002971546874999999,0.0107696613125,,,
2017-06-30,-0.00026695071428571625,0.0027418159375,,,,0.016044512358620693,0.029455837194543286,-0.012975,-0.0009500000000000002,,,
2017-07-31,-0.028624999999999998,-0.000600000000000001,,,,-0.0021489130434782615,-0.009838786103762627,0.025287499999999997,0.017372222222222223,,,
2017-08-31,0.025287499999999997,0.017372222222222223,,,,0.010997849462365594,0.0009078273560935661,0.04151111111111111,0.041978947368421046,,,
2017-09-30,0.03129,0.03146315789473684,,,,0.02762421052631579,0.02439925087484454,0.02908,0.047188888888888884,,,
2017-10-31,0.02913333333333333,0.04683157894736842,,,,0.019731818181818177,0.0189029342729609,0.007533333333333334,0.018131578947368422,,,
2017-11-30,0.02716666666666667,0.02174444444444444,,,,0.016429545454545454,0.015657335398809185,-0.008511111111111108,-0.011049999999999999,,,
2017-12-31,-0.008511111111111112,-0.006283333333333333,,,,-0.00011758241758241567,0.012401489742571655,-0.014762499999999994,-0.019470588235294118,,,
2018-01-31,-0.0077,-0.0006222222222222228,,,,-0.008969565217391305,-0.015606626569097734,0.003137499999999996,-0.01686111111111111,,,
2018-02-28,0.024914285714285708,-0.0222,,,,-0.018690000000000005,-0.02175032589134957,0.04957777777777777,0.02728333333333333,,,
2018-03-31,0.046700000000000005,0.022889473684210526,,,,0.005459139784946237,-0.00020819673587594184,-0.02325,0.003655555555555555,,,
2018-04-30,-0.005860000000000001,-0.0008105263157894752,,,,-0.010417021276595743,0.006236863388823174,-0.03631111111111111,-0.013416666666666667,,,
2018-05-31,-0.016866666666666665,-0.01083888888888889,,,,-0.0035372340425531917,0.014825066975189276,0.00658613633333334,0.011578751547466666,,,
2018-06-30,-0.0011446412499999982,0.0109043905882353,,,,0.017704292918021055,0.024694836770278738,-0.026818181818181817,0.002871428571428568,,,
2018-07-31,-0.057172727272727285,-0.017333333333333336,,,,0.00585142857142857,0.015203941498845266,0.0004799999999999913,0.0018099999999999978,,,
2018-08-31,-0.001609090909090915,0.0033409090909090884,,,,0.00047047619047619097,-0.004201813148262302,-0.055509090909090904,-0.05148636363636365,,,
2018-09-30,-0.04395454545454546,-0.04719545454545456,,,,-0.04445943396226416,-0.03957065901647127,-0.05013532172727273,-0.031619601095238106,,,
2018-10-31,-0.023345104399999997,-0.01959581352380953,,,,-0.027312951489999994,-0.020726023574621784,-0.012207746249999997,-0.029165856842105268,,,
2018-11-30,-0.01981641,-0.021600231470588236,,,,-0.022575260689959496,-0.0154741928095657,0.03744083887499999,0.016712631722222225,,,
2018-12-31,0.05857956457142857,0.020144864764705884,,,,0.013793492984693881,0.03194753268578782,0.010511483749999998,0.004784651684210527,,,
2019-01-31,0.014370994999999998,0.0170122946,0.018821039999999997,0.005563151774193548,-0.00581218,0.012921249611650483,0.007829449834951093,-0.02085398992222222,-0.010482204776190478,0.0012115822857142842,-0.010719675161290323,0.0051193900999999984
2019-02-28,-0.008617003787499999,-0.013907225515000003,-0.002256207142857144,-0.012231765555555557,-0.0029699057142857153,-0.008075390439528301,-0.002034145126409148,-0.03181733875,-0.005908868350000001,-0.017134896999999996,-0.0061078875079365064,-0.02263638414285714
2019-03-31,-0.010380941444444439,-0.0007940380526315787,0.005512983,-0.009927118730158729,0.0015762030000000008,0.003917681145098042,0.009604565490531397,-0.044294491111111105,-0.022800207500000003,-0.0017084485714285724,-0.05921455211111111,-0.010911602857142856
2019-04-30,-0.06229897499999999,-0.02885457315789474,-0.011761487142857142,-0.04101793914062501,0.003606968142857144,-0.008743400427184468,0.008411721216457634,0.062943685,0.026306769473684214,-0.007779936999999998,0.007930013124999998,-0.004760442857142856
