ticker,label,unit,months_supporting,months_clean,first_month,last_month,has_nav_vocab,is_rule
GCI,enquiries boardroomlimited com au investment update page,dollars,1,0,2024-09,2024-09,False,False
GCI,annualised actual distribution for the months to,dollars,1,0,2024-09,2024-09,False,False
GCI,gcapinvest com asx price nta per unit boardroom,dollars,1,0,2024-09,2024-09,True,False
GCI,rba cash rate p a unit pricing daily,dollars,1,0,2024-09,2024-09,False,False
GCI,reinvestment target return rba cash rate p a,dollars,1,0,2025-01,2025-01,False,False
GCI,sector aa a bbb bb b abs sme,dollars,1,0,2025-01,2025-01,False,False
GCI,nta per unit general email info gcapinvest com,dollars,1,0,2025-01,2025-01,True,False
GCI,westpac australian securitisation investment update page,dollars,1,0,2025-01,2025-01,False,False
GCI,recovery rates can also influence the assessment bloomberg,dollars,1,0,2025-01,2025-01,False,False
GCI,return rba cash rate p a distributions monthly,dollars,1,0,2025-02,2025-02,False,False
GCI,gcapinvest com our lit asx price nta per unit general,dollars,1,0,2025-02,2025-02,True,False
GCI,gryphon s website gryphon investment update page,dollars,1,0,2025-02,2025-02,False,False
GCI,mortgage loans distribution as of nta annualised,dollars,1,0,2025-02,2025-02,True,False
GCI,mth yr yr yr incep ipo date,dollars,1,0,2025-02,2025-02,False,False
GFL,tax on unrealised gains unrealised gains at,cents,1,1,2026-02,2026-02,False,False
GLS,nta backings per ordinary share nta before tax,dollars,1,1,2026-04,2026-04,True,False
GLS,ordinary share nta before tax nta after tax,dollars,1,1,2026-06,2026-06,True,False
GVF,share staude capital global value nta before tax,dollars,1,1,2025-02,2025-02,True,False
GVF,per share at the end of was,dollars,1,1,2025-02,2025-02,False,False
GVF,on the end of month share price of,dollars,1,1,2025-06,2025-06,False,False
GVF,on issue m denotes australian dollar share price,dollars,1,1,2025-06,2025-06,False,False
HM1,nta per share pre tax nta,dollars,7,7,2025-05,2026-05,True,True
HM1,pre tax nta post current tax nta,dollars,2,2,2024-12,2025-08,True,False
HM1,estimated nta per ordinary share pre tax nta,dollars,2,2,2024-08,2024-09,True,False
HM1,investment update at investment objective pre tax nta,dollars,1,1,2025-08,2025-08,True,False
HM1,per ordinary share pre tax nta,dollars,1,1,2024-11,2024-11,True,False
KAT,after tax nta backing per share before tax,dollars,2,2,2025-12,2026-02,True,False
KAT,nta backing per share after tax,dollars,2,2,2024-12,2025-11,True,False
KAT,per share after tax as at was,dollars,1,1,2024-12,2024-12,False,False
KIT,is as follows value date nta per unit,dollars,3,3,2026-04,2026-06,True,True
KKC,previous nta estimate,dollars,12,8,2024-07,2026-05,True,True
KKC,time current nta estimate previous nta estimate,dollars,12,8,2024-07,2026-05,True,True
KKC,current nta estimate,dollars,10,4,2024-07,2026-05,True,True
KKC,end of day us time current nta estimate,dollars,6,3,2024-07,2025-05,True,True
KKC,value of day us time current nta estimate,dollars,3,1,2025-09,2026-04,True,False
KKC,yield distribution frequency monthly asx unit price a,dollars,1,1,2026-03,2026-03,False,False
KKC,of value day us time current nta estimate,dollars,1,1,2026-05,2026-05,True,False
KKC,at close of business nta per unit,dollars,1,1,2026-04,2026-04,True,False
KKC,of day value us time current nta estimate,dollars,1,0,2026-05,2026-05,True,False
KKC,net tangible assets,dollars,1,0,2026-04,2026-04,True,False
KKC,of nta a nta per unit a,dollars,1,0,2026-04,2026-04,True,False
KKC,per annum at the current nta of a,dollars,1,0,2026-04,2026-04,True,False
LF1,fund was as follows nta per unit,dollars,9,9,2025-07,2026-06,True,True
LF1,nta per unit,dollars,9,9,2025-07,2026-06,True,True
LRT,unit of the trust as at was,dollars,7,7,2025-07,2026-06,False,False
LRT,unit of the trust as at as,dollars,4,4,2024-07,2025-04,False,False
LSF,were nta per ordinary share nta before tax,dollars,11,11,2024-07,2025-10,True,True
LSF,nta after tax,dollars,5,5,2024-11,2025-03,True,True
LSF,ordinary share nta before tax nta after tax,dollars,5,5,2024-11,2025-03,True,True
LSF,per ordinary share f f nta before tax,dollars,4,4,2025-12,2026-06,True,True
LSF,the l long short fund limited as at,dollars,1,1,2025-12,2025-12,False,False
MEC,noted below dollars per share estimated nta pre tax,dollars,5,5,2024-10,2026-02,True,True
MEC,per share estimated nta pre tax estimated nta post tax,dollars,1,1,2024-09,2024-09,True,False
