ticker,label,n,agree,agreement
GCI,on nta per unit as at,19,0,0.0
KIT,is as follows value date nta per unit,4,0,0.0
LSF,ordinary share nta before tax nta after tax,16,1,0.0625
MOT,is as follows value date nta per unit,24,0,0.0
MXT,is as follows value date nta per unit,24,0,0.0
OPH,is as follows value date nav per unit,3,0,0.0
OPH,prior value date nav per unit month end,21,0,0.0
PCX,net asset value,23,0,0.0
REV,is as follows value date nta per unit,10,0,0.0
