signal_month,holding_month,gross_return,buy_turnover,sell_turnover,n_holdings,missing_return_weight,n_missing_return,rebalanced,cost,net_return,strategy
2017-01,2017-02,0.021777777777777778,1.0,0.0,9,0.0,0,True,0.005,0.016777777777777777,A_absolute_discount_decile
2017-02,2017-03,-0.017099999999999997,0.5728928036344304,0.5728928036344303,9,0.0,0,True,0.005728928036344304,-0.0228289280363443,A_absolute_discount_decile
2017-03,2017-04,-0.051512499999999996,0.14791829167655796,0.14791829167655807,9,0.1111111111111111,1,True,0.00147918291676558,-0.05299168291676558,A_absolute_discount_decile
2017-04,2017-05,-0.021222222222222222,0.24233172404603232,0.24233172404603237,9,0.0,0,True,0.0024233172404603234,-0.023645539462682545,A_absolute_discount_decile
2017-05,2017-06,-0.00026695071428571625,0.26445806687604845,0.26445806687604856,9,0.2222222222222222,2,True,0.002644580668760485,-0.0029115313830462013,A_absolute_discount_decile
2017-06,2017-07,-0.028624999999999998,0.12610950025926765,0.1261095002592677,9,0.1111111111111111,1,True,0.0012610950025926768,-0.029886095002592674,A_absolute_discount_decile
2017-07,2017-08,0.025287499999999997,0.01693475743147596,0.0169347574314761,9,0.1111111111111111,1,True,0.0001693475743147603,0.02511815242568524,A_absolute_discount_decile
2017-08,2017-09,0.03129,0.2,0.19999999999999996,10,0.0,0,True,0.002,0.029289999999999997,A_absolute_discount_decile
2017-09,2017-10,0.02913333333333333,0.10285176817384044,0.10285176817384052,9,0.0,0,True,0.001028517681738405,0.028104815651594926,A_absolute_discount_decile
2017-10,2017-11,0.02716666666666667,0.23439715546342477,0.23439715546342488,9,0.0,0,True,0.0023439715546342485,0.02482269511203242,A_absolute_discount_decile
2017-11,2017-12,-0.008511111111111112,0.1333766023040726,0.13337660230407272,9,0.0,0,True,0.0013337660230407266,-0.009844877134151837,A_absolute_discount_decile
2017-12,2018-01,-0.0077,0.22452826899562445,0.2245282689956245,9,0.1111111111111111,1,True,0.002245282689956245,-0.009945282689956245,A_absolute_discount_decile
2018-01,2018-02,0.024914285714285708,0.4512524214227328,0.4512524214227328,9,0.2222222222222222,2,True,0.004512524214227328,0.02040176150005838,A_absolute_discount_decile
2018-02,2018-03,0.046700000000000005,0.30000000000000004,0.29999999999999993,10,0.0,0,True,0.003,0.0437,A_absolute_discount_decile
2018-03,2018-04,-0.005860000000000001,0.22439094296359996,0.22439094296359982,10,0.0,0,True,0.002243909429635999,-0.008103909429636,A_absolute_discount_decile
2018-04,2018-05,-0.016866666666666665,0.4296799243567305,0.4296799243567304,10,0.1,1,True,0.004296799243567305,-0.02116346591023397,A_absolute_discount_decile
2018-05,2018-06,-0.0011446412499999982,0.4545454545454546,0.45454545454545464,11,0.2727272727272727,3,True,0.004545454545454546,-0.005690095795454544,A_absolute_discount_decile
2018-06,2018-07,-0.057172727272727285,0.2986268874719413,0.2986268874719413,11,0.0,0,True,0.0029862688747194135,-0.0601589961474467,A_absolute_discount_decile
2018-07,2018-08,-0.001609090909090915,0.3898736085678648,0.3898736085678648,11,0.0,0,True,0.003898736085678648,-0.005507826994769563,A_absolute_discount_decile
2018-08,2018-09,-0.04395454545454546,0.36814196065901084,0.36814196065901084,11,0.0,0,True,0.0036814196065901084,-0.04763596506113557,A_absolute_discount_decile
2018-09,2018-10,-0.023345104399999997,0.47866772128646323,0.4786677212864633,11,0.09090909090909091,1,True,0.004786677212864633,-0.02813178161286463,A_absolute_discount_decile
2018-10,2018-11,-0.01981641,0.46931465831294794,0.46931465831294783,11,0.2727272727272727,3,True,0.004693146583129479,-0.024509556583129477,A_absolute_discount_decile
2018-11,2018-12,0.05857956457142857,0.27726407031378864,0.2772640703137887,11,0.36363636363636365,4,True,0.0027726407031378867,0.055806923868290684,A_absolute_discount_decile
2018-12,2019-01,0.014370994999999998,0.3681348273320876,0.36813482733208747,11,0.2727272727272727,3,True,0.0036813482733208756,0.010689646726679122,A_absolute_discount_decile
2019-01,2019-02,-0.008617003787499999,0.2877035527725329,0.2877035527725327,11,0.2727272727272727,3,True,0.002877035527725328,-0.011494039315225326,A_absolute_discount_decile
2019-02,2019-03,-0.010380941444444439,0.2755179364714166,0.2755179364714165,11,0.18181818181818182,2,True,0.002755179364714165,-0.013136120809158604,A_absolute_discount_decile
2019-03,2019-04,-0.06229897499999999,0.30005672859215293,0.300056728592153,11,0.2727272727272727,3,True,0.0030005672859215295,-0.06529954228592152,A_absolute_discount_decile
2019-04,2019-05,0.07156259555555555,0.2214889626176183,0.22148896261761813,11,0.18181818181818182,2,True,0.0022148896261761824,0.06934770592937937,A_absolute_discount_decile
2019-05,2019-06,0.09857028933333332,0.212083310927337,0.21208331092733695,11,0.18181818181818182,2,True,0.00212083310927337,0.09644945622405995,A_absolute_discount_decile
2019-06,2019-07,-0.0013268852500000032,0.2759843796081226,0.27598437960812255,11,0.2727272727272727,3,True,0.002759843796081226,-0.004086729046081229,A_absolute_discount_decile
2019-07,2019-08,0.099231915,0.27442708406823246,0.2744270840682324,11,0.18181818181818182,2,True,0.002744270840682324,0.09648764415931768,A_absolute_discount_decile
2019-08,2019-09,0.008062598750000002,0.2844808132148429,0.28448081321484286,11,0.2727272727272727,3,True,0.0028448081321484292,0.005217790617851573,A_absolute_discount_decile
2019-09,2019-10,-0.00037153124999999773,0.45372880556306466,0.4537288055630646,10,0.2,2,True,0.004537288055630646,-0.004908819305630644,A_absolute_discount_decile
2019-10,2019-11,0.008467256,0.36363636363636365,0.36363636363636365,11,0.09090909090909091,1,True,0.0036363636363636364,0.004830892363636363,A_absolute_discount_decile
2019-11,2019-12,-0.009499777777777777,0.39238756242139844,0.39238756242139833,11,0.18181818181818182,2,True,0.003923875624213985,-0.013423653401991762,A_absolute_discount_decile
2019-12,2020-01,-0.079264884,0.28224232308617614,0.2822423230861761,11,0.09090909090909091,1,True,0.0028224232308617613,-0.08208730723086176,A_absolute_discount_decile
2020-01,2020-02,-0.15979513181818183,0.4093558367314208,0.40935583673142084,11,0.0,0,True,0.004093558367314208,-0.16388869018549604,A_absolute_discount_decile
2020-02,2020-03,0.18213696444444444,0.23068971587070838,0.23068971587070827,11,0.18181818181818182,2,True,0.0023068971587070835,0.17983006728573736,A_absolute_discount_decile
2020-03,2020-04,0.12752668625000002,0.31794591258402327,0.31794591258402327,11,0.2727272727272727,3,True,0.0031794591258402327,0.12434722712415978,A_absolute_discount_decile
2020-04,2020-05,-0.02432429888888888,0.12419090386336712,0.12419090386336694,11,0.18181818181818182,2,True,0.0012419090386336703,-0.025566207927522552,A_absolute_discount_decile
2020-05,2020-06,0.03950809499999999,0.22697415040790686,0.22697415040790692,11,0.2727272727272727,3,True,0.002269741504079069,0.037238353495920924,A_absolute_discount_decile
2020-06,2020-07,0.09631101285714284,0.11256397715165983,0.11256397715165987,11,0.36363636363636365,4,True,0.0011256397715165985,0.09518537308562625,A_absolute_discount_decile
2020-07,2020-08,-0.03813371314285714,0.05985238974747435,0.0598523897474743,11,0.36363636363636365,4,True,0.0005985238974747433,-0.038732237040331886,A_absolute_discount_decile
2020-08,2020-09,0.02960955,0.1990672750377443,0.1990672750377442,11,0.18181818181818182,2,True,0.0019906727503774427,0.027618877249622555,A_absolute_discount_decile
2020-09,2020-10,0.13192143666666667,0.3138090948254034,0.31380909482540337,11,0.18181818181818182,2,True,0.003138090948254034,0.12878334571841263,A_absolute_discount_decile
2020-10,2020-11,0.14613476999999997,0.14194131506676383,0.14194131506676377,11,0.09090909090909091,1,True,0.001419413150667638,0.14471535684933234,A_absolute_discount_decile
2020-11,2020-12,0.0645611063,0.2335319773004611,0.233531977300461,11,0.09090909090909091,1,True,0.0023353197730046106,0.0622257865269954,A_absolute_discount_decile
2020-12,2021-01,-0.025561520000000004,0.18864447628971553,0.1886444762897155,10,0.1,1,True,0.0018864447628971553,-0.02744796476289716,A_absolute_discount_decile
2021-01,2021-02,0.03767778625,0.22554643675401653,0.22554643675401653,10,0.2,2,True,0.0022554643675401654,0.035422321882459834,A_absolute_discount_decile
2021-02,2021-03,0.10676831333333335,0.12699993605553583,0.1269999360555359,10,0.1,1,True,0.0012699993605553585,0.105498313972778,A_absolute_discount_decile
2021-03,2021-04,0.07188927875000001,0.039254481246532844,0.03925448124653268,10,0.2,2,True,0.00039254481246532764,0.07149673393753468,A_absolute_discount_decile
2021-04,2021-05,0.052807758749999996,0.1474036053744791,0.14740360537447905,10,0.2,2,True,0.001474036053744791,0.051333722696255205,A_absolute_discount_decile
2021-05,2021-06,0.051887526666666677,0.14154155591228457,0.14154155591228434,10,0.1,1,True,0.0014154155591228445,0.050472111107543835,A_absolute_discount_decile
2021-06,2021-07,-0.03320764422222222,0.21354163758534667,0.21354163758534664,10,0.1,1,True,0.0021354163758534666,-0.03534306059807569,A_absolute_discount_decile
