ticker,month,label,unit,truth,n_matching_labels,matched,nearest_label,nearest_value,nearest_unit,nearest_ratio,split,announcement_id
PIA,2026-06,,,1.3778,0,False,and before tax on unrealised gains and losses,1.361,cents,0.9878066482798665,holdout,03109993
GCI,2026-06,,,2.0051,0,False,governor macquarie tower farrer place sydney nsw p,2.0,dollars,0.9974564859607999,learn,03109505
MXT,2026-06,,,2.0016,0,False,is as follows value date nta per unit,2.0128,dollars,1.0055955235811351,learn,03109570
MOT,2026-06,,,2.1458,0,False,is as follows value date nta per unit,2.1675,dollars,1.0101127784509274,learn,03108943
GC1,2026-06,,,0.71,0,False,nta as at are as follows nta,0.7081,dollars,0.9973239436619719,holdout,03108936
RG1,2026-06,,,2.65,0,False,share for regal partners global investments limited was,2.67,dollars,1.0075471698113208,learn,03108754
MXT,2026-06,,,2.0016,0,False,is as follows value date nta per unit,2.0109,dollars,1.0046462829736211,learn,03108328
GLS,2026-06,,,1.722,0,False,were nta per ordinary share nta before tax,1.7609,dollars,1.0225900116144018,learn,03107128
SET,2026-06,,,1.985,0,False,at estimated nta per share pre tax nta,1.993,dollars,1.0040302267002519,learn,03106992
AUI,2026-06,,,13.75,0,False,is as below weekly pre tax nta per share,13.68,dollars,0.9949090909090909,holdout,03106642
GCI,2026-06,,,2.0051,0,False,governor macquarie tower farrer place sydney nsw p,2.0,dollars,0.9974564859607999,learn,03106415
MIR,2026-06,share as at pre tax nta per share,dollars,2.82,2,True,,,,,learn,03106296
MIR,2026-06,pre tax nta per share,dollars,2.82,2,True,,,,,learn,03106296
BKI,2026-06,per share as at below pre tax nta,dollars,2.07,1,True,,,,,holdout,03106268
MOT,2026-06,,,2.1458,0,False,is as follows value date nta per unit,2.1666,dollars,1.0096933544598752,learn,03105913
GCI,2026-06,,,2.0051,0,False,governor macquarie tower farrer place sydney nsw p,2.0,dollars,0.9974564859607999,learn,03105882
PIC,2026-06,,,1.207,0,False,nta after tax,1.213,dollars,1.0049710024855012,learn,03105539
SEC,2026-06,,,2.238,0,False,at estimated nta per share pre tax nta,2.314,dollars,1.0339588918677391,holdout,03105198
SET,2026-06,,,1.985,0,False,at estimated nta per share pre tax nta,1.992,dollars,1.0035264483627204,learn,03104314
AFI,2026-06,,,7.93,0,False,pre tax nta per share,7.9,dollars,0.9962168978562422,learn,03104033
WHF,2026-06,,,6.11,0,False,investment returns per share prior month nta,6.06,dollars,0.9918166939443535,holdout,03103132
HM1,2026-06,,,3.67,0,False,in global securities based on the pre tax nta,3.52,dollars,0.9591280653950954,learn,03103170
MXT,2026-06,is as follows value date nta per unit,dollars,2.0016,1,True,,,,,learn,03102780
