name,months,start,end,cumulative_return,cagr,volatility,sharpe,sortino,max_drawdown,calmar,best_month,worst_month,pct_positive_months,t_stat_mean,alpha_annual_vs_benchmark,beta_vs_benchmark,alpha_t_stat,information_ratio,overlap_months,strategy,period,basis
A_absolute_discount_decile|full,113,2017-02-28 00:00:00,2026-06-30 00:00:00,1.1861281021969514,0.08660511703662488,0.17484324410373717,0.5615740156989264,1.020840077520154,-0.2337429595226832,0.37051433426477354,0.18213696444444444,-0.15979513181818183,0.46017699115044247,1.7232790301058,0.010346091182347552,1.172170561746201,0.27199266876655814,0.20083178663629295,113.0,A_absolute_discount_decile,full,gross_TR
A_absolute_discount_decile|net,113,2017-02-28 00:00:00,2026-06-30 00:00:00,0.6191620385587207,0.052508277342747656,0.17553476702373053,0.377614741146269,0.6544130455420932,-0.2763782750042155,0.1899869927979931,0.17983006728573736,-0.16388869018549604,0.4336283185840708,1.1587707883284089,-0.022242102843190774,1.181315154042756,-0.5854646091620961,-0.0747380122657424,113.0,A_absolute_discount_decile,full,net_TR
A_absolute_discount_decile|development,59,2017-02-28 00:00:00,2021-12-31 00:00:00,1.2693398810619811,0.18137111567032904,0.20707688709824787,0.9101784790248219,1.7484421923792224,-0.2337429595226832,0.7759425825731798,0.18213696444444444,-0.15979513181818183,0.5084745762711864,2.0181895136713575,0.0739113802466367,1.2777460905718327,1.3400642442891058,0.7934810555684018,59.0,A_absolute_discount_decile,development,gross_TR
A_absolute_discount_decile|validation,24,2022-01-31 00:00:00,2023-12-31 00:00:00,0.028101808327037903,0.013953553338138747,0.14207551545426622,0.1644917952784438,0.28206549333016906,-0.16210066620984842,0.08607955577477447,0.09632765144444444,-0.06801428571428568,0.4583333333333333,0.23262652778187384,0.00945328086859107,0.6885603242911887,0.10641341211163088,0.024893720355217367,24.0,A_absolute_discount_decile,validation,gross_TR
A_absolute_discount_decile|holdout,30,2024-01-31 00:00:00,2026-06-30 00:00:00,-0.06299924984307159,-0.025692657558894494,0.11545781546958737,-0.16913710928694123,-0.2421962218705648,-0.1883303591215909,-0.13642334501314604,0.073240018,-0.09325529666666665,0.36666666666666664,-0.267429251101776,-0.1313964564151868,1.2462302965278018,-2.6770749334808315,-1.4793596376985902,30.0,A_absolute_discount_decile,holdout,gross_TR
B_absolute_discount_quintile|full,113,2017-02-28 00:00:00,2026-06-30 00:00:00,1.6110370200073771,0.10729497883275574,0.15131783123180864,0.7526410194793449,1.179253614115086,-0.2866057318073596,0.37436438607192074,0.17312050315789482,-0.2069975818181819,0.584070796460177,2.309598467535872,0.02152941678350688,1.2324496728073273,1.0921112394888852,0.6018796726910574,113.0,B_absolute_discount_quintile,full,gross_TR
B_absolute_discount_quintile|net,113,2017-02-28 00:00:00,2026-06-30 00:00:00,1.015995328080567,0.07729630534113685,0.1507524087656346,0.5715716952867526,0.8686369400713804,-0.2997111113417391,0.2579027016886318,0.17049293755104247,-0.21005775199226004,0.5752212389380531,1.753958497285162,-0.005916816303590751,1.22876716171752,-0.3025290392885237,0.17509932352938365,113.0,B_absolute_discount_quintile,full,net_TR
B_absolute_discount_quintile|development,59,2017-02-28 00:00:00,2021-12-31 00:00:00,1.0607724167550971,0.15843191826744474,0.17886971872485463,0.9171550397119377,1.4614610873472262,-0.2866057318073596,0.5527869846438865,0.17312050315789482,-0.2069975818181819,0.6101694915254238,2.0336590308536513,0.04882777137065952,1.2850841505242205,1.9443459948305173,1.1261002600404715,59.0,B_absolute_discount_quintile,development,gross_TR
B_absolute_discount_quintile|validation,24,2022-01-31 00:00:00,2023-12-31 00:00:00,0.027843065762161112,0.01382595437390588,0.12025265611170778,0.17245624093464526,0.2421816912552189,-0.1281893485824488,0.10785571911236685,0.06129947072222222,-0.08275566499999999,0.5416666666666666,0.24388995484565745,0.0015320219450180332,0.950256419446669,0.030937570328752505,0.007679356197113267,24.0,B_absolute_discount_quintile,validation,gross_TR
B_absolute_discount_quintile|holdout,30,2024-01-31 00:00:00,2026-06-30 00:00:00,0.23269656668039818,0.08728269154591417,0.1090747427244891,0.8228609781243402,1.3402454752744486,-0.15175926742311896,0.5751391201867224,0.07142292494117648,-0.08908551647058824,0.5666666666666667,1.3010574442734513,-0.02853664912741641,1.31776954690211,-0.7965415163702299,-0.0002092421907205621,30.0,B_absolute_discount_quintile,holdout,gross_TR
