ticker,month,label,unit,truth,n_matching_labels,matched,split,announcement_id,nearest_label,nearest_value,nearest_unit,nearest_ratio
CAM,2026-06,nta before tax,cents,0.8225,3,True,holdout,03110309,,,,
CAM,2026-06,australian securities exchange cam pre tax nta estimate,cents,0.8225,3,True,holdout,03110309,,,,
CAM,2026-06,the close of business nta before tax,cents,0.8225,3,True,holdout,03110309,,,,
ARG,2026-06,,,10.84,0,False,learn,03108931,and approximate pre tax nta per share,10.79,dollars,0.9953874538745386
SEC,2026-06,,,2.238,0,False,holdout,03109175,as at nta per share pre tax nta,2.222,dollars,0.9928507596067918
MOT,2026-06,,,2.1458,0,False,learn,03108324,is as follows value date nta per unit,2.1673,dollars,1.0100195731195825
GCI,2026-06,,,2.0051,0,False,learn,03107854,governor macquarie tower farrer place sydney nsw p,2.0,dollars,0.9974564859607999
KKC,2026-06,,,2.3528,0,False,learn,03107790,current nta estimate,2.3383,dollars,0.9938371302278137
SEC,2026-06,,,2.238,0,False,holdout,03108003,at estimated nta per share pre tax nta,2.229,dollars,0.9959785522788204
MEC,2026-06,,,1.6021,0,False,learn,03107907,noted below dollars per share estimated nta pre tax,1.6559,dollars,1.0335809250358903
SET,2026-06,at estimated nta per share pre tax nta,dollars,1.985,1,True,learn,03107494,,,,
LSF,2026-06,,,4.317,0,False,learn,03107591,per ordinary share f f nta before tax,4.4242,dollars,1.02483205930044
GCI,2026-06,,,2.0051,0,False,learn,03106859,governor macquarie tower farrer place sydney nsw p,2.0,dollars,0.9974564859607999
PCI,2026-06,at close of business on nta per unit,dollars,1.099,1,True,holdout,03106852,,,,
TGF,2026-06,,,3.486,0,False,holdout,03106394,estimated nta pre tax,3.6,dollars,1.0327022375215147
PL8,2026-06,,,1.144,0,False,learn,03106004,nta per share pre tax nta post tax nta,1.141,dollars,0.9973776223776225
FPC,2026-06,,,1.6887,0,False,learn,03105734,street sydney invest fatprophets com au nsw ph,1.77,cents,1.0481435423698702
MXT,2026-06,,,2.0016,0,False,learn,03105493,is as follows value date nta per unit,2.0075,dollars,1.0029476418864909
KIT,2026-06,is as follows value date nta per unit,dollars,2.0095,1,True,learn,03105070,,,,
MXT,2026-06,is as follows value date nta per unit,dollars,2.0016,1,True,learn,03104202,,,,
PL8,2026-06,a reliable indicator of future performance pre tax nta,dollars,1.144,2,True,learn,03104277,,,,
PL8,2026-06,p a p a total return pre tax nta,dollars,1.144,2,True,learn,03104277,,,,
AMH,2026-06,,,1.08,0,False,learn,03104017,pre tax nta per share,1.07,dollars,0.9907407407407407
BHD,2026-06,,,0.2828,0,False,holdout,03103845,monthly unaudited nta per share in cents is,0.31,cents,1.0961810466760962
LSF,2026-06,,,4.317,0,False,learn,03103909,taxes l long short fund limited phone acn,4.18,cents,0.9682649988417882
SET,2026-06,,,1.985,0,False,learn,03103813,at estimated nta per share pre tax nta,2.0,dollars,1.0075566750629723
FGG,2026-06,month end share price research ratings portfolio performance m,dollars,1.653,1,True,holdout,03103807,,,,
GC1,2026-06,nta share price cash weighting number of holdings,dollars,0.71,1,True,holdout,03103757,,,,
MXT,2026-06,is as follows value date nta per unit,dollars,2.0016,1,True,learn,03103659,,,,
AIQ,2026-06,,,1.5212,0,False,learn,03103652,at as at nta per unit,1.4892,dollars,0.9789639758085722
PIC,2026-06,,,1.207,0,False,learn,03103575,nta before tax,1.201,dollars,0.9950289975144988
WQG,2026-06,,,2.178,0,False,learn,03103219,years years inception years inception portfolio benchmark value,2.27,dollars,1.0422405876951333
TCF,2026-06,price unit nav commercial unit price unit nav,dollars,5.941,1,True,learn,03103135,,,,
GCI,2026-06,,,2.0051,0,False,learn,03103212,on nta per unit as at,2.01,dollars,1.0024437683906038
KAT,2026-06,,,1.557,0,False,learn,03103273,after tax nta backing per share before tax,1.576,dollars,1.0122029543994864
SET,2026-06,,,1.985,0,False,learn,03103286,at estimated nta per share pre tax nta,2.0,dollars,1.0075566750629723
SEC,2026-06,,,2.238,0,False,holdout,03102857,at estimated nta per share pre tax nta,2.261,dollars,1.0102770330652369
SNC,2026-06,,,0.7205,0,False,learn,03102798,with a growing stream of listed australian equities,0.71,cents,0.9854267869535044
KIT,2026-06,is as follows value date nta per unit,dollars,2.0095,1,True,learn,03102718,,,,
BKI,2026-06,,,2.07,0,False,holdout,03102237,to bring the year to date return to pre tax nta,2.04,dollars,0.9855072463768116
