file,rows,n_price,n_nav,n_both,n_ord_conv,error
2016-04_mir_MIR1604.CSV,418,205,203,203,184,
2016-05_mir_MIR1605.CSV,416,207,206,206,186,
2016-06_mir_MIR1606.CSV,418,206,204,204,184,
2016-07_mir_MIR1607.CSV,415,198,197,197,177,
2016-08_mir_MIR1608.CSV,415,205,204,204,184,
2016-09_mir_MIR1609.CSV,410,199,198,198,179,
2016-10_mir_MIR1610.csv,404,202,201,201,183,
2016-11_mir_MIR1611.CSV,402,198,197,197,183,
2016-12_mir_MIR1612.CSV,403,198,197,197,183,
2017-01_mir_MIR1701.CSV,405,201,200,200,184,
2017-02_mir_MIR1702.CSV,408,199,198,198,182,
2017-03_mir_MIR1703.CSV,403,197,197,197,183,
2017-04_mir_MIR1704.CSV,410,195,195,195,181,
2017-05_mir_MIR1705.CSV,414,202,202,202,188,
2017-06_mir_MIR1706.CSV,411,200,200,200,186,
2017-07_mir_MIR1707.CSV,411,203,203,203,187,
2017-08_mir_MIR1708.CSV,412,203,203,203,187,
2017-09_mir_MIR1709.CSV,411,201,201,201,185,
2017-10_mir_MIR1710.CSV,410,200,200,200,184,
2017-11_mir_MIR1711.CSV,409,200,200,200,183,
2017-12_mir_MIR1712.CSV,405,202,202,202,185,
2018-01_mir_MIR1801.CSV,404,202,202,202,185,
2018-02_mir_MIR1802.CSV,400,198,198,198,183,
2018-03_mir_MIR1803.CSV,406,199,199,199,184,
2018-04_mir_MIR1804.csv,406,201,202,201,185,
2018-05_mir_MIR1805.CSV,410,202,202,202,184,
2018-06_mir_MIR1806.csv,410,201,201,201,185,
2018-07_mir_MIR1807.CSV,410,203,203,203,187,
2018-08_mir_MIR1808.CSV,409,201,201,201,185,
2018-09_mir_MIR1809.CSV,408,197,197,197,183,
2018-10_mir_MIR1810.CSV,415,200,200,200,185,
2018-11_mir_MIR1811.csv,411,199,199,199,191,
2018-12_mir_MIR1812.csv,410,198,198,198,190,
2019-01_mir_MIR1901.csv,411,200,200,200,191,
2019-02_mir_MIR1902.csv,411,198,198,198,189,
2019-03_mir_MIR1903.csv,411,196,196,196,187,
2019-04_mir_MIR1904.csv,410,197,197,197,188,
2019-05_mir_MIR1905.csv,410,200,200,200,191,
2019-06_mir_MIR1906.csv,409,200,200,200,191,
2019-07_mir_MIR1907.csv,410,195,195,195,186,
2019-08_mir_MIR1908.csv,411,199,199,199,190,
2019-09_mir_MIR1909.csv,413,196,196,196,187,
2019-10_mir_MIR1910.csv,410,197,196,196,187,
2019-11_mir_MIR1911.csv,412,193,193,193,184,
2019-12_mir_MIR1912.csv,412,194,194,194,185,
2020-01_mir_MIR2001.csv,413,196,196,196,187,
2020-02_mir_MIR2002.csv,411,195,195,195,186,
2020-03_mir_MIR2003.csv,411,195,195,195,186,
2020-04_mir_MIR2004.csv,409,193,193,193,184,
2020-05_mir_MIR2005.csv,406,198,198,198,189,
2020-06_mir_MIR2006.csv,407,192,192,192,183,
2020-07_mir_MIR2007.csv,410,198,198,198,189,
2020-08_mir_MIR2008.csv,410,196,196,196,187,
2020-09_mir_MIR2009.csv,407,190,190,190,181,
2020-10_mir_MIR2010.csv,408,191,191,191,183,
2020-11_mir_MIR2011.csv,405,190,190,190,182,
2020-12_mir_MIR2012_0.csv,404,188,188,188,180,
2021-01_mir_MIR2101.csv,405,192,192,192,184,
2021-02_mir_MIR2102.csv,406,194,194,194,186,
2021-03_mir_MIR2103.csv,400,191,191,191,183,
2021-04_mir_MIR2104.csv,401,191,191,191,182,
2021-05_mir_MIR2105_0.csv,403,190,190,190,181,
2021-06_mir_MIR2106.csv,407,189,189,189,180,
2021-07_mir_MIR2107.csv,405,192,192,192,183,
2021-08_mir_MIR2108.csv,407,192,192,192,182,
2021-09_mir_MIR2109.csv,401,187,187,187,177,
2021-10_mir_MIR2110.csv,395,184,184,184,174,
2021-11_mir_MIR2111.csv,395,189,189,189,179,
2021-12_mir_MIR2112.csv,396,189,189,189,179,
2022-01_mir_MIR2201.csv,397,194,194,194,183,
2022-02_mir_MIR2202.csv,396,190,190,190,179,
2022-03_mir_MIR2203.csv,395,188,189,188,177,
2022-04_mir_MIR2204.csv,396,188,188,188,178,
2022-05_mir_MIR2205.csv,394,191,191,191,180,
2022-06_mir_MIR2206.csv,392,188,188,188,177,
2022-07_mir_MIR2207.csv,393,191,191,191,180,
2022-08_mir_MIR2208.csv,392,187,187,187,176,
2022-09_mir_MIR2209.csv,389,185,185,185,174,
2022-10_mir_MIR2210.csv,389,175,175,175,168,
2022-11_mir_MIR2211.csv,384,175,176,175,167,
2022-12_mir_MIR2212.csv,381,171,171,171,161,
2023-01_mir_MIR2301.csv,384,171,171,171,161,
2023-02_mir_MIR2302.csv,384,178,178,178,169,
2023-03_mir_MIR2303.csv,381,175,175,175,166,
2023-04_mir_MIR2304.csv,380,177,177,177,168,
2023-05_mir_MIR2305.csv,381,175,175,175,166,
2023-06_mir_MIR2306.csv,380,174,174,174,165,
2023-07_mir_MIR2307.csv,378,176,176,176,167,
2023-08_mir_MIR2308.csv,377,174,174,174,165,
2023-09_mir_MIR2309.csv,375,170,170,170,162,
2023-10_mir_MIR2310.csv,373,175,175,175,166,
2023-11_mir_MIR2311.csv,371,170,170,170,161,
2023-12_mir_MIR2312.csv,371,168,168,168,159,
2024-01_mir_MIR2401.csv,365,170,170,170,161,
2024-02_mir_MIR2402.csv,364,169,169,169,160,
2024-03_mir_MIR2403.csv,358,163,163,163,155,
2024-04_mir_MIR2404.csv,356,165,165,165,156,
2024-05_mir_MIR2405.csv,356,164,164,164,155,
2024-06_mir_MIR2406.csv,353,158,158,158,151,
