feature,coef,odds_ratio
intercept,-1.8590151717841625,0.15582601668400603
aic_tender_seen,0.07854489823232315,1.0817119210251447
aic_tender_recent,0.04486173833636799,1.0458832443542245
aic_buyback_seen,0.0,1.0
aic_buyback_recent,0.0,1.0
aic_realisation_policy_seen,0.9314261627458925,2.5381263789318775
aic_realisation_policy_recent,0.20019456182144166,1.2216404196246853
aic_reconstruction_seen,0.5267227984600688,1.6933736783912736
aic_reconstruction_recent,-0.4309663911452043,0.6498807521555493
aic_manager_change_seen,0.18441058398103172,1.2025094528695155
aic_manager_change_recent,-0.7539432052166354,0.4705075820462929
aic_fee_change_seen,0.0,1.0
aic_fee_change_recent,0.0,1.0
aic_policy_change_seen,0.5846301109691608,1.7943271609421623
aic_policy_change_recent,-0.543508974372202,0.5807069871591177
hf_covered,-2.1832627876456225,0.11267330118476751
hf_buyback_active,0.2314972257966329,1.2604858297287278
hf_holder_churn,-0.7789640041455462,0.45888116411826674
hf_strategic_review,-0.07575217607115975,0.9270459222563522
hf_continuation,0.07437134494302028,1.0772067465114916
hf_windup,-0.02453592981101535,0.9757626293217013
