feature,coef,odds_ratio
intercept,-2.930976830687652,0.05334490374709267
aic_tender_seen,0.13238486503296637,1.141547576480097
aic_tender_recent,-0.1131735795106889,0.8929956409159288
aic_buyback_seen,0.0,1.0
aic_buyback_recent,0.0,1.0
aic_realisation_policy_seen,1.594215357658439,4.924463613155699
aic_realisation_policy_recent,0.18258071479165475,1.2003110298984423
aic_reconstruction_seen,0.4211420372229861,1.5237006852534718
aic_reconstruction_recent,-0.5293885507844358,0.588964981778684
aic_manager_change_seen,-0.09994573779900091,0.9048865178379282
aic_manager_change_recent,-0.4346834283989861,0.6474696051270429
aic_fee_change_seen,0.0,1.0
aic_fee_change_recent,0.0,1.0
aic_policy_change_seen,0.10293687769347497,1.1084214407498074
aic_policy_change_recent,-0.31630222025918253,0.7288391469233633
