# Manually verified TIDMs for securities whose ticker is not in any AIC file
# (mostly trusts that died before the AIC added ISIN/TIDM columns in 2019).
security_id,ticker,note,verified_by,verified_date
SEDOL:848471,VIP,"renamed; OpenFIGI ISIN join, Investegate H1 verified",openfigi+investegate_h1,2026-08-31
SEDOL:3216473,JEMA,"renamed; OpenFIGI ISIN join, Investegate H1 verified",openfigi+investegate_h1,2026-09-02
SEDOL:3047468,PPET,"renamed; OpenFIGI ISIN join, Investegate H1 verified",openfigi+investegate_h1,2026-09-02
SEDOL:BGJYPP4,CHRY,"renamed; OpenFIGI ISIN join, Investegate H1 verified",openfigi+investegate_h1,2026-09-02
