FundName,SEDOL(conv),Prior Charge,PCType,RepayType,Coupon,Fixed,% to Cap,CCY,Issued,IssuedValue,IssuedValGBP,CurrentValue,FairValue,RedValue,Notes,RedeemedFlag NIL
JPMorgan Mid Cap,235761,11% DEBENTURE STOCK 2011/16,D,N,11,,70,GBP,,0,0,9462378,12218740,0,,F
JPMorgan Mid Cap,235761,LOAN BOI,L,N,5.041,,,GBP,,0,0,19500000,19500000,0,,F
JPMorgan Overseas,914327,PERPETUAL DEBENTURE,D,N,4.125,,50,GBP,,0,200000,200000,151373,0,,F
JPMorgan Russian Securities,3216473,OVERDRAFT,L,N,,,,GBP,,0,0,8314169,8314169,0,,F
JPMorgan Smaller Companies,741600,FIXED LOAN,L,N,5.688,,0,GBP,,0,0,9000000,9000000,0,,F
JPMorgan Smaller Companies,741600,OVERDRAFT,L,N,,,,GBP,,0,0,86816,86816,0,,F
JPMorgan US Discovery,341710,OVERDRAFT,L,N,,,,GBP,,0,0,11328392,11328392,0,,F
Jupiter European Opportunities,19772,Bank Overdraft,L,N,,,,GBP,,0,0,3027088,3027088,0,,F
Jupiter European Opportunities,19772,Bank Loan,L,N,,,,GBP,20/11/2006,5000000,5000000,5000000,5000000,0,,F
Jupiter European Opportunities,19772,Euro Loan,L,N,,,,EUR,08/12/2006,28900000,0,19185265,19185265,0,,F
Jupiter European Opportunities,19772,Euro Loan,L,N,,,,EUR,04/10/2006,7100000,0,0,0,0,,T
Jupiter European Opportunities,19772,Euro Loan,L,N,,,,EUR,04/01/2007,7100000,0,4713335,4713335,0,,F
Jupiter European Opportunities,19772,Euro Loan,L,N,,,,EUR,12/01/2007,7400000,0,4912490,4912490,0,,F
Jupiter Primadona Growth,703376,Bank Overdraft,L,N,,,,GBP,,0,0,0,0,0,,T
Jupiter Primadona Growth,703376,Bank Loan,L,N,,,,GBP,12/12/2006,0,7500000,7500000,7500000,7500000,,F
Jupiter Primadona Growth,703376,Bank Overdraft,L,N,,,,GBP,,0,0,0,0,0,,T
Keystone,491206,Debenture Stock,D,N,11.375,Y,75,GBP,30/09/1992,3000000,3000000,3000000,3542640,3000000,,F
Keystone,491206,Debenture Stock,D,N,10.25,Y,75,GBP,30/09/1992,5000000,5000000,5000000,5721217,5000000,,F
Keystone,491206,Debenture Stock,D,N,7.75,Y,75,GBP,06/12/1993,7000000,7000000,7000000,8482460,7000000,,F
Keystone,491206,Debenture Stock,D,N,6.5,Y,75,GBP,27/04/1998,24485500,24485500,24538806,28001000,25000000,,F
Keystone,491206,Cum Preference shrs,P,N,5,Y,75,GBP,,250000,250000,250000,196250,250000,,F
Law Debenture Corporation,3142921,6.125% Guaranteed Sec. Bonds,D,N,6.125,,0,GBP,01/10/1999,40000000,40000000,39257000,39257000,40000000,,F
London & St Lawrence,531005,5% Preference Shares of GBP1 each,P,N,5,,5,GBP,,280000,280000,280000,280000,280000,,F
Lowland,536806,Debenture,D,N,11.25,,0,GBP,30/06/1990,0,6000000,6000000,6938520,6000000,,F
Lowland,536806,Bank Loan,L,N,5.574,,,GBP,22/12/2006,0,1750000,0,0,1750000,,T
Lowland,536806,Bank Loan,L,N,0.845,,,JPY,18/12/2006,156739530,672113,0,0,672113,,T
Lowland,536806,not specified on submission,L,N,0.955,,,JPY,18/01/2007,156853579,662480,662480,662480,662480,,F
M&G Recovery,3119389,Bank Loan 30/10/2008,L,N,50,,,GBP,07/05/2002,28000000,28000000,27935113,27977374,0,,F
Martin Currie Income & Growth,568809,Royal Bank of Scotland,L,N,5.516,,70,GBP,05/01/2007,6200000,6200000,6200000,6200952,6200000,,F
Martin Currie Pacific,569512,Lloyds TSB Bank,L,N,0.865,,67,JPY,26/01/2007,3040500000,12770432,12841734,12846269,12841734,,F
Martin Currie Portfolio,537241,Lloyds TSB loan,L,N,5.67,,67,USD,28/11/2006,19433000,0,9927966,9930974,9937578,,F
Merchants,580007,FDF LOAN,L,N,11.28,,65,GBP,02/01/1987,25667599,25667599,36143299,48354358,34034112,,F
Merchants,580007,FINTRUST LOAN 1,L,N,9.3,,65,GBP,20/05/1993,30000000,30000000,30441909,41243880,30000000,,F
Merchants,580007,FINTRUST LOAN 2,L,N,6,,65,GBP,01/03/1998,12000000,12000000,16453498,16497552,12000000,,F
Merchants,580007,DEBENTURE LOAN STOCK 2029,D,N,6.13,,65,GBP,20/12/1999,30000000,30000000,29261889,31129999,30000000,,F
Merchants,580007,4% PERPETUAL DEBENTURE STOCK,D,N,4,,65,GBP,,1375000,1375000,1375000,1129886,1375000,Maturity date not applicable,F
Merchants,580007,PREFERENCE STOCK,P,N,3.65,,65,GBP,,1178000,1178000,1178000,786668,1178000,Maturity date not applicable,F
Merrill Lynch British Smaller Companies,643610,7.75% Debenture Stock 2022,D,N,7.75,,0,GBP,,14636223,14636223,14761120,17751450,15000000,,F
Merrill Lynch British Smaller Companies,643610,overdraft,L,N,,,,GBP,,0,0,3988143,3988143,0,,F
Merrill Lynch Commodities Income,B0N8MF9,Bank Overdraft,L,N,,,,GBP,31/01/2007,6845813,6845813,6845813,6845813,6845813,as at 31/01/2007,F
Merrill Lynch Greater Europe,B01RDH7,Bank Overdraft,L,N,,,,GBP,31/01/2007,28170019,28170019,28170019,28170019,28170019,as at 31/01/07,F
Merrill Lynch Latin American,505840,Non-equity share capital,P,N,0,,0,GBP,,13000,13000,13000,13000,0,,F
Merrill Lynch World Mining,577485,Bank overdraft,L,N,,,,GBP,01/12/2006,8167299,8167299,0,0,8167299,,T
Merrill Lynch World Mining,577485,Bank overdraft,L,N,,,,GBP,01/01/2007,9384016,9384016,9384016,9384016,9384016,,F
Mid Wynd International,589383,US$3m,L,N,3.05,,0,USD,05/03/2004,3000000,1623552,1532645,1532645,0,,F
Midas Income & Growth,876999,Loan AIB variable,L,N,6.066,,50,GBP,21/12/2006,3250000,3250000,3250000,3265801,3250000,,F
Monks,3051726,11% Debenture 2012,D,N,11,,0,GBP,,40000000,40000000,40000000,49489200,0,,F
Monks,3051726,6.375% Debenture 2023,D,N,6.375,,0,GBP,,40000000,40000000,40000000,44021611,0,,F
Monks,3051726,Yen 8.2bn loan to 06/12/2010,L,N,1.373,,,JPY,06/12/2005,8200000000,39026173,34633190,34607806,0,,F
Monks,3051726,Yen 8.4bn loan to 13/12/2010,L,N,1.412,,,JPY,12/12/2005,8400000000,39839598,35477902,35551040,0,,F
Montanaro European Smaller Companies,454351,RBS Revolving Credit Facility,L,N,4.51,,65,EUR,,14843000,0,9853620,9853620,0,Drawn Down 09/01/07,F
Montanaro UK Smaller Companies,600756,7.5 Million ING BARING LOAN,L,N,5.735,,50,GBP,01/08/2002,7500000,7500000,7500000,7500000,7500000,,F
Montanaro UK Smaller Companies,600756,2.5 Million ING BARING LOAN,L,N,5.865,,50,GBP,12/12/2006,2500000,2500000,2500000,2500000,2500000,,F
Montanaro UK Smaller Companies,600756,overdraft,L,N,,,,GBP,,0,0,0,0,0,,T
Montanaro UK Smaller Companies,600756,3.0 Million ING BARING LOAN,L,N,5.894,,50,GBP,12/12/2006,3000000,3000000,3000000,3000000,3000000,,F
Murray Income,611112,Fixed Term,L,N,5.845,,50,GBP,31/01/2007,25000000,25000000,25000000,24873826,25000000,,F
Murray International,611190,1. Fixed Term,L,N,2.97,,70,JPY,01/01/2001,8400000000,49380278,35477902,36956432,35477902,,F
Murray International,611190,4. Fixed Term,L,N,2.82,,70,JPY,15/05/2006,1600000000,7728574,6757695,6953588,6757695,,F
Murray International,611190,5. Fixed Term,L,N,2.4,,70,JPY,01/01/2001,2250000000,11714107,9503009,9535796,9503009,,F
Murray International,611190,6. Fixed Term,L,N,2.48,,70,JPY,01/01/2001,1900000000,9891913,8024764,8058804,8024764,,F
Murray International,611190,7. Debenture,D,N,4,,70,GBP,01/01/2001,1620000,1620000,1620000,1274422,1620000,,F
Murray International,611190,2. Fixed Term,L,N,2.03,,70,JPY,17/02/2004,2300000000,11545237,9714187,9549018,9714187,,F
New City High Yield,506241,Short Term Bank Loan,L,N,5.94,,25,GBP,13/11/2006,13000000,13000000,13000000,13000000,13000000,,F
North Atlantic Smaller Companies,643900,Long Term Loan,L,N,2.763,,0,CAD,31/01/2001,2250000,1024545,973815,973815,0,,F
North Atlantic Smaller Companies,643900,Long Term Loan,L,N,3.423,,,CAD,31/01/2005,1000000,426849,432807,432807,0,,F
North Atlantic Smaller Companies,643900,Long Term Loan,L,N,,,,EUR,04/12/2006,1000000,673764,663856,663856,0,,F
Pacific Assets,667438,RBS revolving credit facility,L,N,6.02,,,USD,08/01/2007,0,0,10217636,10217636,0,,F
Perpetual Income & Growth,679842,overdraft,L,N,0,N,70,GBP,,0,230231840,91772311,91772311,23023184,,F
Perpetual Income & Growth,679842,Debenture Stock,D,N,6.125,Y,70,GBP,,0,0,29657911,30243000,0,,F
Perpetual Japanese,682958,overdraft,L,N,,N,,GBP,,0,0,645708,645708,0,,F
Polar Capital Technology,422002,ING LOAN,L,N,1.198,,0,JPY,23/07/2003,4010000000,0,16936475,16936475,0,,F
Polar Capital Technology,422002,ING LOAN,L,N,1.215,,0,JPY,30/09/2005,5000000000,0,21117799,21117799,0,,F
Recovery Trust,3076031,Revolving Credit Facility,L,N,0,,0,GBP,08/11/2006,0,3000000,3000000,3000000,3000000,,F
RIT Capital Partners,736639,US Dollar fixed rate loan,L,N,,,,USD,,150000000,0,76632267,75419333,0,,F
RIT Capital Partners,736639,Euro floating rate loan (fixed using int,L,N,,,,EUR,,150000000,0,99578451,99851846,0,erest rate swap),F
Royal London UK Equity & Income,3079405,BANK LOAN,L,N,6.502,,60,GBP,,50000000,50000000,50150000,50150000,50000000,,F
Schroder AsiaPacific,791887,ING,L,N,5.745,,0,USD,11/01/2007,40000000,20601035,20435721,20435721,20435721,US$ Loan $40 m,F
Schroder AsiaPacific,791887,ING,L,N,5.745,,0,USD,30/01/2007,15000000,7636891,7663226,7663226,7663226,US$ Loan $15 m,F
Schroder Japan Growth,802284,5.55 billion YEN loan,L,N,0.869,,0,JPY,29/01/2007,0,0,23440756,23440756,0,,F
Schroder UK Growth,791348,The Royal Bank of Scotland Fin (Ireland,L,N,5.459,,0,GBP,04/01/2007,30000000,30000000,30000000,30000000,30000000,,F
Schroder UK Mid & Small Cap,610841,RBS LOAN,L,N,6.077,,90,GBP,22/01/2007,5000000,5000000,5000000,5000000,5000000,,F
Scottish American,787369,8% Debenture Stock 2022,D,N,8,,0,GBP,12/01/2001,0,91673357,89048933,99844000,80000000,"Issued 30,000,000 - 12.1.01",F
Scottish Investment Trust,782609,4% perpetual debenture stock,D,N,4,,0,GBP,,350000,350000,350000,282029,350000,,F
Scottish Investment Trust,782609,4.25% perpetual debenture stock,D,N,4.25,,0,GBP,,700000,700000,700000,601936,700000,,F
Scottish Investment Trust,782609,5% perpetual debenture stock,D,N,5,,0,GBP,,1009490,1009490,1109490,979309,1009490,,F
Scottish Investment Trust,782609,5.75% secured bonds,D,N,5.75,,0,GBP,17/04/2000,108015000,108015000,105122396,113718799,108015000,,F
Scottish Mortgage,783884,8-14% Stepped Interest Deb. Stock 2020,D,N,0,,0,GBP,,20000000,20000000,20000000,35903800,0,,F
Scottish Mortgage,783884,6-12% Stepped Interest Deb. Stock 2026,D,N,0,,0,GBP,,50000000,50000000,50000000,88012000,0,,F
Scottish Mortgage,783884,6.875% Deb. Stock 2023,D,N,0,,0,GBP,,75000000,75000000,75000000,86968500,0,,F
Scottish Mortgage,783884,4.5% Irredeemable Deb. Stock,D,N,0,,0,GBP,,675000,675000,675000,605860,0,,F
Scottish Mortgage,783884,Yen 5.9bn 0.74% loan,L,N,0.74,,,JPY,08/06/2004,0,29269038,24919003,24919003,0,,F
Scottish Mortgage,783884,Eur 73m 4.265%,L,N,4.625,,,EUR,29/06/2006,0,50348300,48459904,48768329,0,,F
Scottish Mortgage,783884,Yen 7.84bn,L,N,0.82,,,JPY,31/10/2006,0,35081659,33112709,33112709,0,,F
Scottish Mortgage,783884,SFR 35.5m,L,N,2.29,,,CHF,31/10/2006,0,14939820,14534884,14534884,0,,F
Securities Trust of Scotland,B09G3N2,Lloyds TSB Loan,L,N,5.706,,65,GBP,15/01/2007,0,0,12000000,12001203,12000000,,F
Shires Income,805250,Index Linked Debentures,D,R,8.593,,50,GBP,06/03/1990,16000000,16000000,27259335,29337615,0,,F
Shires Income,805250,Preference Share,P,N,3.5,,0,GBP,,50000,50000,50000,50000,0,,F
Shires Income,805250,Bank Loans & Overdrafts,L,N,5.781,Y,50,GBP,26/01/2007,6016000,6016000,6016000,6016000,6016000,,F
Shires Income,805250,Banks Loans & Overdrafts,L,N,5.6,Y,50,GBP,27/12/2006,1820000,1820000,0,0,1820000,,T
Shires Income,805250,Banks Loans & Overdrafts,L,N,5.781,Y,50,GBP,24/01/2007,2715000,2715000,2715000,2715000,2715000,,F
Shires Income,805250,Banks Loans & Overdrafts,L,N,5.781,Y,50,GBP,29/01/2007,1269000,1269000,1269000,1269000,1269000,,F
Shires Income,805250,Banks Loans & Overdrafts,L,N,5.79,Y,50,GBP,24/01/2007,2133000,2133000,2133000,2133000,2133000,,F
Shires Income,805250,Banks Loans & Overdrafts,L,N,5.78,Y,50,GBP,15/01/2007,2867000,2867000,2867000,2867000,2867000,,F
Shires Smaller Companies,806372,FTSE Option,O,Z,0,,0,GBP,11/12/2003,12144600,12144600,14550300,14550300,16200000,,F
Shires Smaller Companies,806372,FTSE OPTION,O,Z,0,,0,GBP,29/07/2005,4065100,4065100,4303600,4303600,5300000,,F
Shires Smaller Companies,806372,Long Term Loan,L,N,5.49,,50,GBP,22/12/2005,10000000,10000000,10000000,10006520,10000000,,F
Shires Smaller Companies,806372,Bank Loans & Overdrafts,L,N,5.881,,50,GBP,24/01/2007,3440000,3440000,3440000,3440000,3440000,,F
Shires Smaller Companies,806372,Bank Loans & Overdrafts,L,N,5.881,,50,GBP,26/01/2007,1094000,1094000,1094000,1094000,1094000,,F
Shires Smaller Companies,806372,Bank Loans & Overdrafts,L,N,5.56,,50,GBP,18/12/2006,1060000,1060000,0,0,1060000,,T
Shires Smaller Companies,806372,Bank Loans & Overdrafts,L,N,6,,50,GBP,29/12/2006,62000,62000,0,0,62000,,T
Shires Smaller Companies,806372,Bank Loans & Overdrafts,L,N,5.731,,50,GBP,21/12/2006,580000,580000,0,0,580000,,T
Shires Smaller Companies,806372,Bank Loans & Overdrafts,L,N,5.6,,50,GBP,27/12/2006,550000,550000,0,0,550000,,T
Shires Smaller Companies,806372,Bank Loans & Overdrafts,L,N,5.6,,50,GBP,29/12/2006,390000,390000,0,0,390000,,T
Shires Smaller Companies,806372,Bank Loans & Overdrafts,L,N,5.881,Y,50,GBP,30/01/2007,143000,143000,143000,143000,143000,,F
Shires Smaller Companies,806372,Bank Loans & Overdrafts,L,N,5.79,Y,50,GBP,24/01/2007,368000,368000,368000,368000,368000,,F
Shires Smaller Companies,806372,Bank Loans & Overdrafts,L,N,5.79,Y,50,GBP,29/01/2007,450000,450000,450000,450000,450000,,F
Shires Smaller Companies,806372,Bank Loans & Overdrafts,L,N,6.25,Y,50,GBP,31/01/2007,403000,403000,403000,403000,403000,,F
Small Companies Dividend,661582,Short Term Bank Overdraft,L,N,0,,0,GBP,13/05/1999,6969650,6969650,4013090,4013090,0,,F
Small Companies Dividend,661582,Preference Shares,P,N,0,,0,GBP,13/05/1999,31260,31260,56643,56643,57715,56643,F
Small Companies Dividend,661582,Long Term Bank Overdraft,L,N,0,,0,GBP,11/09/2003,5000000,5000000,5000000,5000000,5000000,,F
Smaller Companies Value Trust,3152856,Lloyds TSB,L,N,6.215,,27,GBP,07/05/2002,8126824,8126824,8126824,8126824,8126824,,F
SR Europe,3066894,BANK OVERDRAFT,L,N,,,,GBP,30/04/2006,0,0,8612948,8612948,614375,,F
Standard Life Equity Income,603959,STERLING LOAN,L,N,5.801,,70,GBP,19/01/2007,4500000,4500000,4500000,4500000,4500000,,F
Standard Life Equity Income,603959,STERLING LOAN,L,N,5.801,,70,GBP,19/01/2007,4000000,4000000,4000000,4000000,4000000,,F
Standard Life Equity Income,603959,STERLING LOAN,L,N,5.801,,70,GBP,19/01/2007,2000000,2000000,2000000,2000000,2000000,,F
Standard Life Equity Income,603959,STERLING LOAN,L,N,5.801,,70,GBP,19/01/2007,2000000,2000000,2000000,2000000,2000000,,F
Standard Life Equity Income,603959,STERLING LOAN,L,N,5.801,,70,GBP,19/01/2007,1500000,1500000,1500000,1500000,1500000,,F
Temple Bar,882532,9 7/8% Debenture stock 2017,D,N,9.875,,60,GBP,,25000000,25000000,25000000,33438750,25000000,,F
Temple Bar,882532,5.5% Debenture stock 2021,D,N,5.5,,60,GBP,,38000000,38000000,38000000,37661420,38000000,,F
Throgmorton Trust,891055,12.3125% DEBENTURE 2010,D,N,12.313,Y,50,GBP,,0,17168645,17168645,20838443,17168645,,F
Throgmorton Trust,891055,TT Finance 11.3125% Debenture 2018,D,N,11.313,Y,50,GBP,,0,15000000,15000000,21778500,15000000,,F
TR European Growth,906692,RBS,L,N,2.425,,80,CHF,19/12/2006,7106131,2974832,0,0,2950500,CHF LOAN,T
TR European Growth,906692,RBS,L,N,4.07,,80,EUR,11/12/2006,12070903,8164014,0,0,8136773,EURO LOAN,T
TR European Growth,906692,RBS,L,N,4.115,,80,EUR,20/12/2006,11017852,7390563,0,0,7408204,EURO LOAN,T
TR European Growth,906692,RBS,L,N,4.105,,80,EUR,29/12/2006,5000000,3368818,0,0,3299023,EURO LOAN,T
TR European Growth,906692,RBS,L,N,2.455,,80,CHF,23/01/2007,7123199,2892728,2916475,2916475,0,CHF LOAN,F
TR European Growth,906692,RBS,L,N,4.035,,80,EUR,30/01/2007,16000000,10569079,10621701,10621701,0,EURO LOAN,F
TR Property,906409,Debenture Stock,D,N,11.5,,50,GBP,22/02/1991,15000000,15000000,15000000,20883750,15000000,,F
TR Property,906409,Debenture Stock,D,N,8.125,,50,GBP,17/11/1993,9806000,9806000,9950610,10399600,9806000,,F
TR Property,906409,Debenture Stock,D,N,8.125,,50,GBP,28/02/1997,15064000,15064000,15016377,15599400,15064000,,F
TR Property,906409,Short Term Bank Loan,L,N,4.7,,50,HKD,27/10/2006,13000000,876076,0,0,854069,,T
TR Property,906409,Short Term Bank Loan,L,N,5.741,,50,GBP,21/12/2006,25000000,25000000,0,0,25000000,,T
TR Property,906409,Short Term Bank Loan,L,N,5.681,,50,GBP,21/12/2006,51000000,51000000,0,0,51000000,,T
TR Property,906409,Short Term Bank Loan,L,N,5.78,,50,USD,21/12/2006,2000000,1021894,0,0,1021894,,T
TR Property,906409,Short Term  Bank Loan,L,N,6.002,Y,50,GBP,25/01/2007,25000000,25000000,25000000,25000000,25000000,,F
TR Property,906409,Short Term Bank Loan,L,N,5.811,Y,50,GBP,25/01/2007,51500000,51500000,51500000,51500000,51500000,,F
TR Property,906409,Short Term Bank Loan,L,N,4.43,Y,50,HKD,25/01/2007,13000000,850482,850482,850482,850482,,F
TR Property,906409,Short Term Bank Loan,L,N,5.76,Y,50,USD,25/01/2007,2000000,1021894,1021764,1021764,1021764,,F
UK Select Trust,461823,Revolving loan facility,L,N,4.686,,15,GBP,19/09/2002,5200000,5200000,5200000,5200000,5200000,Sterling Loan,F
US Special Opportunities,3031319,STERLING BUSINESS LOAN,L,N,6.02,,70,GBP,12/04/2001,0,0,34986946,34681356,35000000,,F
US Special Opportunities,3031319,CURRENCY SWAP,O,N,,,,USD,26/07/2004,51968000,28000000,0,0,30011550,,T
Utilico,B00KTN5,Unsecured loan,L,N,6.001,Y,0,GBP,03/06/2005,5000000,5000000,5000000,5000000,0,,F
Utilico,B00KTN5,Unsecured loan,L,N,4.28,Y,0,EUR,25/06/2004,7403000,4988000,4915000,4915000,0,,F
Utilico,B00KTN5,Unsecured loan,L,N,5.97,Y,0,USD,15/07/2005,9806000,5010000,5009000,5009000,0,,F
Utilico,B00KTN5,Unsecured loan,L,N,5.995,Y,0,USD,22/03/2005,9806000,5010000,5009000,5009000,0,,F
Utilico,B00KTN5,Unsecured loan,L,N,2.715,Y,0,CHF,22/03/2005,11786000,4933000,4826000,4826000,0,,F
Utilico,B00KTN5,Unsecured loan,L,N,2.49,Y,0,CHF,25/07/2005,11786000,4933000,4826000,4826000,0,,F
Utilico,B00KTN5,Unsecured loan,L,N,4.18,Y,0,EUR,27/03/2006,14806000,9977000,9829000,9829000,0,,F
Utilico,B00KTN5,Unsecured loan,L,N,5.92,Y,0,USD,14/08/2006,9806000,5010000,5009000,5009000,0,,F
Utilico Emerging Markets,B0DQY35,Unsecured Loan,L,N,4.65,,,HKD,31/07/2006,76507000,5026000,0,0,4963000,,T
Utilico Emerging Markets,B0DQY35,Unsecured loan,L,N,5.95,,,USD,05/06/2006,39382000,20122000,0,0,19944000,,T
Utilico Emerging Markets,B0DQY35,Unsecured loan,L,N,5.92,Y,,USD,31/01/2007,39140000,19996000,19996000,19996000,0,,F
Utilico Emerging Markets,B0DQY35,Unsecured loan,L,N,4.6,Y,,HKD,31/01/2007,76425000,5000000,5000000,5000000,0,,F
Value and Income,848471,Audax First Mortgage Debenture Stock,D,N,11,,0,GBP,,0,0,15000000,21003422,0,,F
Value and Income,848471,Value & Income Trust Debenture Stock,D,N,9.375,,0,GBP,,0,0,20000000,27204145,0,,F
Witan,974406,Debenture,D,N,8.5,,0,GBP,31/12/1991,46000000,46000000,45779050,56245972,46000000,,F
Witan,974406,Debenture,D,N,6.125,,0,GBP,15/12/2000,98703000,98703000,98500520,108291000,100000000,Issue costs spread over life of debenture,F
Witan,974406,Pref's,P,N,2.7,,0,GBP,21/06/1995,500000,500000,500000,277500,500000,No redemption date,F
Witan,974406,Pref's,P,N,3.4,,0,GBP,21/06/1995,2055000,2055000,2055000,1253550,2055000,No redemption date,F
Witan Pacific,365602,RBS Bank Loan,L,N,5.751,,,GBP,05/10/2005,3000000,3000000,3000000,3000000,0,,F
World Trust Fund,981536,Overdraft,L,N,0,,,GBP,,0,0,3409549,3409549,10692495,,F
Zero Preference Growth,822196,Bank of Scotland Loan 8,L,N,0,,,GBP,15/01/2007,0,0,2570000,2570000,2900000,,F
Zero Preference Growth,822196,Bank of Scotland Loan 9,L,N,0,,,GBP,22/01/2007,0,0,700000,700000,1100000,,F
