FundName,SEDOL(conv),Prior Charge,PCType,RepayType,Coupon,Fixed,% to Cap,CCY,Issued,IssuedValue,IssuedValGBP,CurrentValue,FairValue,RedValue,Notes,RedeemedFlag NIL
British Assets,129756,Bonds,D,N,6.25,,75,GBP,10/09/2001,60000000,60000000,59341249,68490000,0,,F
British Empire Securities & General,133508,Equities Index Unsecures Loan Stock,L,I,0,,,GBP,,0,0,9078400,9078400,0,,F
British Empire Securities & General,133508,10.375% Debenture Stock 2011,D,N,10.375,,,GBP,,0,0,8514940,10035197,0,,F
British Empire Securities & General,133508,8.125% Debenture Stock 2023,D,N,8.125,,,GBP,,0,0,14878881,19335900,0,,F
British Portfolio Trust,3096169,Barclays Loan Facility,L,N,5.433,,75,GBP,12/12/2001,6000000,6000000,6000000,6000000,6000000,,F
Brunner,149000,FDF LOAN,L,N,11.125,,70,GBP,02/01/1987,0,14887208,19358277,25883803,18191669,,F
Brunner,149000,FINTRUST LOAN 1,L,N,9.251,,70,GBP,20/05/1993,0,15000000,15214526,20621940,15000000,,F
Brunner,149000,FINTRUST LOAN 2,L,N,9.251,,70,GBP,01/03/1998,0,13000000,17819349,17872348,13000000,,F
Brunner,149000,PREF SHARES,P,N,,,,GBP,,0,0,450000,450000,0,,F
Charter European,3148639,European Unsecured Loan,L,N,3.294,,75,EUR,06/07/2006,9500000,0,6306845,6306845,0,,F
City Merchants High Yield,B0LNG76,overdraft,L,N,0,N,35,GBP,,0,13491563,9625912,9625912,13491563,,F
City of London,199049,11.5% Debenture 2014,D,N,11.5,,70,GBP,01/01/1990,6000000,6000000,6000000,8212440,6000000,,F
City of London,199049,10.25% Debenture 2020,D,N,10.25,,70,GBP,01/01/1990,10000000,10000000,10000000,14271900,10000000,,F
City of London,199049,8.5% Debenture 2021,D,N,8.5,,70,GBP,28/12/1995,30000000,30000000,30000000,38637000,30000000,,F
City of London,199049,4.2% Cum 1st Pref Stock,P,N,6,,70,GBP,25/09/1999,301982,301982,301982,292926,301982,,F
City of London,199049,4.2% Non-Cum 2nd Pref Stock,P,N,4,,70,GBP,25/09/1999,996000,996000,996000,764360,996000,,F
City of London,199049,Pref Ord Stock (14% Non-cum),P,N,20,,70,GBP,25/09/1999,590000,590000,590000,1917500,590000,,F
City of London,199049,Bank overdraft,L,N,5.75,,,GBP,29/12/2006,0,8000,0,0,8000,,T
Dunedin Income Growth,340609,Debenture 7.875%,D,N,7.875,,70,GBP,,28600000,28600000,28600000,34414952,0,,F
Dunedin Income Growth,340609,Loan 5.825%,L,N,5.825,,70,GBP,31/01/2007,20000000,20000000,20000000,20000000,20000000,,F
Dunedin Smaller Companies,B1GCL25,8.375% Debenture Stock 2022,D,N,8.375,,75,GBP,01/01/1998,15000000,15000000,0,0,0,,T
Dunedin Smaller Companies,B1GCL25,Bank Loan,L,N,5.925,,75,GBP,31/01/2007,10000000,10000000,10000000,10000000,10000000,,F
Eastern European,B0BN1P9,Bank Overdraft,L,N,,,,USD,31/01/2007,18890,9651,9652,9652,9652,Rollover,F
Eastern European,B0BN1P9,Bank Overdraft,L,N,,,,USD,31/01/2007,48180985,24614787,24614787,24614787,24614787,Rollover,F
Eclectic,341947,Royal Bank of Scotland Loan Facility,L,N,,,,AUD,,1000100,395766,395766,395766,395766,,F
Ecofin Water & Power Opportunities,3132643,Bank Overdraft,L,N,,,,HKD,,24573511,1607635,1607635,1607635,1607635,Rollover,F
Ecofin Water & Power Opportunities,3132643,Bank Overdraft,L,N,,,,AUD,,8680731,3435192,3435192,3435192,3435192,Rollover,F
Ecofin Water & Power Opportunities,3132643,Bank Overdraft,L,N,,,,NZD,,10144572,3561998,3561998,3561998,3561998,Rollover,F
Ecofin Water & Power Opportunities,3132643,Bank Overdraft,L,N,,,,PLN,,31391626,5325941,5325941,5325941,5325941,Rollover,F
Ecofin Water & Power Opportunities,3132643,Bank Overdraft,L,N,,,,CAD,,15528913,6721019,6721019,6721019,6721019,Rollover,F
Ecofin Water & Power Opportunities,3132643,Bank Overdraft,L,N,,,,CHF,,19259498,7885481,7885481,7885481,7885481,Rollover,F
Ecofin Water & Power Opportunities,3132643,Bank Overdraft,L,N,,,,JPY,,1917569075,8098971,8098971,8098971,8098971,Rollover,F
Ecofin Water & Power Opportunities,3132643,Bank Overdraft,L,N,,,,USD,,84435449,43136533,43136533,43136533,43136533,Rollover,F
Ecofin Water & Power Opportunities,3132643,Bank Overdraft,L,N,,,,EUR,,96300318,63927455,63927455,63927455,63927455,Rollover,F
Edinburgh Dragon,294502,USD Loan,L,N,7.26,,0,USD,,80000000,45439055,40870543,41864899,45439055,,F
Edinburgh Investment,305233,11.5 % Debenture Int,D,N,11.5,Y,70,GBP,,0,100000000,100000000,133895000,100000000,,F
Edinburgh Investment,305233,7.75% Debenture Int,D,N,7.75,Y,70,GBP,,0,100000000,100000000,123195620,100000000,,F
Edinburgh Small Companies,295958,7.75% Debenture Stock 2023,D,N,7.75,,50,GBP,,9648028,9648028,9648028,11770594,0,,F
Edinburgh Worldwide,291633,Sterling Loan,L,N,6.93,,75,GBP,,3800000,3800000,3800000,3873613,3800000,3800000,F
Edinburgh Worldwide,291633,USD loan,L,N,6.45,,75,USD,,31250000,19144765,15965056,16243267,0,,F
Edinburgh Worldwide,291633,JPY Loan,L,N,2.52,,75,JPY,,1313200000,5706749,5546379,5664147,0,,F
