Fund,Country,Percent,Date,SEDOL
JPMorgan European Growth,Norway,1,31/01/2007,B18JK16
JPMorgan European Growth,Portugal,1,31/01/2007,B18JK16
JPMorgan European Growth,Spain,7,31/01/2007,B18JK16
JPMorgan European Growth,Sweden,3,31/01/2007,B18JK16
JPMorgan European Growth,Switzerland,10,31/01/2007,B18JK16
JPMorgan European Growth,UK,2,31/01/2007,B18JK16
JPMorgan European Growth,Cash & Fixed Interest,16,31/01/2007,B18JK16
JPMorgan European Income,Austria,1,31/01/2007,B17XWW4
JPMorgan European Income,Belgium,2,31/01/2007,B17XWW4
JPMorgan European Income,Denmark,3,31/01/2007,B17XWW4
JPMorgan European Income,Finland,2,31/01/2007,B17XWW4
JPMorgan European Income,France,11,31/01/2007,B17XWW4
JPMorgan European Income,Germany,9,31/01/2007,B17XWW4
JPMorgan European Income,Ireland,1,31/01/2007,B17XWW4
JPMorgan European Income,Italy,7,31/01/2007,B17XWW4
JPMorgan European Income,Netherlands,5,31/01/2007,B17XWW4
JPMorgan European Income,Norway,2,31/01/2007,B17XWW4
JPMorgan European Income,Portugal,1,31/01/2007,B17XWW4
JPMorgan European Income,Spain,4,31/01/2007,B17XWW4
JPMorgan European Income,Sweden,5,31/01/2007,B17XWW4
JPMorgan European Income,Switzerland,7,31/01/2007,B17XWW4
JPMorgan European Income,UK,28,31/01/2007,B17XWW4
JPMorgan European Income,Cash & Fixed Interest,12,31/01/2007,B17XWW4
JPMorgan Fleming Claverhouse,UK,100,31/01/2007,342218
JPMorgan Fleming Japanese Smaller Cos,Japan,96,31/01/2007,316581
JPMorgan Fleming Japanese Smaller Cos,Cash & Fixed Interest,4,31/01/2007,316581
JPMorgan Fleming Mercantile,UK,93,31/01/2007,579403
JPMorgan Fleming Mercantile,Cash & Fixed Interest,7,31/01/2007,579403
JPMorgan Income & Capital,UK,87,31/01/2007,3073184
JPMorgan Income & Capital,Cash & Fixed Interest,13,31/01/2007,3073184
JPMorgan Income & Capital Pkg Unit,Not reported,,,
JPMorgan Income & Growth,Netherlands,1,31/01/2007,B1G3N00
JPMorgan Income & Growth,UK,99,31/01/2007,B1G3N00
JPMorgan Income & Growth Pkg Unit,Not reported,,,
JPMorgan Indian,India,99,31/01/2007,345035
JPMorgan Indian,Cash & Fixed Interest,1,31/01/2007,345035
JPMorgan Japanese,Japan,100,31/01/2007,174002
JPMorgan Mid Cap,UK,99,31/01/2007,235761
JPMorgan Mid Cap,Cash & Fixed Interest,1,31/01/2007,235761
JPMorgan Overseas,India,1,31/01/2007,914327
JPMorgan Overseas,European Emerging,3,31/01/2007,914327
JPMorgan Overseas,Finland,2,31/01/2007,914327
JPMorgan Overseas,France,9,31/01/2007,914327
JPMorgan Overseas,Germany,4,31/01/2007,914327
JPMorgan Overseas,Italy,5,31/01/2007,914327
JPMorgan Overseas,Netherlands,1,31/01/2007,914327
JPMorgan Overseas,Spain,2,31/01/2007,914327
JPMorgan Overseas,Switzerland,9,31/01/2007,914327
JPMorgan Overseas,UK,6,31/01/2007,914327
JPMorgan Overseas,Hong Kong,3,31/01/2007,914327
JPMorgan Overseas,Japan,11,31/01/2007,914327
JPMorgan Overseas,South Korea,1,31/01/2007,914327
JPMorgan Overseas,Brazil,2,31/01/2007,914327
JPMorgan Overseas,Mexico,1,31/01/2007,914327
JPMorgan Overseas,Canada,3,31/01/2007,914327
JPMorgan Overseas,USA,36,31/01/2007,914327
JPMorgan Overseas,Cash & Fixed Interest,1,31/01/2007,914327
JPMorgan Russian Securities,Russia,100,31/01/2007,3216473
JPMorgan Smaller Companies,UK,100,31/01/2007,741600
JPMorgan US Discovery,USA,100,31/01/2007,341710
Jubilee Investment Trust,Not reported,,,
Jupiter European Opportunities,Denmark,14,31/01/2007,19772
Jupiter European Opportunities,Finland,1,31/01/2007,19772
Jupiter European Opportunities,France,39,31/01/2007,19772
Jupiter European Opportunities,Germany,7,31/01/2007,19772
Jupiter European Opportunities,Netherlands,17,31/01/2007,19772
Jupiter European Opportunities,Norway,8,31/01/2007,19772
Jupiter European Opportunities,Sweden,3,31/01/2007,19772
Jupiter European Opportunities,Switzerland,7,31/01/2007,19772
Jupiter European Opportunities,UK,21,31/01/2007,19772
Jupiter European Opportunities,Cash & Fixed Interest,-17,31/01/2007,19772
Jupiter Primadona Growth,India,1,31/01/2007,703376
Jupiter Primadona Growth,European Emerging,4,31/01/2007,703376
Jupiter Primadona Growth,European Developed,8,31/01/2007,703376
Jupiter Primadona Growth,Ireland,2,31/01/2007,703376
Jupiter Primadona Growth,UK,76,31/01/2007,703376
Jupiter Primadona Growth,China,3,31/01/2007,703376
Jupiter Primadona Growth,Far East & Pacific Region,1,31/01/2007,703376
Jupiter Primadona Growth,Hong Kong,10,31/01/2007,703376
Jupiter Primadona Growth,Japan,3,31/01/2007,703376
Jupiter Primadona Growth,Latin America Region,2,31/01/2007,703376
Jupiter Primadona Growth,USA,5,31/01/2007,703376
Jupiter Primadona Growth,Cash & Fixed Interest,-15,31/01/2007,703376
Jupiter Second Enhanced Income,Ireland,3,31/01/2007,B02WRR9
Jupiter Second Enhanced Income,UK,96,31/01/2007,B02WRR9
Jupiter Second Enhanced Income,Cash & Fixed Interest,1,31/01/2007,B02WRR9
Jupiter Second Enhanced Pkg Unit,Not reported,,,
JZ Equity Partners,Not reported,,,
Keydata AIM VCT,Not reported,,,
Keydata AIM VCT C shares,Not reported,,,
Keystone,European Developed,1,31/01/2007,491206
Keystone,UK,90,31/01/2007,491206
Keystone,USA,7,31/01/2007,491206
Keystone,Cash & Fixed Interest,2,31/01/2007,491206
KGR Absolute Return,Not reported,,,
Law Debenture Corporation,France,3,31/01/2007,3142921
Law Debenture Corporation,Germany,4,31/01/2007,3142921
Law Debenture Corporation,Ireland,1,31/01/2007,3142921
Law Debenture Corporation,Netherlands,1,31/01/2007,3142921
Law Debenture Corporation,Spain,1,31/01/2007,3142921
Law Debenture Corporation,Switzerland,2,31/01/2007,3142921
Law Debenture Corporation,UK,64,31/01/2007,3142921
Law Debenture Corporation,Far East & Pacific Region,7,31/01/2007,3142921
Law Debenture Corporation,Japan,4,31/01/2007,3142921
Law Debenture Corporation,Cash & Fixed Interest,13,31/01/2007,3142921
Life Offices Opportunities,Not reported,,,
London & St Lawrence,Not reported,,,
Lowland,UK,96,31/01/2007,536806
Lowland,Canada,1,31/01/2007,536806
Lowland,Cash & Fixed Interest,3,31/01/2007,536806
M&G Equity,Not reported,,,
M&G Equity Package Unit,Not reported,,,
M&G High Income,Not reported,,,
M&G High Income Geared Unit,Not reported,,,
M&G High Income Package Unit,Not reported,,,
M&G Recovery,UK,78,31/01/2007,3119389
M&G Recovery,Cash & Fixed Interest,22,31/01/2007,3119389
M&G Recovery Package Unit,Not reported,,,
Martin Currie Income & Growth,UK,99,31/01/2007,568809
Martin Currie Income & Growth,Cash & Fixed Interest,1,31/01/2007,568809
Martin Currie Pacific,India,4,31/01/2007,569512
Martin Currie Pacific,Australia,15,31/01/2007,569512
Martin Currie Pacific,China,11,31/01/2007,569512
Martin Currie Pacific,Hong Kong,13,31/01/2007,569512
Martin Currie Pacific,Indonesia,1,31/01/2007,569512
Martin Currie Pacific,Japan,30,31/01/2007,569512
Martin Currie Pacific,Malaysia,2,31/01/2007,569512
Martin Currie Pacific,Singapore,3,31/01/2007,569512
Martin Currie Pacific,South Korea,11,31/01/2007,569512
Martin Currie Pacific,Taiwan,10,31/01/2007,569512
Martin Currie Portfolio,Belgium,1,31/01/2007,537241
Martin Currie Portfolio,France,1,31/01/2007,537241
Martin Currie Portfolio,Germany,1,31/01/2007,537241
Martin Currie Portfolio,Greece,1,31/01/2007,537241
Martin Currie Portfolio,Ireland,1,31/01/2007,537241
Martin Currie Portfolio,Spain,1,31/01/2007,537241
Martin Currie Portfolio,UK,78,31/01/2007,537241
Martin Currie Portfolio,Hong Kong,1,31/01/2007,537241
Martin Currie Portfolio,Indonesia,1,31/01/2007,537241
Martin Currie Portfolio,Japan,2,31/01/2007,537241
Martin Currie Portfolio,Taiwan,1,31/01/2007,537241
Martin Currie Portfolio,Canada,1,31/01/2007,537241
Martin Currie Portfolio,USA,11,31/01/2007,537241
Martin Currie Portfolio,Cash & Fixed Interest,-1,31/01/2007,537241
Matrix Income & Growth 2 VCT,Not reported,,,
Matrix Income & Growth 2 VCT C shares,Not reported,,,
Matrix Income & Growth 3 VCT,Not reported,,,
Matrix Income & Growth 4 VCT,Not reported,,,
Matrix Income & Growth VCT,Not reported,,,
Melchior Japan,Japan,99,31/01/2007,B104VL6
Melchior Japan,Cash & Fixed Interest,1,31/01/2007,B104VL6
Merchants,UK,101,31/01/2007,580007
Merchants,Cash & Fixed Interest,-1,31/01/2007,580007
Merrill Lynch British Smaller Companies,UK,100,31/01/2007,643610
Merrill Lynch Commodities Income,South Africa,11,31/01/2007,B0N8MF9
Merrill Lynch Commodities Income,France,4,31/01/2007,B0N8MF9
Merrill Lynch Commodities Income,Italy,2,31/01/2007,B0N8MF9
Merrill Lynch Commodities Income,Spain,2,31/01/2007,B0N8MF9
Merrill Lynch Commodities Income,UK,12,31/01/2007,B0N8MF9
Merrill Lynch Commodities Income,Australia,15,31/01/2007,B0N8MF9
Merrill Lynch Commodities Income,China,4,31/01/2007,B0N8MF9
Merrill Lynch Commodities Income,Singapore,1,31/01/2007,B0N8MF9
Merrill Lynch Commodities Income,Brazil,5,31/01/2007,B0N8MF9
Merrill Lynch Commodities Income,Peru,1,31/01/2007,B0N8MF9
Merrill Lynch Commodities Income,Canada,16,31/01/2007,B0N8MF9
Merrill Lynch Commodities Income,USA,26,31/01/2007,B0N8MF9
Merrill Lynch Commodities Income,Cash & Fixed Interest,1,31/01/2007,B0N8MF9
Merrill Lynch Greater Europe,Poland,1,31/01/2007,B01RDH7
Merrill Lynch Greater Europe,Russia,6,31/01/2007,B01RDH7
Merrill Lynch Greater Europe,Turkey,3,31/01/2007,B01RDH7
Merrill Lynch Greater Europe,Austria,1,31/01/2007,B01RDH7
Merrill Lynch Greater Europe,Belgium,2,31/01/2007,B01RDH7
Merrill Lynch Greater Europe,Denmark,2,31/01/2007,B01RDH7
Merrill Lynch Greater Europe,Finland,3,31/01/2007,B01RDH7
Merrill Lynch Greater Europe,France,16,31/01/2007,B01RDH7
Merrill Lynch Greater Europe,Germany,18,31/01/2007,B01RDH7
Merrill Lynch Greater Europe,Greece,3,31/01/2007,B01RDH7
Merrill Lynch Greater Europe,Ireland,4,31/01/2007,B01RDH7
Merrill Lynch Greater Europe,Italy,11,31/01/2007,B01RDH7
Merrill Lynch Greater Europe,Netherlands,3,31/01/2007,B01RDH7
Merrill Lynch Greater Europe,Norway,2,31/01/2007,B01RDH7
Merrill Lynch Greater Europe,Spain,6,31/01/2007,B01RDH7
Merrill Lynch Greater Europe,Sweden,2,31/01/2007,B01RDH7
Merrill Lynch Greater Europe,Switzerland,15,31/01/2007,B01RDH7
Merrill Lynch Greater Europe,UK,1,31/01/2007,B01RDH7
Merrill Lynch Greater Europe,Israel,1,31/01/2007,B01RDH7
Merrill Lynch Greater Europe,Cash & Fixed Interest,0,31/01/2007,B01RDH7
Merrill Lynch Latin American,Argentina,3,31/01/2007,505840
Merrill Lynch Latin American,Brazil,62,31/01/2007,505840
Merrill Lynch Latin American,Chile,6,31/01/2007,505840
Merrill Lynch Latin American,Colombia,1,31/01/2007,505840
Merrill Lynch Latin American,Mexico,28,31/01/2007,505840
Merrill Lynch Latin American,Panama,1,31/01/2007,505840
Merrill Lynch Latin American,Cash & Fixed Interest,-1,31/01/2007,505840
Merrill Lynch New Energy Technology,South Africa,3,31/01/2007,973793
Merrill Lynch New Energy Technology,India,3,31/01/2007,973793
Merrill Lynch New Energy Technology,Belgium,1,31/01/2007,973793
Merrill Lynch New Energy Technology,Denmark,7,31/01/2007,973793
Merrill Lynch New Energy Technology,France,2,31/01/2007,973793
Merrill Lynch New Energy Technology,Germany,14,31/01/2007,973793
Merrill Lynch New Energy Technology,Norway,1,31/01/2007,973793
Merrill Lynch New Energy Technology,Spain,6,31/01/2007,973793
Merrill Lynch New Energy Technology,UK,13,31/01/2007,973793
Merrill Lynch New Energy Technology,Australia,2,31/01/2007,973793
Merrill Lynch New Energy Technology,China,2,31/01/2007,973793
Merrill Lynch New Energy Technology,Canada,11,31/01/2007,973793
Merrill Lynch New Energy Technology,USA,29,31/01/2007,973793
Merrill Lynch New Energy Technology,Cash & Fixed Interest,6,31/01/2007,973793
Merrill Lynch World Mining,South Africa,12,31/01/2007,577485
Merrill Lynch World Mining,Zambia,4,31/01/2007,577485
Merrill Lynch World Mining,India,2,31/01/2007,577485
Merrill Lynch World Mining,Kazakhstan,1,31/01/2007,577485
Merrill Lynch World Mining,France,1,31/01/2007,577485
Merrill Lynch World Mining,UK,26,31/01/2007,577485
Merrill Lynch World Mining,Australia,12,31/01/2007,577485
Merrill Lynch World Mining,China,3,31/01/2007,577485
Merrill Lynch World Mining,Indonesia,1,31/01/2007,577485
Merrill Lynch World Mining,Laos,1,31/01/2007,577485
Merrill Lynch World Mining,Brazil,12,31/01/2007,577485
Merrill Lynch World Mining,Chile,3,31/01/2007,577485
Merrill Lynch World Mining,Mexico,2,31/01/2007,577485
Merrill Lynch World Mining,Peru,6,31/01/2007,577485
Merrill Lynch World Mining,Canada,9,31/01/2007,577485
Merrill Lynch World Mining,USA,7,31/01/2007,577485
Merrill Lynch World Mining,Cash & Fixed Interest,-2,31/01/2007,577485
Mid Wynd International,South Africa,1,31/01/2007,589383
Mid Wynd International,India,1,31/01/2007,589383
Mid Wynd International,Belgium,1,31/01/2007,589383
Mid Wynd International,Denmark,3,31/01/2007,589383
Mid Wynd International,Finland,2,31/01/2007,589383
Mid Wynd International,France,7,31/01/2007,589383
Mid Wynd International,Germany,3,31/01/2007,589383
Mid Wynd International,Ireland,2,31/01/2007,589383
Mid Wynd International,Netherlands,1,31/01/2007,589383
Mid Wynd International,Spain,1,31/01/2007,589383
Mid Wynd International,Sweden,4,31/01/2007,589383
Mid Wynd International,Switzerland,6,31/01/2007,589383
Mid Wynd International,UK,20,31/01/2007,589383
Mid Wynd International,Australia,3,31/01/2007,589383
Mid Wynd International,Hong Kong,2,31/01/2007,589383
Mid Wynd International,Japan,9,31/01/2007,589383
Mid Wynd International,Singapore,1,31/01/2007,589383
Mid Wynd International,South Korea,2,31/01/2007,589383
Mid Wynd International,Taiwan,1,31/01/2007,589383
Mid Wynd International,Brazil,1,31/01/2007,589383
Mid Wynd International,Canada,1,31/01/2007,589383
Mid Wynd International,USA,24,31/01/2007,589383
Mid Wynd International,Cash & Fixed Interest,4,31/01/2007,589383
Midas Income & Growth,European Developed,21,31/01/2007,876999
Midas Income & Growth,UK,47,31/01/2007,876999
Midas Income & Growth,Far East & Pacific Region,2,31/01/2007,876999
Midas Income & Growth,Japan,5,31/01/2007,876999
Midas Income & Growth,USA,1,31/01/2007,876999
Midas Income & Growth,Cash & Fixed Interest,24,31/01/2007,876999
Mithras,Not reported,,,
Monks,South Africa,1,31/01/2007,3051726
Monks,India,3,31/01/2007,3051726
Monks,Russia,1,31/01/2007,3051726
Monks,Belgium,1,31/01/2007,3051726
Monks,France,2,31/01/2007,3051726
Monks,Germany,2,31/01/2007,3051726
Monks,Ireland,1,31/01/2007,3051726
Monks,Netherlands,1,31/01/2007,3051726
Monks,Sweden,4,31/01/2007,3051726
Monks,Switzerland,1,31/01/2007,3051726
Monks,UK,17,31/01/2007,3051726
Monks,Australia,3,31/01/2007,3051726
Monks,China,1,31/01/2007,3051726
Monks,Hong Kong,1,31/01/2007,3051726
Monks,Japan,12,31/01/2007,3051726
Monks,Singapore,1,31/01/2007,3051726
Monks,South Korea,2,31/01/2007,3051726
Monks,Taiwan,1,31/01/2007,3051726
Monks,Thailand,1,31/01/2007,3051726
Monks,Vietnam,1,31/01/2007,3051726
Monks,Argentina,1,31/01/2007,3051726
Monks,Brazil,3,31/01/2007,3051726
Monks,Canada,2,31/01/2007,3051726
Monks,USA,25,31/01/2007,3051726
Monks,Cash & Fixed Interest,12,31/01/2007,3051726
Montanaro European Smaller Companies,Czech Republic,1,31/01/2007,454351
Montanaro European Smaller Companies,Poland,2,31/01/2007,454351
Montanaro European Smaller Companies,Austria,4,31/01/2007,454351
Montanaro European Smaller Companies,Belgium,1,31/01/2007,454351
Montanaro European Smaller Companies,Finland,12,31/01/2007,454351
Montanaro European Smaller Companies,France,4,31/01/2007,454351
Montanaro European Smaller Companies,Germany,6,31/01/2007,454351
Montanaro European Smaller Companies,Greece,3,31/01/2007,454351
Montanaro European Smaller Companies,Ireland,2,31/01/2007,454351
Montanaro European Smaller Companies,Italy,2,31/01/2007,454351
Montanaro European Smaller Companies,Netherlands,2,31/01/2007,454351
Montanaro European Smaller Companies,Norway,6,31/01/2007,454351
Montanaro European Smaller Companies,Spain,1,31/01/2007,454351
Montanaro European Smaller Companies,Sweden,16,31/01/2007,454351
Montanaro European Smaller Companies,Switzerland,3,31/01/2007,454351
Montanaro European Smaller Companies,UK,25,31/01/2007,454351
Montanaro European Smaller Companies,Canada,1,31/01/2007,454351
Montanaro European Smaller Companies,Cash & Fixed Interest,9,31/01/2007,454351
Montanaro UK Smaller Companies,UK,95,31/01/2007,600756
Montanaro UK Smaller Companies,Cash & Fixed Interest,5,31/01/2007,600756
Murray Income,UK,98,31/01/2007,611112
Murray Income,Cash & Fixed Interest,2,31/01/2007,611112
Murray International,India,2,31/01/2007,611190
Murray International,New Zealand,1,31/01/2007,611190
Murray International,Belgium,2,31/01/2007,611190
Murray International,Denmark,1,31/01/2007,611190
Murray International,France,3,31/01/2007,611190
Murray International,Germany,3,31/01/2007,611190
Murray International,Italy,2,31/01/2007,611190
Murray International,Netherlands,1,31/01/2007,611190
Murray International,Portugal,1,31/01/2007,611190
Murray International,Spain,1,31/01/2007,611190
Murray International,Sweden,1,31/01/2007,611190
Murray International,Switzerland,1,31/01/2007,611190
Murray International,UK,23,31/01/2007,611190
Murray International,Australia,1,31/01/2007,611190
Murray International,China,1,31/01/2007,611190
Murray International,Hong Kong,4,31/01/2007,611190
Murray International,Indonesia,1,31/01/2007,611190
Murray International,Japan,12,31/01/2007,611190
Murray International,Malaysia,3,31/01/2007,611190
Murray International,Singapore,1,31/01/2007,611190
Murray International,South Korea,2,31/01/2007,611190
Murray International,Taiwan,2,31/01/2007,611190
Murray International,Thailand,1,31/01/2007,611190
Murray International,Brazil,5,31/01/2007,611190
Murray International,Mexico,6,31/01/2007,611190
Murray International,Canada,1,31/01/2007,611190
Murray International,USA,6,31/01/2007,611190
Murray International,Cash & Fixed Interest,12,31/01/2007,611190
Murray VCT 4,Not reported,,,
Neptune-Calculus Income & Growth VCT,Not reported,,,
Neptune-Calculus Income & Growth VCT C shares,Not reported,,,
New City High Yield,UK,41,31/01/2007,506241
New City High Yield,Far East & Pacific Region,3,31/01/2007,506241
New City High Yield,Cash & Fixed Interest,56,31/01/2007,506241
New India,India,100,31/01/2007,604877
New India,Cash & Fixed Interest,0,31/01/2007,604877
New Zealand,New Zealand,70,31/01/2007,634874
New Zealand,Australia,28,31/01/2007,634874
New Zealand,Cash & Fixed Interest,2,31/01/2007,634874
Noble VCT,Not reported,,,
North Atlantic Smaller Companies,UK,55,31/01/2007,643900
North Atlantic Smaller Companies,USA,23,31/01/2007,643900
North Atlantic Smaller Companies,Cash & Fixed Interest,22,31/01/2007,643900
Northern 2 VCT,Not reported,,,
Northern 3 VCT,Not reported,,,
Northern AIM VCT,Not reported,,,
Northern Investors,Not reported,,,
Northern Venture Trust VCT,Not reported,,,
Northern Venture Trust VCT C shares,Not reported,,,
Old Mutual South Africa,Cash & Fixed Interest,100,31/01/2007,659941
Pacific Assets,China,10,31/01/2007,667438
Pacific Assets,Hong Kong,21,31/01/2007,667438
Pacific Assets,Indonesia,5,31/01/2007,667438
Pacific Assets,Malaysia,7,31/01/2007,667438
Pacific Assets,Philippines,4,31/01/2007,667438
Pacific Assets,Singapore,15,31/01/2007,667438
Pacific Assets,South Korea,19,31/01/2007,667438
Pacific Assets,Taiwan,16,31/01/2007,667438
Pacific Assets,Thailand,2,31/01/2007,667438
Pacific Assets,Cash & Fixed Interest,1,31/01/2007,667438
Pacific Horizon,India,1,31/01/2007,666747
Pacific Horizon,Hong Kong,33,31/01/2007,666747
Pacific Horizon,Indonesia,5,31/01/2007,666747
Pacific Horizon,Malaysia,5,31/01/2007,666747
Pacific Horizon,Philippines,2,31/01/2007,666747
Pacific Horizon,Singapore,13,31/01/2007,666747
Pacific Horizon,South Korea,14,31/01/2007,666747
Pacific Horizon,Taiwan,14,31/01/2007,666747
Pacific Horizon,Thailand,9,31/01/2007,666747
Pacific Horizon,Vietnam,3,31/01/2007,666747
Pacific Horizon,Cash & Fixed Interest,1,31/01/2007,666747
Pantheon International Participations,Not reported,,,
Pennine AIM VCT,Not reported,,,
Pennine AIM VCT 5,Not reported,,,
Pennine AIM VCT 6,Not reported,,,
Pennine Downing AIM VCT 2,Not reported,,,
Perpetual Income & Growth,European Developed,1,31/01/2007,679842
Perpetual Income & Growth,UK,93,31/01/2007,679842
Perpetual Income & Growth,USA,8,31/01/2007,679842
Perpetual Income & Growth,Cash & Fixed Interest,-2,31/01/2007,679842
Perpetual Japanese,Japan,100,31/01/2007,682958
Personal Assets,UK,50,31/01/2007,682754
Personal Assets,USA,2,31/01/2007,682754
Personal Assets,Cash & Fixed Interest,48,31/01/2007,682754
Phoenix VCT,Not reported,,,
Phoenix VCT C shares,Not reported,,,
Platinum,Not reported,,,
Polar Capital Technology,France,3,31/01/2007,422002
Polar Capital Technology,Germany,1,31/01/2007,422002
Polar Capital Technology,Luxembourg,1,31/01/2007,422002
Polar Capital Technology,Netherlands,4,31/01/2007,422002
Polar Capital Technology,Norway,1,31/01/2007,422002
Polar Capital Technology,UK,14,31/01/2007,422002
Polar Capital Technology,Japan,10,31/01/2007,422002
Polar Capital Technology,South Korea,2,31/01/2007,422002
Polar Capital Technology,Taiwan,8,31/01/2007,422002
Polar Capital Technology,USA,50,31/01/2007,422002
Polar Capital Technology,Cash & Fixed Interest,6,31/01/2007,422002
Prelude Trust,Not reported,,,
Premier Utilities,Czech Republic,5,31/01/2007,3353790
Premier Utilities,Hungary,2,31/01/2007,3353790
Premier Utilities,France,11,31/01/2007,3353790
Premier Utilities,Germany,10,31/01/2007,3353790
Premier Utilities,Italy,11,31/01/2007,3353790
Premier Utilities,Portugal,4,31/01/2007,3353790
Premier Utilities,Spain,3,31/01/2007,3353790
Premier Utilities,UK,22,31/01/2007,3353790
Premier Utilities,China,7,31/01/2007,3353790
Premier Utilities,Far East & Pacific Region,4,31/01/2007,3353790
Premier Utilities,Hong Kong,2,31/01/2007,3353790
Premier Utilities,Malaysia,2,31/01/2007,3353790
Premier Utilities,Singapore,2,31/01/2007,3353790
Premier Utilities,South Korea,3,31/01/2007,3353790
Premier Utilities,Canada,3,31/01/2007,3353790
Premier Utilities,USA,8,31/01/2007,3353790
Premier Utilities,Cash & Fixed Interest,1,31/01/2007,3353790
Principle Capital,Not reported,,,
Principle Capital C shares,Not reported,,,
Private Equity Investor,USA,62,31/01/2007,50403
Private Equity Investor,Cash & Fixed Interest,38,31/01/2007,50403
Prodesse,Not reported,,,
Prospect Japan Fund,Not reported,,,
ProVen Growth and Income VCT,Not reported,,,
ProVen Growth and Income VCT C shares,Not reported,,,
ProVen VCT,Not reported,,,
Puma VCT,Not reported,,,
Puma VCT II,Not reported,,,
Quester VCT,Not reported,,,
Recovery Trust,UK,97,31/01/2007,3076031
Recovery Trust,Cash & Fixed Interest,3,31/01/2007,3076031
Renaissance US Growth,Canada,3,31/01/2007,732518
Renaissance US Growth,USA,78,31/01/2007,732518
Renaissance US Growth,Cash & Fixed Interest,19,31/01/2007,732518
Rensburg AIM VCT,Not reported,,,
Resources Investment Trust,UK,11,31/01/2007,3098314
Resources Investment Trust,Australia,2,31/01/2007,3098314
Resources Investment Trust,Canada,15,31/01/2007,3098314
Resources Investment Trust,USA,1,31/01/2007,3098314
Resources Investment Trust,Cash & Fixed Interest,71,31/01/2007,3098314
Rights & Issues,Not reported,,,
RIT Capital Partners,Africa Regional,1,31/01/2007,736639
RIT Capital Partners,India,3,31/01/2007,736639
RIT Capital Partners,Other Asia,1,31/01/2007,736639
RIT Capital Partners,Kazakhstan,1,31/01/2007,736639
RIT Capital Partners,Russia,1,31/01/2007,736639
RIT Capital Partners,Denmark,1,31/01/2007,736639
RIT Capital Partners,European Developed,7,31/01/2007,736639
RIT Capital Partners,France,2,31/01/2007,736639
RIT Capital Partners,Germany,4,31/01/2007,736639
RIT Capital Partners,Italy,2,31/01/2007,736639
RIT Capital Partners,Netherlands,1,31/01/2007,736639
RIT Capital Partners,Sweden,1,31/01/2007,736639
RIT Capital Partners,Switzerland,1,31/01/2007,736639
RIT Capital Partners,UK,12,31/01/2007,736639
RIT Capital Partners,Australia,1,31/01/2007,736639
RIT Capital Partners,China,1,31/01/2007,736639
RIT Capital Partners,Hong Kong,1,31/01/2007,736639
RIT Capital Partners,Japan,5,31/01/2007,736639
RIT Capital Partners,Singapore,4,31/01/2007,736639
RIT Capital Partners,Taiwan,2,31/01/2007,736639
RIT Capital Partners,Canada,4,31/01/2007,736639
RIT Capital Partners,USA,37,31/01/2007,736639
RIT Capital Partners,Cash & Fixed Interest,7,31/01/2007,736639
Royal London UK Equity & Income,UK,82,31/01/2007,3079405
Royal London UK Equity & Income,Cash & Fixed Interest,18,31/01/2007,3079405
Rutland Trust,Not reported,,,
Schroder AsiaPacific,India,4,31/01/2007,791887
Schroder AsiaPacific,China,6,31/01/2007,791887
Schroder AsiaPacific,Hong Kong,23,31/01/2007,791887
Schroder AsiaPacific,Indonesia,7,31/01/2007,791887
Schroder AsiaPacific,Malaysia,4,31/01/2007,791887
Schroder AsiaPacific,Philippines,6,31/01/2007,791887
Schroder AsiaPacific,Singapore,13,31/01/2007,791887
Schroder AsiaPacific,South Korea,20,31/01/2007,791887
Schroder AsiaPacific,Taiwan,12,31/01/2007,791887
Schroder AsiaPacific,Thailand,2,31/01/2007,791887
Schroder AsiaPacific,Cash & Fixed Interest,3,31/01/2007,791887
Schroder Income Growth,UK,94,31/01/2007,791586
Schroder Income Growth,Cash & Fixed Interest,6,31/01/2007,791586
Schroder Japan Growth,Japan,99,31/01/2007,802284
Schroder Japan Growth,Cash & Fixed Interest,1,31/01/2007,802284
Schroder UK Growth,UK,101,31/01/2007,791348
Schroder UK Growth,Cash & Fixed Interest,-1,31/01/2007,791348
Schroder UK Mid & Small Cap,UK,99,31/01/2007,610841
Schroder UK Mid & Small Cap,Cash & Fixed Interest,1,31/01/2007,610841
Scottish American,India,1,31/01/2007,787369
Scottish American,Russia,2,31/01/2007,787369
Scottish American,France,1,31/01/2007,787369
Scottish American,Germany,2,31/01/2007,787369
Scottish American,Greece,1,31/01/2007,787369
Scottish American,Sweden,3,31/01/2007,787369
Scottish American,UK,68,31/01/2007,787369
Scottish American,Japan,2,31/01/2007,787369
Scottish American,South Korea,1,31/01/2007,787369
Scottish American,Brazil,3,31/01/2007,787369
Scottish American,USA,12,31/01/2007,787369
Scottish American,Cash & Fixed Interest,4,31/01/2007,787369
Scottish Investment Trust,New Zealand,1,31/01/2007,782609
Scottish Investment Trust,France,6,31/01/2007,782609
Scottish Investment Trust,Germany,6,31/01/2007,782609
Scottish Investment Trust,Ireland,1,31/01/2007,782609
Scottish Investment Trust,Italy,3,31/01/2007,782609
Scottish Investment Trust,Sweden,1,31/01/2007,782609
Scottish Investment Trust,Switzerland,1,31/01/2007,782609
Scottish Investment Trust,UK,37,31/01/2007,782609
Scottish Investment Trust,Australia,2,31/01/2007,782609
Scottish Investment Trust,China,2,31/01/2007,782609
