Fund,Convertible,SEDOL,Outstanding,ParValue,FairValue,CCY,Sh/Cnv,RedempDate,Issued,Repurch,Converted,Redeemed,Note
Cayenne,Cayenne 2011 3.25%,B11H1Q9,10000000,100,10450000,GBX,0.708,08/08/2011,0,0,0,0,
Eclectic,Eclectic Investment 2007 3.5%,344913,610639,90,867107,GBX,0.906,30/11/2007,0,0,0,0,
North Atlantic Smaller Companies,North Atlantic SMC 2013 10%,643911,5711107,5,65534953,GBX,1,31/05/2013,0,0,0,0,
Utilico,Utilico 2009 3.75%,B00K009,19958502,100,37521984,GBX,0.75,30/11/2009,0,0,0,0,
