AIC,Fund,Share,MonthEnd,Code,Total Assets incl CYR,PC Total Par,PC Total Fair,PC Debt Par,PC Debt Fair,TotLongCashOffset,TotShortCashOffset,PC Equity,Convertibles Par,Convertibles Fair,PC Gearing,Monthend MidPrice,Price for TS dilution,CurrYrRev(CYR),Rev Res (splits only),RevAllocation % (splits only),Shares,Shares,Shares,Shares,Sell,Cash/CashEquiv,GrossGearing,NetGearing,NetCash,Gearing,Range,NoRange,GearingNote,Permanent,CYR allocation %,SHF per share inc CYR,SHF per share exc CYR,Par, Par, Par, Par, Par, Par, Par, Par, Par, Par,Fair,Fair,Fair,Fair,Fair,Fair,Fair,Fair,Fair,Fair,PFY,Regional distribution,,,,,,,,Additional geographic,,,,,,,,CFI Exposure,,,,,,CCY Exposure,,,,,,Flags,Add P/F,,,,,,,,AIC,Unit1,Unit1,Unit1,Unit1,Unit1,Unit1,Unit2,Unit2,Unit2,Unit2,Unit2,Unit2,Total Assets ex CYR,FootNote,FairValue,ShareNote,Reported Currency
Category,Name,Type,Date,ISIN,Total Assets incl CYR,PC Total Par,PC Total Fair,PC Debt Par,PC Debt Fair,TotLongCashOffset,TotShortCashOffset,PC Equity,Convertibles Par,Convertibles Fair,PC Gearing,MonthEnd MidPrice,Price for TS dilution,CurrYrRev(CYR),Rev Res (splits only),Rev Allocation % (splits only),Number,Issued,Purch,Treasury,below NAV,Cash/CashEquiv,GrossGearing,NetGearing,NetCash,From,To,NoRange,GearingNote,Loss,CYR allocation %,SHF per share inc CYR,SHF per share exc CYR,PCNCWNE,   PCNCWE,   PCCWNE,   PCCWE,   PCCWETS,PCNCWNEcum,PCNCWEcum,PCCWNEcum,PCCWEcum,PCCWETScum,FCNCWNE,   FCNCWE,   FCCWNE,   FCCWE,   FCCWETS,FCNCWNEcum,FCNCWEcum,FCCWNEcum,FCCWEcum,FCCWETScum,PFY,Cash/Cash Equiv.,Fixed Interest,Hong Kong,Singa pore,Korea ,Taiwan ,China ,Other , , , , , , , , ,Hong Kong,Singa pore,Korea ,Taiwan ,China ,Other ,Hong Kong,Singa pore,Korea ,Taiwan ,China ,Other ,Flags,,,,,,,,,Cat 2,Name,in issue,NAV Par,NAV Fair,Gross Gearing,Net Gearing,Name,in issue,NAV Par,NAV Fair,Gross Gearing,Net Gearing,Total Assets ex CYR,FootNote,Note,Note,
Asia Pacific - Excluding Japan,Pacific Assets,Ordinary Share,30/06/2014,GB0006674385,199347518,0,0,0,0,0,0,0,0,0,0,165,,1185786,,,116848386,0,0,0,N/A,6.26,0,0,6,,,Y,,N,100,199347518,198161732,169.59,,,,,170.6,,,,,169.59,,,,,170.6,,,,,1.53,6.26,0,4.92,6.8,9.65,17.34,3.57,51.46,0,0,0,0,0,0,0,0,1,27,-7,6,0,73,5,9,9,18,3,56,,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,198161732,,,,GBP
Asia Pacific - Excluding Japan,Pacific Horizon,Ordinary Share,30/06/2014,GB0006667470,142479368,4093807,4093807,4093807,4093807,0,0,0,0,0,4093807,176,,592457,,,70126152,0,0,0,N/A,1,3,2,,,,Y,,N,100,138385561,137793104,196.49,,,,,197.34,,,,,196.49,,,,,197.34,,,,,1.6,1,0,8,7,28,19,18,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,141886911,,,,GBP
Asia Pacific - Excluding Japan,Schroder AsiaPacific,Ordinary Share,30/06/2014,GB0007918872,476311717,8772699,8772699,8772699,8772699,0,0,0,0,0,8772699,247.75,,1855686,,,169225716,0,0,0,N/A,2,2,0,,,,Y,,N,100,467539018,465683332,275.18,,,,,276.28,,,,,275.18,,,,,276.28,,,,,2,2,0,22,11,11,12,6,36,0,0,0,0,0,0,0,0,0,0,0,0,2,98,22,11,11,12,6,38,,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,474456031,,Par and fair value are not materially different.,,GBP
Asia Pacific - Excluding Japan,Schroder Oriental Income,Ordinary Share,30/06/2014,GB00B0CRWN59,444227748,41786958,41786958,41786958,41786958,0,0,0,0,0,41786958,185,,6575202,,,220216575,1325000,0,16725000,N/A,7,10,3,,,,Y,,N,100,402440790,395865588,179.76,,,,179.76,182.75,,,,182.75,179.76,,,,179.76,182.75,,,,182.75,4.3,7,0,18,16,4,13,5,37,0,0,0,0,0,0,0,0,2,19,0,0,0,79,18,16,4,13,5,44,,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,437652546,,,"Share issues during month: Date 05/06/2014 Shares -250,000 Price 186.02 Consideration -465,050.00
Date 06/06/2014 Shares -100,000 Price 186.07 Consideration -186,070.00
Date 06/06/2014 Shares -100,000 Price 186.07 Consideration -186,070.00
Date 10/06/2014 Shares -100,000 Price 186.41 Consideration -186,410.00
Date 12/06/2014 Shares -100,000 Price 186.26 Consideration -186,260.00
Date 20/06/2014 Shares -100,000 Price 183.75 Consideration -183,750.00
Date 23/06/2014 Shares -125,000 Price 183.50 Consideration -229,375.00
Date 25/06/2014 Shares -100,000 Price 183.23 Consideration -183,230.00
Date 30/06/2014 Shares -350,000 Price 183.75 Consideration -643,125.00
",GBP
Asia Pacific - Excluding Japan,Scottish Oriental Smaller Companies,Ordinary Share,30/06/2014,GB0007836132,287712410,19002514,19002514,19002514,19002514,0,0,0,0,0,19002514,822,,1504468,,,31643650,0,0,0,N/A,15,7,0,9,0,10,,,N,100,268709896,267205428,844.42,,,,,849.17,,,,,844.42,,,,,849.17,,,,,2.19,15,0,7.5,15.1,3.9,11.5,13.9,33.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,15,4,12,14,48,,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,286207942,,Interest paid monthly.,,GBP
Category,Name,Type,Date,ISIN,Total Assets incl CYR,PC Total Par,PC Total Fair,PC Debt Par,PC Debt Fair,TotLongCashOffset,TotShortCashOffset,PC Equity,Convertibles Par,Convertibles Fair,PC Gearing,MonthEnd MidPrice,Price for TS dilution,CurrYrRev(CYR),Rev Res (splits only),Rev Allocation % (splits only),Number,Issued,Purch,Treasury,below NAV,Cash/CashEquiv,GrossGearing,NetGearing,NetCash,From,To,NoRange,GearingNote,Loss,CYR allocation %,SHF per share inc CYR,SHF per share exc CYR,PCNCWNE,   PCNCWE,   PCCWNE,   PCCWE,   PCCWETS,PCNCWNEcum,PCNCWEcum,PCCWNEcum,PCCWEcum,PCCWETScum,FCNCWNE,   FCNCWE,   FCCWNE,   FCCWE,   FCCWETS,FCNCWNEcum,FCNCWEcum,FCCWNEcum,FCCWEcum,FCCWETScum,PFY,Cash/Cash Equiv.,Fixed Interest,Japan ,Hong Kong,Korea ,Taiwan ,Singa pore,Other , , , , , , , , ,Japan ,Hong Kong,Korea ,Taiwan ,Singa pore,Other ,Japan ,Hong Kong,Korea ,Taiwan ,Singa pore,Other ,Flags,,,,,,,,,Cat 2,Name,in issue,NAV Par,NAV Fair,Gross Gearing,Net Gearing,Name,in issue,NAV Par,NAV Fair,Gross Gearing,Net Gearing,Total Assets ex CYR,FootNote,Note,Note,
Asia Pacific - Including Japan,Martin Currie Pacific,Ordinary Share,30/06/2014,GB0005695126,135351521,0,0,0,0,0,0,0,0,0,0,279,,3078587,,,42250097,0,0,1480785,No,2.45,0,0,2,0,20,,,N,100,135351521,132272934,313.07,,,,313.07,320.36,,,,320.36,313.07,,,,313.07,320.36,,,,320.36,,2.45,0.23,24.66,25.51,9.22,7.51,6.55,23.87,0,0,0,0,0,0,0,0,25,26,9,8,7,25,25,26,9,8,7,25,,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,132272934,,The Loan has been repaid as at 30 June 2014,,GBP
Asia Pacific - Including Japan,Witan Pacific,Ordinary Share,30/06/2014,GB0003656021,167306000,0,0,0,0,0,0,0,0,0,0,220.25,,1442000,,,65944000,0,0,0,N/A,3.5,0,0,4,0,5,,,N,100,167306000,165864000,251.52,,,,,253.71,,,,,251.52,,,,,253.71,,,,,,3.5,0,21.88,12.43,4.06,4.37,10.45,43.31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,165864000,,,,GBP
Category,Name,Type,Date,ISIN,Total Assets incl CYR,PC Total Par,PC Total Fair,PC Debt Par,PC Debt Fair,TotLongCashOffset,TotShortCashOffset,PC Equity,Convertibles Par,Convertibles Fair,PC Gearing,MonthEnd MidPrice,Price for TS dilution,CurrYrRev(CYR),Rev Res (splits only),Rev Allocation % (splits only),Number,Issued,Purch,Treasury,below NAV,Cash/CashEquiv,GrossGearing,NetGearing,NetCash,From,To,NoRange,GearingNote,Loss,CYR allocation %,SHF per share inc CYR,SHF per share exc CYR,PCNCWNE,   PCNCWE,   PCCWNE,   PCCWE,   PCCWETS,PCNCWNEcum,PCNCWEcum,PCCWNEcum,PCCWEcum,PCCWETScum,FCNCWNE,   FCNCWE,   FCCWNE,   FCCWE,   FCCWETS,FCNCWNEcum,FCNCWEcum,FCCWNEcum,FCCWEcum,FCCWETScum,PFY,Cash/Cash Equiv.,Fixed Interest,UK ,Cont. Europe,North America,Japan ,Other Pacific,Other , , , , , , , , ,UK ,Cont. Europe,North America,Japan ,Other Pacific,Other ,UK ,Cont. Europe,North America,Japan ,Other Pacific,Other ,Flags,,,,,,,,,Cat 2,Name,in issue,NAV Par,NAV Fair,Gross Gearing,Net Gearing,Name,in issue,NAV Par,NAV Fair,Gross Gearing,Net Gearing,Total Assets ex CYR,FootNote,Note,Note,
Country Specialists: Asia Pacific,Aberdeen New Thai,Ordinary Share,30/06/2014,GB0000059971,98634601,2650000,2650000,2650000,2650000,0,0,0,0,0,2650000,400,,1318675,,,20823425,0,0,0,N/A,1,3,2,,0,15,,,N,100,95984601,94665926,454.61,,,,,460.95,,,,,454.61,,,,,460.95,,,,,,1,0,0,0,0,0,99,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,d,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,97315926,,,,GBP
Country Specialists: Asia Pacific,Fidelity China Special Situations,Ordinary Share,30/06/2014,GB00B62Z3C74,822330078,154538006,154857801,154538006,154857801,57868310,8973475,0,0,0,154538006,103.1,,12170918,,,571354480,0,0,0,N/A,0.71,23,22,,0,30,,,N,100,667792072,655621154,114.75,,,,,116.88,,,,,114.69,,,,,116.82,,,,,,0.71,0,0,0,0,0,90.47,8.82,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,810159160,,,,GBP
Country Specialists: Asia Pacific,India Capital Growth,Ordinary Share,30/06/2014,GB00B0P8RJ60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Country Specialists: Asia Pacific,JPMorgan Chinese,Ordinary Share,30/06/2014,GB0003435012,142779981,9649969,9649969,9649969,9649969,0,0,0,0,0,9649969,155,,297359,,,75531426,0,0,2383539,No,1,7,6,,0,15,,,N,100,133130012,132832653,175.86,,,,175.86,176.26,,,,176.26,175.86,,,,175.86,176.26,,,,176.26,2.09,1,0,0,0,0,0,99,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,142482622,,,,GBP
Country Specialists: Asia Pacific,JPMorgan Indian,Ordinary Share,30/06/2014,GB0003450359,488866315,0,0,0,0,0,0,0,0,0,0,408.5,,-575754,,,105707798,0,0,19909788,No,1,0,0,1,0,15,,,Y,100,488866315,489442069,,,,,,462.47,,,,462.47,,,,,,462.47,,,,462.47,1.22,1,0,0,0,0,0,99,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,489442069,,,,GBP
Country Specialists: Asia Pacific,New India,Ordinary Share,30/06/2014,GB0006048770,168317122,0,0,0,0,0,0,0,0,0,0,248.38,,296882,,,59070140,0,0,0,N/A,0.88,0,0,1,0,25,,,N,100,168317122,168020240,284.44,,,,,284.94,,,,,284.44,,,,,284.94,,,,,1.68,0.88,0,0,0,0,0,99.12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,168020240,,,,GBP
Country Specialists: Asia Pacific,VinaCapital Vietnam Opportunity,Ordinary Share,30/06/2014,KYG9361Y1026,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Category,Name,Type,Date,ISIN,Total Assets incl CYR,PC Total Par,PC Total Fair,PC Debt Par,PC Debt Fair,TotLongCashOffset,TotShortCashOffset,PC Equity,Convertibles Par,Convertibles Fair,PC Gearing,MonthEnd MidPrice,Price for TS dilution,CurrYrRev(CYR),Rev Res (splits only),Rev Allocation % (splits only),Number,Issued,Purch,Treasury,below NAV,Cash/CashEquiv,GrossGearing,NetGearing,NetCash,From,To,NoRange,GearingNote,Loss,CYR allocation %,SHF per share inc CYR,SHF per share exc CYR,PCNCWNE,   PCNCWE,   PCCWNE,   PCCWE,   PCCWETS,PCNCWNEcum,PCNCWEcum,PCCWNEcum,PCCWEcum,PCCWETScum,FCNCWNE,   FCNCWE,   FCCWNE,   FCCWE,   FCCWETS,FCNCWNEcum,FCNCWEcum,FCCWNEcum,FCCWEcum,FCCWETScum,PFY,Cash/Cash Equiv.,Fixed Interest,UK ,Cont. Europe,North America,Japan ,Other Pacific,Other , , , , , , , , ,UK ,Cont. Europe,North America,Japan ,Other Pacific,Other ,UK ,Cont. Europe,North America,Japan ,Other Pacific,Other ,Flags,,,,,,,,,Cat 2,Name,in issue,NAV Par,NAV Fair,Gross Gearing,Net Gearing,Name,in issue,NAV Par,NAV Fair,Gross Gearing,Net Gearing,Total Assets ex CYR,FootNote,Note,Note,
Country Specialists: Europe,JPMorgan Russian Securities,Ordinary Share,30/06/2014,GB0032164732,277420987,645513,645513,645513,645513,0,0,0,0,0,645513,477.75,,2275894,,,52532112,0,0,0,N/A,2,0,0,2,0,15,,,N,100,276775474,274499580,522.54,,,,,526.87,,,,,522.54,,,,,526.87,,,,,2.95,2,0,0,98,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,275145093,,,,GBP
Country Specialists: Europe,Ukraine Opportunity,Ordinary Share,30/06/2014,GB00B0HW6117,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
