AIC,Fund,Share,MonthEnd,Code,Total Assets incl CYR,PC Total Par,PC Total Fair,PC Debt Par,PC Debt Fair,TotLongCashOffset,TotShortCashOffset,PC Equity,Convertibles Par,Convertibles Fair,PC Gearing,Monthend MidPrice,Price for TS dilution,CurrYrRev(CYR),Rev Res (splits only),RevAllocation % (splits only),Shares,Shares,Shares,Shares,Sell,Cash/CashEquiv,GrossGearing,NetGearing,NetCash,Gearing,Range,NoRange,GearingNote,Permanent,CYR allocation %,SHF per share inc CYR,SHF per share exc CYR,Par, Par, Par, Par, Par, Par, Par, Par, Par, Par,Fair,Fair,Fair,Fair,Fair,Fair,Fair,Fair,Fair,Fair,PFY,Regional distribution,,,,,,,,Additional geographic,,,,,,,,CFI Exposure,,,,,,CCY Exposure,,,,,,Flags,Add P/F,,,,,,,,AIC,Unit1,Unit1,Unit1,Unit1,Unit1,Unit1,Unit2,Unit2,Unit2,Unit2,Unit2,Unit2,Total Assets ex CYR,FootNote,FairValue,ShareNote,Reported Currency
Category,Name,Type,Date,ISIN,Total Assets incl CYR,PC Total Par,PC Total Fair,PC Debt Par,PC Debt Fair,TotLongCashOffset,TotShortCashOffset,PC Equity,Convertibles Par,Convertibles Fair,PC Gearing,MonthEnd MidPrice,Price for TS dilution,CurrYrRev(CYR),Rev Res (splits only),Rev Allocation % (splits only),Number,Issued,Purch,Treasury,below NAV,Cash/CashEquiv,GrossGearing,NetGearing,NetCash,From,To,NoRange,GearingNote,Loss,CYR allocation %,SHF per share inc CYR,SHF per share exc CYR,PCNCWNE,   PCNCWE,   PCCWNE,   PCCWE,   PCCWETS,PCNCWNEcum,PCNCWEcum,PCCWNEcum,PCCWEcum,PCCWETScum,FCNCWNE,   FCNCWE,   FCCWNE,   FCCWE,   FCCWETS,FCNCWNEcum,FCNCWEcum,FCCWNEcum,FCCWEcum,FCCWETScum,PFY,Cash/Cash Equiv.,Fixed Interest,Hong Kong,Singa pore,Korea ,Taiwan ,China ,Other , , , , , , , , ,Hong Kong,Singa pore,Korea ,Taiwan ,China ,Other ,Hong Kong,Singa pore,Korea ,Taiwan ,China ,Other ,Flags,,,,,,,,,Cat 2,Name,in issue,NAV Par,NAV Fair,Gross Gearing,Net Gearing,Name,in issue,NAV Par,NAV Fair,Gross Gearing,Net Gearing,Total Assets ex CYR,FootNote,Note,Note,
Category,Name,Type,Date,ISIN,Total Assets incl CYR,PC Total Par,PC Total Fair,PC Debt Par,PC Debt Fair,TotLongCashOffset,TotShortCashOffset,PC Equity,Convertibles Par,Convertibles Fair,PC Gearing,MonthEnd MidPrice,Price for TS dilution,CurrYrRev(CYR),Rev Res (splits only),Rev Allocation % (splits only),Number,Issued,Purch,Treasury,below NAV,Cash/CashEquiv,GrossGearing,NetGearing,NetCash,From,To,NoRange,GearingNote,Loss,CYR allocation %,SHF per share inc CYR,SHF per share exc CYR,PCNCWNE,   PCNCWE,   PCCWNE,   PCCWE,   PCCWETS,PCNCWNEcum,PCNCWEcum,PCCWNEcum,PCCWEcum,PCCWETScum,FCNCWNE,   FCNCWE,   FCCWNE,   FCCWE,   FCCWETS,FCNCWNEcum,FCNCWEcum,FCCWNEcum,FCCWEcum,FCCWETScum,PFY,Cash/Cash Equiv.,Fixed Interest,UK ,Cont. Europe,North America,Japan ,Other Pacific,Other , , , , , , , , ,UK ,Cont. Europe,North America,Japan ,Other Pacific,Other ,UK ,Cont. Europe,North America,Japan ,Other Pacific,Other ,Flags,,,,,,,,,Cat 2,Name,in issue,NAV Par,NAV Fair,Gross Gearing,Net Gearing,Name,in issue,NAV Par,NAV Fair,Gross Gearing,Net Gearing,Total Assets ex CYR,FootNote,Note,Note,
Global Equity Income,Blue Planet International Financials,Ordinary Share,30/06/2014,GB0005327076,41935551,14556623,14556623,14556623,14556623,0,0,0,0,0,14556623,42,,195293,,,49474863,0,0,307125,N/A,0,53,53,,,,Y,,N,100,27378928,27183635,54.94,,,,54.86,55.34,,,,55.26,54.94,,,,54.86,55.34,,,,55.26,4.9,0,10,38,28,20,0,4,0,0,0,0,0,0,0,0,0,66,17,17,0,0,0,66,17,17,0,0,0,/,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,41740258,,,,GBP
Global Equity Income,British Assets,Ordinary Share,30/06/2014,GB0001297562,498827796,74463963,83741963,74463963,83741963,0,0,0,0,0,74463963,135.25,,6651342,,,289412282,0,0,1700000,No,4.23,18,13,,,,Y,,N,100,424363833,417712491,144.33,,,,144.33,146.63,,,,146.63,141.13,,,,141.13,143.42,,,,143.42,4.6,4.23,9.69,65,6.01,7.73,2.67,3.56,1.11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,492176454,,"Based on the quoted market prices of the Bond.
Bank loan is short term, fair value is the same as the nominal value.",,GBP
Global Equity Income,F&C Managed Portfolio Income,Ordinary Share,30/06/2014,GB00B2PP3J36,32753683,176964,176964,176964,176964,0,0,0,0,0,176964,119.5,,177401,,,27714936,200000,0,0,Yes,0,1,1,,0,25,,,N,100,32576719,32399318,116.9,,,,,117.54,,,,,116.9,,,,,117.54,,,,,4.3,0,11,48,12,10,1,13,5,0,0,0,0,0,0,0,0,100,0,0,0,0,0,59,12,10,1,13,5,,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,32576282,,,"During the month 200,000 Income shares were issued from the block listing facility for proceeds of £243,875",GBP
Global Equity Income,Henderson International Income,Ordinary Share,30/06/2014,GB00B3PHCS86,87826000,6398212,6398212,6398212,6398212,0,0,0,0,0,6398212,114,,2006000,,,68071550,0,0,0,N/A,0.53,8,7,,0,20,,,N,100,81427788,79421788,116.67,114.86,,,,119.62,117.49,,,,116.67,114.86,,,,119.62,117.49,,,,4.4,0.53,0,0,35.53,33.78,1.83,26.46,1.87,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,85820000,,,,GBP
Global Equity Income,Invesco Perpetual Select Global Equity Income,Ordinary Share,30/06/2014,GB00B1DQ6472,50633685,4097900,4097900,4097900,4097900,0,0,0,0,0,4097900,149.5,,260849,,,31443444,0,0,4438000,No,0.45,9,8,,0,20,,,N,100,46535785,46274936,147.17,,,,147.17,148,,,,148,147.17,,,,147.17,148,,,,148,3.38,0.45,0,23.32,36.98,29.18,3.47,6.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,50372836,,,,GBP
Global Equity Income,London & St Lawrence,Ordinary Share,30/06/2014,GB0005310056,105333835,280000,224000,280000,224000,0,0,0,0,0,280000,384.75,,1161668,,,28723944,0,0,0,N/A,1,0,0,1,,,Y,,N,100,105053835,103892167,361.69,,,,,365.74,,,,,361.89,,,,,365.93,,,,,4.23,1,9,90,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,100,0,0,0,0,0,,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,104172167,,,,GBP
Global Equity Income,Midas Income & Growth,Ordinary Share,30/06/2014,GB0008769993,64157705,7000000,7000000,7000000,7000000,0,0,0,0,0,7000000,135.75,,370342,,,39896361,0,0,0,N/A,1,12,11,,0,25,,,N,100,57157705,56787363,142.34,,,,,143.27,,,,,142.34,,,,,143.27,,,,,3.9,1,3,92,3,1,0,0,0,0,0,0,0,0,0,0,0,91,3,6,0,0,0,91,3,6,0,0,0,,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,63787363,,,,GBP
Global Equity Income,Murray International,Ordinary Share,30/06/2014,GB0006111909,1475385161,192881713,195756318,192881713,195756318,0,0,0,0,0,192881713,1067,,30034513,,,127155520,126000,0,0,N/A,0.42,15,15,,0,30,,,N,100,1282503448,1252468935,984.99,,,,,1008.61,,,,,982.73,,,,,1006.35,,,,,4.47,0.42,9.76,13.39,19.13,13.62,1.98,20.28,21.42,0,0,0,0,0,0,0,0,-10,-2,40,0,34,38,0,0,0,0,0,0,/,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,1445350648,,,"02/06/14 - ISSUE OF 36,000 SHARES, PROCEEDS £0.4M
06/06/14 - ISSUE OF 90,000 SHARES, PROCEEDS £1.0M",GBP
Global Equity Income,Scottish American,Ordinary Share,30/06/2014,GB0007873697,428993013,85645621,102640000,85645621,102640000,0,0,0,0,0,85645621,255,,5615547,,,132675943,0,0,0,N/A,0,25,25,,,,Y,,N,100,343347392,337731845,254.55,,,,,258.79,,,,,241.75,,,,,245.98,,,,,3.6,0,6,37,16,20,5,3,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,423377466,,,,GBP
Global Equity Income,Securities Trust of Scotland,Ordinary Share,30/06/2014,GB00B09G3N23,185221660,10000000,10000000,10000000,10000000,0,0,0,0,0,10000000,141,,2339570,,,122299148,0,0,0,N/A,1.02,6,5,,0,15,,,N,100,175221660,172882090,141.36,,,,,143.27,,,,,141.36,,,,,143.27,,,,,3.68,1.02,0,21.76,30.69,36.84,2.57,7.12,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,100,0,0,0,0,0,p,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,182882090,,,,GBP
Category,Name,Type,Date,ISIN,Total Assets incl CYR,PC Total Par,PC Total Fair,PC Debt Par,PC Debt Fair,TotLongCashOffset,TotShortCashOffset,PC Equity,Convertibles Par,Convertibles Fair,PC Gearing,MonthEnd MidPrice,Price for TS dilution,CurrYrRev(CYR),Rev Res (splits only),Rev Allocation % (splits only),Number,Issued,Purch,Treasury,below NAV,Cash/CashEquiv,GrossGearing,NetGearing,NetCash,From,To,NoRange,GearingNote,Loss,CYR allocation %,SHF per share inc CYR,SHF per share exc CYR,PCNCWNE,   PCNCWE,   PCCWNE,   PCCWE,   PCCWETS,PCNCWNEcum,PCNCWEcum,PCCWNEcum,PCCWEcum,PCCWETScum,FCNCWNE,   FCNCWE,   FCCWNE,   FCCWE,   FCCWETS,FCNCWNEcum,FCNCWEcum,FCCWNEcum,FCCWEcum,FCCWETScum,PFY,Cash/Cash Equiv.,Fixed Interest,UK Equities,Cont. Europe,North America,Japan ,Other Pacific,Other ,Cash/Cash Equiv.,UK Equities,Inv.Grade. Corp.Bonds,HY Corp. Bonds,Gov. Bonds,Sec.Loans /ABS,Int. Equities,Other ,UK Equities,Cont. Europe,North America,Japan ,Other Pacific,Other ,UK Equities,Cont. Europe,North America,Japan ,Other Pacific,Other ,Flags,,,,,,,,,Cat 2,Name,in issue,NAV Par,NAV Fair,Gross Gearing,Net Gearing,Name,in issue,NAV Par,NAV Fair,Gross Gearing,Net Gearing,Total Assets ex CYR,FootNote,Note,Note,
Global High Income,HarbourVest Senior Loans Europe,Ordinary Share,30/06/2014,GG00B4N5LG23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Global High Income,Henderson Diversified Income,Ordinary Share,30/06/2014,JE00B1Y1NS49,131359000,8307105,8307105,8307105,8307105,0,0,0,0,0,8307105,92.75,,1433000,,,137131726,5700000,0,0,N/A,-0.07,7,7,,,,Y,,N,100,123051895,121618895,88.69,,,,,89.73,,,,,88.69,,,,,89.73,,,,,5.7,-0.07,94.51,5.56,0,0,0,0,0,-0.07,5.56,9.38,48.28,0,36.85,0,0,48,35,17,0,0,0,48,35,17,0,0,0,,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,129926000,The portfolio has cred default swaps totalling£17m,,The fund issued 5.7m shares during the month totalling £5.2m,GBP
Global High Income,Invesco Perpetual Enhanced Income,Ordinary Share,30/06/2014,GB00B05NYM32,114385736,31892712,31892712,31892712,31892712,0,0,0,0,0,31892712,77,,1421264,,,111292526,0,0,0,No,8.87,39,26,,0,50,,,N,100,82493024,81071760,72.85,,,,,74.12,,,,,72.85,,,,,74.12,,,,,5.82,8.87,87.5,0.41,0,3.22,0,0,0,9.19,0,17.37,49.62,0,0,3.22,20.6,60,26,14,0,0,0,58,25,17,0,0,0,,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,112964472,,,,GBP
Category,Name,Type,Date,ISIN,Total Assets incl CYR,PC Total Par,PC Total Fair,PC Debt Par,PC Debt Fair,TotLongCashOffset,TotShortCashOffset,PC Equity,Convertibles Par,Convertibles Fair,PC Gearing,MonthEnd MidPrice,Price for TS dilution,CurrYrRev(CYR),Rev Res (splits only),Rev Allocation % (splits only),Number,Issued,Purch,Treasury,below NAV,Cash/CashEquiv,GrossGearing,NetGearing,NetCash,From,To,NoRange,GearingNote,Loss,CYR allocation %,SHF per share inc CYR,SHF per share exc CYR,PCNCWNE,   PCNCWE,   PCCWNE,   PCCWE,   PCCWETS,PCNCWNEcum,PCNCWEcum,PCCWNEcum,PCCWEcum,PCCWETScum,FCNCWNE,   FCNCWE,   FCCWNE,   FCCWE,   FCCWETS,FCNCWNEcum,FCNCWEcum,FCCWNEcum,FCCWEcum,FCCWETScum,PFY,Cash/Cash Equiv.,Fixed Interest,UK ,Cont. Europe,North America,Japan ,Other Pacific,Other , , , , , , , , ,UK ,Cont. Europe,North America,Japan ,Other Pacific,Other ,UK ,Cont. Europe,North America,Japan ,Other Pacific,Other ,Flags,,,,,,,,,Cat 2,Name,in issue,NAV Par,NAV Fair,Gross Gearing,Net Gearing,Name,in issue,NAV Par,NAV Fair,Gross Gearing,Net Gearing,Total Assets ex CYR,FootNote,Note,Note,
Global Smaller Companies,Marwyn Value Investors,Ordinary Share,30/06/2014,KYG5897M1583,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Global Smaller Companies,Marwyn Value Investors B shares,B Share,30/06/2014,KYG5897M1336,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Category,Name,Type,Date,ISIN,Total Assets incl CYR,PC Total Par,PC Total Fair,PC Debt Par,PC Debt Fair,TotLongCashOffset,TotShortCashOffset,PC Equity,Convertibles Par,Convertibles Fair,PC Gearing,MonthEnd MidPrice,Price for TS dilution,CurrYrRev(CYR),Rev Res (splits only),Rev Allocation % (splits only),Number,Issued,Purch,Treasury,below NAV,Cash/CashEquiv,GrossGearing,NetGearing,NetCash,From,To,NoRange,GearingNote,Loss,CYR allocation %,SHF per share inc CYR,SHF per share exc CYR,PCNCWNE,   PCNCWE,   PCCWNE,   PCCWE,   PCCWETS,PCNCWNEcum,PCNCWEcum,PCCWNEcum,PCCWEcum,PCCWETScum,FCNCWNE,   FCNCWE,   FCCWNE,   FCCWE,   FCCWETS,FCNCWNEcum,FCNCWEcum,FCCWNEcum,FCCWEcum,FCCWETScum,PFY,Cash/Cash Equiv.,Fixed Interest,UK ,Cont. Europe,North America,Japan ,Other Pacific,Other ,Cash/Cash Equiv.,Long-Short Credit,Long-Short Equities,Event Driven,Multi- Strategy,Macro ,Systematic Volatility,Other ,UK ,Cont. Europe,North America,Japan ,Other Pacific,Other ,UK ,Cont. Europe,North America,Japan ,Other Pacific,Other ,Flags,,,,,,,,,Cat 2,Name,in issue,NAV Par,NAV Fair,Gross Gearing,Net Gearing,Name,in issue,NAV Par,NAV Fair,Gross Gearing,Net Gearing,Total Assets ex CYR,FootNote,Note,Note,
Hedge Funds,AcenciA Debt Strategies,Ordinary Share,30/06/2014,GB00B0MSB420,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hedge Funds,BH Credit Catalysts,Ordinary Share,30/06/2014,GG00B4XV9331,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hedge Funds,BH Credit Catalysts USD,Ordinary Share,30/06/2014,GG00B4T5WS56,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hedge Funds,BH Global Euro,Ordinary Share,30/06/2014,GG00B2QQPM28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hedge Funds,BH Global,Ordinary Share,30/06/2014,GG00B2QQPT96,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hedge Funds,BH Global USD,Ordinary Share,30/06/2014,GG00B2QQPS89,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hedge Funds,BH Macro Euro,Ordinary Share,30/06/2014,GG00B1NPGZ52,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hedge Funds,BH Macro,Ordinary Share,30/06/2014,GG00B1NP5142,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hedge Funds,BH Macro USD,Ordinary Share,30/06/2014,GG00B1NPGV15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hedge Funds,BlackRock Hedge Selector UK Emerging,Ordinary Share,30/06/2014,JE00B42J3Y72,33627516,0,0,0,0,0,0,0,0,0,0,130.5,,0,,,25975228,100000,0,2543750,N/A,0,0,0,,,,Y,,N,100,33627516,33627516,129.46,,,,129.46,129.46,,,,129.46,129.46,,,,129.46,129.46,,,,129.46,-1.55,0,0,100,0,0,0,0,0,0,0,0,0,100,0,0,0,100,0,0,0,0,0,100,0,0,0,0,0,,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,33627516,,,,GBP
Hedge Funds,BlueCrest AllBlue Euro,Ordinary Share,30/06/2014,GB00B13YXC81,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hedge Funds,BlueCrest AllBlue,Ordinary Share,30/06/2014,GB00B13YVW48,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hedge Funds,BlueCrest AllBlue USD,Ordinary Share,30/06/2014,GB00B13YXH37,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hedge Funds,CQS Diversified,Ordinary Share,30/06/2014,GG00B5B3RG70,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hedge Funds,CQS Diversified USD,Ordinary Share,30/06/2014,GG00B5WDRR74,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hedge Funds,Dexion Absolute Euro,Ordinary Share,30/06/2014,GB00B0FXK920,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hedge Funds,Dexion Absolute,Ordinary Share,30/06/2014,GB0032287020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hedge Funds,Dexion Absolute USD,Ordinary Share,30/06/2014,GB00B0FXL332,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hedge Funds,Global Fixed Income Realisation,Ordinary Share,30/06/2014,GG00B1GJQ984,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hedge Funds,Third Point Offshore Investors,Ordinary Share,30/06/2014,GG00B1YQ6R97,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hedge Funds,Third Point Offshore Investors USD,Ordinary Share,30/06/2014,GG00B1YQ7219,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Category,Name,Type,Date,ISIN,Total Assets incl CYR,PC Total Par,PC Total Fair,PC Debt Par,PC Debt Fair,TotLongCashOffset,TotShortCashOffset,PC Equity,Convertibles Par,Convertibles Fair,PC Gearing,MonthEnd MidPrice,Price for TS dilution,CurrYrRev(CYR),Rev Res (splits only),Rev Allocation % (splits only),Number,Issued,Purch,Treasury,below NAV,Cash/CashEquiv,GrossGearing,NetGearing,NetCash,From,To,NoRange,GearingNote,Loss,CYR allocation %,SHF per share inc CYR,SHF per share exc CYR,PCNCWNE,   PCNCWE,   PCCWNE,   PCCWE,   PCCWETS,PCNCWNEcum,PCNCWEcum,PCCWNEcum,PCCWEcum,PCCWETScum,FCNCWNE,   FCNCWE,   FCCWNE,   FCCWE,   FCCWETS,FCNCWNEcum,FCNCWEcum,FCCWNEcum,FCCWEcum,FCCWETScum,PFY,Cash/Cash Equiv.,Fixed Interest,UK ,Cont. Europe,North America,Japan ,Pacific ,Other ,Cash/Cash Equiv.,Fixed Interest,UK Equities,Japan 1 section,Japan 2 section,Jap OTC/ Region,Other ,TA Yen Exposure,UK ,Cont. Europe,North America,Japan ,Pacific ,Other ,UK ,Cont. Europe,North America,Japan ,Pacific ,Other ,Flags,,,,,,,,,Cat 2,Name,in issue,NAV Par,NAV Fair,Gross Gearing,Net Gearing,Name,in issue,NAV Par,NAV Fair,Gross Gearing,Net Gearing,Total Assets ex CYR,FootNote,Note,Note,
Japan,Aberdeen Japan,Ordinary Share,30/06/2014,GB0003920757,64503115,5773127,5773127,5773127,5773127,0,0,0,0,0,5773127,366,,-15270,,,14591572,0,0,0,No,0.45,10,9,,0,15,,,N,100,58729988,58745258,402.6,,,,,402.49,,,,,402.6,,,,,402.49,,,,,1.95,0.45,0,0,0,0,99.55,0,0,0.45,0,0,97.63,1.92,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,d,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,64518385,,,,GBP
Japan,Baillie Gifford Japan,Ordinary Share,30/06/2014,GB0000485838,285444850,41566503,44844083,41566503,44844083,0,0,0,0,0,41566503,357.5,,905327,,,69331750,825000,0,0,N/A,2,17,15,,,,Y,,N,100,243878347,242973020,350.45,,,,,351.76,,,,,345.72,,,,,347.03,,,,,1.2,2,0,0,0,0,98,0,0,2,0,0,90,0,8,0,100,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,284539523,,,"10/06/14 225,000 shares issued at 351.50p, total consideration £789,293.25
13/06/14 200,000 shares issued at 353.00p, total consideration £704,588.00
19/06/14 400,000 shares issued at 360.00p, total consideration £1,437,120.00",GBP
Japan,JPMorgan Japanese,Ordinary Share,30/06/2014,GB0001740025,463232483,69277524,69277524,69277524,69277524,0,0,0,0,0,69277524,218.25,,2391765,,,161248078,0,0,0,N/A,5,18,12,,0,15,,,N,100,393954959,391563194,242.83,,,,,244.32,,,,,242.83,,,,,244.32,,,,,1.25,5,0,0,0,0,95,0,0,5,0,0,87,0,5,3,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,460840718,,,,GBP
Japan,Schroder Japan Growth,Ordinary Share,30/06/2014,GB0008022849,197488956,28865635,28865635,28865635,28865635,0,0,0,0,0,28865635,121.5,,2521780,,,125008200,0,0,0,N/A,3,17,14,,,,Y,,N,100,168623321,166101541,132.87,,,,,134.89,,,,,132.87,,,,,134.89,,,,,1.9,3,0,0,0,0,97,0,0,3,0,0,97,0,0,0,0,16,0,0,84,0,0,0,0,0,97,0,3,,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,194967176,,Fair and Par are not materially different,,GBP
Category,Name,Type,Date,ISIN,Total Assets incl CYR,PC Total Par,PC Total Fair,PC Debt Par,PC Debt Fair,TotLongCashOffset,TotShortCashOffset,PC Equity,Convertibles Par,Convertibles Fair,PC Gearing,MonthEnd MidPrice,Price for TS dilution,CurrYrRev(CYR),Rev Res (splits only),Rev Allocation % (splits only),Number,Issued,Purch,Treasury,below NAV,Cash/CashEquiv,GrossGearing,NetGearing,NetCash,From,To,NoRange,GearingNote,Loss,CYR allocation %,SHF per share inc CYR,SHF per share exc CYR,PCNCWNE,   PCNCWE,   PCCWNE,   PCCWE,   PCCWETS,PCNCWNEcum,PCNCWEcum,PCCWNEcum,PCCWEcum,PCCWETScum,FCNCWNE,   FCNCWE,   FCCWNE,   FCCWE,   FCCWETS,FCNCWNEcum,FCNCWEcum,FCCWNEcum,FCCWEcum,FCCWETScum,PFY,Cash/Cash Equiv.,Fixed Interest,UK ,Cont. Europe,North America,Japan ,Pacific ,Other ,Cash/Cash Equiv.,Fixed Interest,UK Equities,Japan 1 section,Japan 2 section,Jap OTC/ Region,Other ,TA Yen Exposure,UK ,Cont. Europe,North America,Japan ,Pacific ,Other ,UK ,Cont. Europe,North America,Japan ,Pacific ,Other ,Flags,,,,,,,,,Cat 2,Name,in issue,NAV Par,NAV Fair,Gross Gearing,Net Gearing,Name,in issue,NAV Par,NAV Fair,Gross Gearing,Net Gearing,Total Assets ex CYR,FootNote,Note,Note,
Japanese Smaller Companies,Atlantis Japan Growth,Ordinary Share,30/06/2014,GG00B61ND550,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
