ticker,n_navs,first,last,per_month,nav_frequency
SEQI,141,2015-04-16,2026-08-17,1.0351122917169766,monthly
SERE,20,2016-07-29,2026-03-19,0.1727272727272727,adhoc
SHIP,9,2024-07-17,2026-07-15,0.37582417582417577,adhoc
SHRS,4716,2005-09-07,2026-03-13,19.1359316604378,daily
SJG,4987,2005-08-19,2026-09-11,19.706850383465486,daily
SMIF,783,2014-03-13,2026-09-10,5.2154250657318135,weekly
SMT,5329,2006-03-21,2026-09-11,21.66086375183848,daily
SOI,5009,2005-08-08,2026-09-11,19.76552440290758,daily
SREI,56,2004-10-21,2026-08-05,0.21392309625534053,adhoc
SSIF,93,2015-10-26,2023-07-25,0.9993637327677624,monthly
SSON,1849,2018-10-19,2026-02-11,21.036526946107784,daily
SST,5226,2006-01-25,2026-09-11,21.087125033182904,daily
STS,5203,2006-03-09,2026-09-11,21.11483113069016,daily
SURE,30,2018-05-04,2026-06-30,0.30614300100704933,adhoc
SVCT,9,2023-04-04,2026-04-30,0.2438502673796791,adhoc
SVM,238,2005-01-07,2025-03-04,0.9829099307159354,monthly
SWEF,159,2013-01-22,2026-02-26,1.0105791344344552,monthly
SYNC,68,2012-11-19,2018-06-29,1.0093750000000001,monthly
TEM,5273,2005-07-05,2026-09-11,20.71584388730938,daily
TFIF,807,2013-03-11,2026-09-07,4.978246753246753,weekly
THRG,5112,2006-02-02,2026-04-16,21.0632691786392,daily
THRL,54,2013-05-22,2026-08-05,0.34036906489736674,adhoc
TIGT,4219,2005-11-02,2024-03-22,19.100163812360385,daily
TMPL,4121,2005-09-27,2026-09-11,16.367703161745492,daily
TORO,13,2025-08-22,2026-08-26,1.0710027100271002,monthly
TPV,4,2025-07-30,2026-08-27,0.3094147582697201,adhoc
TPVE,4,2020-02-11,2021-07-22,0.2307400379506641,adhoc
TRIG,20,2018-06-28,2026-07-31,0.20575296108291033,adhoc
TRY,5205,2006-02-23,2026-09-11,21.083544303797467,daily
UAV,15,2025-08-06,2026-09-07,1.1486146095717884,monthly
UEM,4254,2005-07-29,2026-09-11,16.764532019704433,daily
UKCM,74,2007-01-09,2024-02-07,0.3606284065405579,adhoc
UKW,63,2013-07-09,2026-07-30,0.401593625498008,adhoc
USA,2218,2018-03-26,2026-09-11,21.814040763506956,daily
UTL,2149,2007-07-02,2026-09-11,9.318157181571816,weekly
UTLH,39,2026-07-20,2026-09-11,22.369811320754717,daily
VEIL,2483,2016-07-05,2026-09-11,20.291182795698923,daily
VIP,234,2003-05-14,2022-11-07,0.999522270619643,monthly
VNH,2551,2006-07-24,2026-09-11,10.545335871634485,weekly
VOF,2119,2004-01-15,2026-09-11,7.784604229607251,weekly
VSL,125,2015-05-01,2026-08-24,0.9194289862085651,monthly
VTA,21,2024-12-20,2026-08-25,1.0414355628058727,monthly
WINV,81,2005-08-03,2026-09-01,0.3198337446421613,adhoc
WKOF,1479,2013-05-23,2025-12-01,9.82767213114754,weekly
WTAN,4677,2006-04-10,2024-10-02,21.06382222222222,daily
WWH,5176,2006-03-07,2026-09-11,20.99965300947551,daily
