security_id,nav_date,nav_value,unit,basis_note,source,headline
ASX:DJW,2026-09-11,3.25,dollars,unknown|as_at_document|unit_source=dollars|extractor=nta_scored_v1,asx_ann:03139155,Weekly Estimated NTA as at 11 September 2026
ASX:AMH,2026-09-11,1.04,dollars,unknown|as_at_document|unit_source=dollars|extractor=nta_scored_v1,asx_ann:03139154,Weekly Estimated NTA as at 11 September 2026
ASX:WMI,2026-09-13,0.0533,dollars,unknown|release_date|unit_source=cents|extractor=nta_scored_v1,asx_ann:03139124,August 2026 Investment Update
ASX:WHI,2026-09-13,1.21,dollars,unknown|release_date|unit_source=dollars|extractor=nta_scored_v1,asx_ann:03139111,Net Tangible Asset Backing - Aug 26
ASX:AIQ,2026-08-31,1.5282,dollars,unknown|as_at_document|unit_source=dollars|extractor=nta_scored_v1,asx_ann:03139109,Net Tangible Asset Backing August 2026
ASX:PGF,2026-09-11,3.0,dollars,unknown|as_at_document|unit_source=dollars|extractor=nta_scored_v1,asx_ann:03139092,Net Tangible Asset Backing - 11 September 2026
ASX:KKC,2026-09-13,2.3063,dollars,unknown|release_date|unit_source=dollars|extractor=asx_per_unit_dollars_v1,asx_ann:03139041,Net Tangible Asset Backing
ASX:RG8,2026-09-13,2.98,dollars,unknown|release_date|unit_source=dollars|extractor=nta_scored_v1,asx_ann:03139037,Weekly NTA Update
ASX:GVF,2026-08-31,1.321,dollars,unknown|as_at_document|unit_source=dollars|extractor=nta_scored_v1,asx_ann:03139035,Investment Update and NTA Value as at 31 August 2026
ASX:RG1,2026-09-13,2.83,dollars,unknown|release_date|unit_source=dollars|extractor=nta_scored_v1,asx_ann:03139031,Weekly NTA Update
ASX:HM1,2026-06-30,3.41,dollars,unknown|as_at_document|unit_source=dollars|extractor=nta_scored_v1,asx_ann:03139009,Weekly NTA Estimate
ASX:OPH,2026-09-11,2.6966,dollars,unknown|as_at_document|unit_source=dollars|extractor=asx_per_unit_dollars_v1,asx_ann:03139003,Weekly NTA 11.09.2026
ASX:RF1,2026-09-11,3.53,dollars,unknown|as_at_document|unit_source=dollars|extractor=nta_scored_v1,asx_ann:03138972,Weekly Estimate NTA for 11.09.2026
ASX:PL8,2026-08-31,1.168,dollars,unknown|as_at_document|unit_source=dollars|extractor=nta_scored_v1,asx_ann:03138806,Monthly Net Tangible Asset Backing
ASX:IBC,2026-09-11,0.445,dollars,unknown|release_date|unit_source=dollars|extractor=nta_scored_v1,asx_ann:03138772,Net Tangible Asset Backing
ASX:TCF,2026-09-11,5.954,dollars,unknown|release_date|unit_source=dollars|extractor=asx_per_unit_dollars_v1,asx_ann:03138706,Net Tangible Asset Backing
ASX:ECL,2026-08-31,0.0173,dollars,unknown|as_at_document|unit_source=cents|extractor=nta_scored_v1,asx_ann:03138666,Net Tangible Assets Backing - 31 August 2026
ASX:WMX,2026-09-11,1.6409,dollars,unknown|release_date|unit_source=dollars|extractor=nta_scored_v1,asx_ann:03138506,August 2026 Investment Update
ASX:TEK,2026-08-31,2.0,dollars,unknown|as_at_document|unit_source=dollars|extractor=nta_scored_v1,asx_ann:03138267,Net Tangible Asset Backing August 2026 with commentary
ASX:SB2,2026-08-31,0.839,dollars,unknown|as_at_document|unit_source=dollars|extractor=nta_scored_v1,asx_ann:03138264,SB2 Investment Report & NTA Update
ASX:8IH,2026-09-10,0.0398,dollars,pre_tax|release_date|unit_source=dollars|extractor=asx_monthly_pretax_v1,asx_ann:03138259,Net Tangible Asset Backing
ASX:KAT,2026-08-31,1.505,dollars,post_tax|as_at_document|unit_source=dollars|extractor=nta_scored_v1,asx_ann:03138183,Net Tangible Asset Backing 31 August 2026
ASX:ECP,2026-09-09,1.02,dollars,unknown|release_date|unit_source=cents|extractor=nta_scored_v1,asx_ann:03138053,Monthly NTA - August 2026
ASX:UWC,2026-08-31,0.1135,dollars,pre_tax|as_at_document|unit_source=dollars|extractor=asx_monthly_pretax_v1,asx_ann:03138045,UWC Investment Portfolio Performance  August 2026
ASX:NSC,2026-08-31,0.27,dollars,unknown|as_at_document|unit_source=dollars|extractor=nta_scored_v1,asx_ann:03137940,NTA & Portfolio Update - August 2026
ASX:NAC,2026-08-31,0.69,dollars,unknown|as_at_document|unit_source=dollars|extractor=nta_scored_v1,asx_ann:03137937,NTA & Portfolio Update - August 2026
ASX:NCC,2026-08-31,0.51,dollars,unknown|as_at_document|unit_source=dollars|extractor=nta_scored_v1,asx_ann:03137922,NTA & Portfolio Update - August 2026
ASX:GLS,2026-08-31,1.91,dollars,unknown|as_at_document|unit_source=dollars|extractor=nta_scored_v1,asx_ann:03137912,Monthly Report - August 2026
ASX:GFL,2026-09-09,4.252,dollars,unknown|release_date|unit_source=cents|extractor=nta_scored_v1,asx_ann:03137632,Monthly NTA - August  2026
ASX:PE1,2026-08-31,1.7963,dollars,unknown|as_at_document|unit_source=cents|extractor=nta_scored_v1,asx_ann:03137577,NAV 31 August 2026
ASX:PCX,2026-08-31,1.9825,dollars,unknown|as_at_document|unit_source=cents|extractor=nta_scored_v1,asx_ann:03137573,NAV 31 August 2026
ASX:RYD,2026-09-08,2.2126,dollars,unknown|release_date|unit_source=dollars|extractor=nta_scored_v1,asx_ann:03137538,August - Net Tangible Asset Backing
ASX:WAR,2026-06-30,1.47,dollars,unknown|as_at_document|unit_source=dollars|extractor=nta_scored_v1,asx_ann:03137529,August 2026 Investment Update
ASX:WAA,2026-09-07,0.0453,dollars,unknown|release_date|unit_source=cents|extractor=nta_scored_v1,asx_ann:03137060,August 2026 Investment Update
ASX:LF1,2026-08-31,1.96,dollars,unknown|as_at_document|unit_source=dollars|extractor=nta_scored_v1,asx_ann:03137032,Net Tangible Asset Backing
ASX:BTI,2026-09-07,2.2,dollars,unknown|release_date|unit_source=dollars|extractor=asx_per_unit_dollars_v1,asx_ann:03136931,Net Tangible Asset Backing
ASX:MRE,2026-08-31,2.5566,dollars,unknown|as_at_document|unit_source=dollars|extractor=asx_per_unit_dollars_v1,asx_ann:03136840,Monthly Fund Update
ASX:OEQ,2026-08-31,0.428,dollars,unknown|as_at_document|unit_source=dollars|extractor=nta_scored_v1,asx_ann:03136743,NTA Backing as at 31 August 2026
ASX:NGE,2026-08-31,1.654,dollars,pre_tax|as_at_document|unit_source=dollars|extractor=asx_monthly_pretax_v1,asx_ann:03136677,Investment & NTA Update - August 2026
ASX:CDO,2026-09-07,2.21,dollars,unknown|release_date|unit_source=dollars|extractor=nta_scored_v1,asx_ann:03136635,NTA and Investment Update August 2026
ASX:LSX,2026-08-31,1.1320000000000001,dollars,unknown|as_at_document|unit_source=cents|extractor=nta_scored_v1,asx_ann:03136554,Net Tangible Asset Backing as at 31 August 2026
ASX:FSI,2026-09-03,1.601,dollars,unknown|release_date|unit_source=cents|extractor=nta_scored_v1,asx_ann:03135423,Net Tangible Asset Backing - August 2026
ASX:SNC,2026-08-31,0.8178,dollars,unknown|as_at_document|unit_source=dollars|extractor=nta_scored_v1,asx_ann:03135407,Net Tangible Assets as at 31 August 2026
ASX:DN1,2026-09-03,100.25,dollars,unknown|release_date|unit_source=dollars|extractor=nta_scored_v1,asx_ann:03135373,Monthly Estimate NTA for August 2026
ASX:HCF,2026-08-31,4.12,dollars,unknown|as_at_document|unit_source=dollars|extractor=nta_scored_v1,asx_ann:03135196,Net Tangible Asset 31 August 2026
ASX:WLE,2026-08-18,1.34,dollars,unknown|as_at_document|unit_source=dollars|extractor=nta_scored_v1,asx_ann:03126892,Invest. port. performance increases estimated NTA to $1.34
ASX:FGG,2025-12-31,1.6046,dollars,unknown|as_at_document|unit_source=cents|extractor=nta_scored_v1,asx_ann:03125458,July 2026 Investment Update
ASX:WMA,2026-08-14,1.1885,dollars,unknown|release_date|unit_source=cents|extractor=nta_scored_v1,asx_ann:03125195,July 2026 Investment Update
ASX:WGB,2026-08-13,2.1668000000000003,dollars,unknown|release_date|unit_source=cents|extractor=nta_scored_v1,asx_ann:03125171,July 2026 Investment Update
