holding_month,BM_equal_weight_universe_TR,A_absolute_discount_decile_TR,C_discount_zscore_TR,E_discount_overshoot_TR
2007-02-28,9.284135609860067e-06,0.014216139490342616,,
2007-03-31,0.01729267177108474,0.061896985164481944,,
2007-04-30,0.028358869233691263,0.026213281483035512,,
2007-05-31,0.01738846538997653,0.01656809241953605,,
2007-06-30,-0.01371120547181786,-0.049289378556861926,,
2007-07-31,-0.0028499012884846725,-0.012477268134976774,,
2007-08-31,-0.026322493683624857,-0.03075388978682876,,
2007-09-30,0.03477037780472435,-0.008820134785435776,,
2007-10-31,0.025821148361084706,0.03735843018853184,,
2007-11-30,-0.06341887118556044,-0.11637632384197268,,
2007-12-31,0.019306760607528672,0.026429735909058154,,
2008-01-31,-0.0694809360330611,-0.03846224579418686,,
2008-02-29,0.04835632421181257,0.08662581436712023,,
2008-03-31,-0.04962547413364754,-0.031020690519787647,,
2008-04-30,0.04810965055113957,0.05926542264595818,,
2008-05-31,0.0176597512178464,0.02408841822290691,,
2008-06-30,-0.08690994597708239,-0.07892478946560817,,
2008-07-31,-0.02457342690101946,-0.051642304483069446,,
2008-08-31,0.02281662245578706,0.029351734384760714,,
2008-09-30,-0.13619050897695956,-0.08406873677113436,,
2008-10-31,-0.16126972362160194,-0.16506985830854326,,
2008-11-30,-0.047675338042975836,-0.009712470715330601,,
2008-12-31,0.0865728677097262,0.07066615249484207,,
2009-01-31,-0.012345944504583272,-0.01964285714285713,-0.04739614385946725,0.00491396106842365
2009-02-28,-0.05883378378505502,-0.033845623464470065,-0.03388520688488192,-0.03388520688488192
2009-03-31,0.04608412318827814,-0.03457274357025295,0.13245280054595393,0.06970318457053148
2009-04-30,0.14209817107147535,0.32116891697456806,0.2500466331978288,0.28977017518162257
2009-05-31,0.06011659649832014,0.03916477997157593,0.10909933008732561,0.07482209003178367
2009-06-30,-0.0116486355365407,0.02574325759354862,0.041636623095979874,0.04965105217714322
2009-07-31,0.05914491175392159,0.042772729268015675,0.05234055963523376,0.05398231535794501
2009-08-31,0.06948913477919673,0.13246073458660174,0.06786002090851945,0.10989681959889608
2009-09-30,0.061159442898763114,0.05188645848735747,0.10579595709391398,0.09601184997230766
2009-10-31,-0.02457245596731292,-0.02070454226809837,-0.016942110875229833,0.002234940241344496
2009-11-30,0.010524345248891547,-0.025941156750114037,0.01440343482222044,0.01325180334429337
2009-12-31,0.03714220802500757,0.0029680176260218558,0.06484254861322816,0.03249904494915512
2010-01-31,-0.01359011211490476,0.04267914189235911,0.02793084067902392,0.03800875942070814
2010-02-28,0.02948426630342979,0.00799240525879304,0.014253127894072347,0.02669042604565622
2010-03-31,0.07492015095567316,0.08995388329788889,0.11037984445540613,0.07826423514861021
2010-04-30,0.005282661555878726,0.07103299029579663,0.029362064616631624,0.02182741989077061
2010-05-31,-0.04952423840151761,-0.04666436737398081,-0.020570179070584508,-0.02493108185788156
