spec,variable,months,mean_coef,t_stat_nw
univariate_discount,const,233,0.0014874573661760766,0.5662364466266067
univariate_discount,discount,233,-0.04204069287169526,-5.39915111577293
univariate_zscore,const,210,0.006825424579303098,2.6534806053733924
univariate_zscore,discount_z_36m,210,-0.005990727783944992,-10.636831787408545
univariate_widening3m,const,229,0.004260638791151652,1.399085147499987
univariate_widening3m,discount_change_3m,229,-0.18621234906494527,-12.209250825423293
multivariate,const,209,0.00046953323973434273,0.17732076705544297
multivariate,discount,209,-0.02390350397713816,-3.532107451671514
multivariate,discount_z_36m,209,-0.0027491182616182813,-5.65515076851958
multivariate,discount_change_3m,209,-0.15304328973622927,-10.019555746824109
multivariate,log_mcap,209,0.0008600041523517903,2.586925680626763
multivariate_sector_demeaned,const,209,-4.4683600961490586e-20,-0.651524833403713
multivariate_sector_demeaned,discount,209,-0.022045925970857593,-3.758399820356461
multivariate_sector_demeaned,discount_z_36m,209,-0.002889288326136468,-6.453423092090594
multivariate_sector_demeaned,discount_change_3m,209,-0.17004457697950612,-11.948822757369234
multivariate_sector_demeaned,log_mcap,209,0.00046214086413961034,1.661891175469331
