security_id,company_name,obs_month,nav_total_return,nav_tr_cagr_3y,nav_tr_cagr_5y,nav_tr_cagr_10y
NAME:aberdeen asia focus|ordinary share,Aberdeen Asian Smaller Companies,2009-10,-0.000746417197452276,0.08191852435551428,,
NAME:aberdeen asia focus|ordinary share,Aberdeen Asian Smaller Companies,2009-11,0.03871819132513332,0.09398549907388802,,
NAME:aberdeen asia focus|ordinary share,Aberdeen Asian Smaller Companies,2009-12,0.060862478126423314,0.11351058864164573,,
NAME:aberdeen asia focus|ordinary share,Aberdeen Asian Smaller Companies,2010-01,-0.01003253796095449,0.10646477576369827,,
NAME:aberdeen asia focus|ordinary share,Aberdeen Asian Smaller Companies,2010-02,0.05961836939651244,0.12226522192891662,,
NAME:aberdeen asia focus|ordinary share,Aberdeen Asian Smaller Companies,2010-03,0.07825693606755113,0.14190764814217416,,
NAME:aberdeen asia focus|ordinary share,Aberdeen Asian Smaller Companies,2010-04,0.06248876281039628,0.1535293300992867,,
NAME:aberdeen asia focus|ordinary share,Aberdeen Asian Smaller Companies,2010-05,0.006844034972266488,0.1436189917006611,,
NAME:aberdeen asia focus|ordinary share,Aberdeen Asian Smaller Companies,2010-06,0.028852079403910436,0.14764145921285554,,
NAME:aberdeen asia focus|ordinary share,Aberdeen Asian Smaller Companies,2010-07,0.022452535666315443,0.1556178267988758,,
NAME:aberdeen asia focus|ordinary share,Aberdeen Asian Smaller Companies,2010-08,0.056736077825708886,0.19971559843150755,,
NAME:aberdeen asia focus|ordinary share,Aberdeen Asian Smaller Companies,2010-09,0.11020209316780627,0.21580052140481934,,
NAME:aberdeen asia focus|ordinary share,Aberdeen Asian Smaller Companies,2010-10,-0.03151905821114598,0.2094711790337082,,
NAME:aberdeen asia focus|ordinary share,Aberdeen Asian Smaller Companies,2010-11,0.017452034247859682,0.2233244676659571,,
NAME:aberdeen asia focus|ordinary share,Aberdeen Asian Smaller Companies,2010-12,0.02865435113097159,0.21108370233525606,,
NAME:aberdeen asia focus|ordinary share,Aberdeen Asian Smaller Companies,2011-01,-0.056533357218564784,0.21168646199754368,,
NAME:aberdeen asia focus|ordinary share,Aberdeen Asian Smaller Companies,2011-02,-0.0440664556962026,0.18288549503901644,,
NAME:aberdeen asia focus|ordinary share,Aberdeen Asian Smaller Companies,2011-03,0.0636431349830342,0.22018880177463734,,
NAME:aberdeen asia focus|ordinary share,Aberdeen Asian Smaller Companies,2011-04,-0.0015094926859633429,0.2124300703650846,,
NAME:aberdeen asia focus|ordinary share,Aberdeen Asian Smaller Companies,2011-05,0.02814706294905167,0.23013510977015025,,
NAME:aberdeen asia focus|ordinary share,Aberdeen Asian Smaller Companies,2011-06,0.04010974851824334,0.27480251965378577,,
NAME:aberdeen asia focus|ordinary share,Aberdeen Asian Smaller Companies,2011-07,0.0010201850907236576,0.29457180052115234,0.18218324656234325,
NAME:aberdeen asia focus|ordinary share,Aberdeen Asian Smaller Companies,2011-08,-0.0354516997888914,0.26801127065748775,0.1693460044339351,
NAME:aberdeen asia focus|ordinary share,Aberdeen Asian Smaller Companies,2011-09,-0.0710792452830189,0.2789553692379562,0.14780484386575027,
NAME:aberdeen asia focus|ordinary share,Aberdeen Asian Smaller Companies,2011-10,-0.014981881997367497,0.36467108287793387,0.14139922150308368,
NAME:aberdeen asia focus|ordinary share,Aberdeen Asian Smaller Companies,2011-11,-0.016381002655933008,0.348342510018501,0.13491459489077198,
NAME:aberdeen asia focus|ordinary share,Aberdeen Asian Smaller Companies,2011-12,0.01594941803911043,0.28553292857944423,0.13613336515149496,
NAME:aberdeen asia focus|ordinary share,Aberdeen Asian Smaller Companies,2012-01,0.0712151476633045,0.3281925272804257,0.14942551455559194,
NAME:aberdeen asia focus|ordinary share,Aberdeen Asian Smaller Companies,2012-02,0.06755944583994711,0.38111215607302795,0.16097828888157503,
NAME:aberdeen asia focus|ordinary share,Aberdeen Asian Smaller Companies,2012-03,0.04124142908697226,0.39063217028442143,0.1649605539881234,
NAME:aberdeen asia focus|ordinary share,Aberdeen Asian Smaller Companies,2012-04,0.010189652304108954,0.36442159792584544,0.16028727717988334,
NAME:aberdeen asia focus|ordinary share,Aberdeen Asian Smaller Companies,2012-05,0.004473904510958304,0.31229943636933133,0.1537519604621233,
NAME:aberdeen asia focus|ordinary share,Aberdeen Asian Smaller Companies,2012-06,-0.010301531567226352,0.3093968317699507,0.1472481491871085,
NAME:aberdeen asia focus|ordinary share,Aberdeen Asian Smaller Companies,2012-07,0.03126768729551754,0.28009155973527483,0.15400534079951197,
NAME:aberdeen asia focus|ordinary share,Aberdeen Asian Smaller Companies,2012-08,0.0315779610194904,0.27504013882895584,0.17455502300007544,
NAME:aberdeen asia focus|ordinary share,Aberdeen Asian Smaller Companies,2012-09,0.046702048972918186,0.26137181558801525,0.17011348621158978,
NAME:aberdeen asia focus|ordinary share,Aberdeen Asian Smaller Companies,2012-10,0.01994743497557705,0.2700197697588449,0.1785967691228717,
NAME:aberdeen asia focus|ordinary share,Aberdeen Asian Smaller Companies,2012-11,0.018293201735726905,0.2616401955098914,0.1868742542205214,
NAME:aberdeen asia focus|ordinary share,Aberdeen Asian Smaller Companies,2012-12,0.01845397249809011,0.24459950197332755,0.1773852631291846,
NAME:aberdeen asia focus|ordinary share,Aberdeen Asian Smaller Companies,2013-01,0.06436792386488821,0.2750285477614025,0.20648325523578726,
NAME:aberdeen asia focus|ordinary share,Aberdeen Asian Smaller Companies,2013-02,0.07648600436056108,0.2817585166118791,0.2177801940698055,
NAME:aberdeen asia focus|ordinary share,Aberdeen Asian Smaller Companies,2013-03,0.02223813420621923,0.25916550507784986,0.2308658739449065,
NAME:aberdeen asia focus|ordinary share,Aberdeen Asian Smaller Companies,2013-04,0.034102507655052294,0.24785052547416062,0.2347881687425461,
