file,publication_type,rows_parsed,rows_with_price,rows_with_nav
2009-07_mir_MIR0907.csv,mir,429,217.0,215.0
2009-07_mir_PostMIRErrataAdditional0907.csv,mir,5,5.0,5.0
2009-08_mir_ErrataAdditional0908.csv,mir,30,30.0,30.0
2009-08_mir_MIR0908.csv,mir,430,220.0,219.0
2009-08_mir_PostMIRErrataAdditional0908.csv,mir,6,6.0,5.0
2009-09_mir_ErrataAdditional0909.csv,mir,22,22.0,21.0
2009-09_mir_MIR0909.csv,mir,427,219.0,216.0
2009-09_mir_PostMIRErrataAdditional0909.csv,mir,5,5.0,5.0
2009-10_mir_ErrataAdditional0910.csv,mir,26,26.0,26.0
2009-10_mir_MIR0910.csv,mir,424,211.0,209.0
2009-10_mir_PostMIRErrataAdditional0910.csv,mir,4,4.0,4.0
2009-11_mir_ErrataAdditional0911.csv,mir,29,29.0,29.0
2009-11_mir_MIR0911.csv,mir,424,216.0,214.0
2009-11_mir_PostMIRErrataAdditional0911.csv,mir,4,4.0,4.0
2009-12_mir_ErrataAdditional0912.csv,mir,21,21.0,18.0
2009-12_mir_MIR0912.csv,mir,430,212.0,209.0
2009-12_mir_PostMIRErrataAdditional0912.csv,mir,2,2.0,2.0
2010-01_mir_ErrataAdditional1001.csv,mir,22,22.0,21.0
2010-01_mir_MIR1001.csv,mir,429,211.0,209.0
2010-01_mir_PostMIRErrataAdditional1001.csv,mir,6,6.0,6.0
2010-02_mir_ErrataAdditional1002.csv,mir,23,23.0,23.0
2010-02_mir_MIR1002.csv,mir,426,211.0,209.0
2010-02_mir_PostMIRErrataAdditional1002.csv,mir,10,10.0,10.0
2010-03_mir_MIR1003.csv,mir,422,208.0,205.0
2010-03_mir_PostMIRErrataAdditional1003.csv,mir,4,4.0,4.0
2010-04_mir_ErrataAdditional1004.csv,mir,15,15.0,15.0
2010-04_mir_MIR1004.csv,mir,426,205.0,203.0
2010-04_mir_PostMIRErrataAdditional1004.csv,mir,18,18.0,18.0
