episode,strategy,months,cumulative_return,worst_month
GFC 2008-09,A_absolute_discount_decile,14,-0.2612362656841132,-0.174894533580004
GFC 2008-09,B_absolute_discount_quintile,14,-0.2926221639487733,-0.1910202822789161
GFC 2008-09,C_discount_zscore,3,0.07742993281523503,-0.06662454499993477
GFC 2008-09,D_sector_neutral_zscore,3,0.04294416869804252,-0.02566893413230236
GFC 2008-09,E_discount_overshoot,3,0.0556040859768443,-0.06227041343405794
GFC 2008-09,BM_equal_weight_universe,14,-0.3350896703437545,-0.1728584202976317
GFC 2008-09,BM_cap_weight_universe,14,-0.3059042557641901,-0.16400981710537205
GFC 2008-09 +12m recovery,A_absolute_discount_decile,11,6.767380745000018,-0.007609400666530167
GFC 2008-09 +12m recovery,BM_equal_weight_universe,11,0.9198872658790254,-0.020195502328004242
Eurozone crisis,A_absolute_discount_decile,13,-0.08112887227962118,-0.09643125697511414
Eurozone crisis,B_absolute_discount_quintile,13,-0.08281689491532074,-0.09521691201141931
Eurozone crisis,C_discount_zscore,13,0.10126790973227351,-0.06915746845730507
Eurozone crisis,D_sector_neutral_zscore,13,0.0904772575011985,-0.06836859022886406
Eurozone crisis,E_discount_overshoot,13,0.02601488951662234,-0.07270627284235318
Eurozone crisis,BM_equal_weight_universe,13,-0.08841307488794581,-0.07287631161046704
Eurozone crisis,BM_cap_weight_universe,13,-0.10876057536066841,-0.07564737638077607
Eurozone crisis +12m recovery,A_absolute_discount_decile,11,0.35305178631537815,-0.023461321478042238
Eurozone crisis +12m recovery,BM_equal_weight_universe,11,0.195971800484811,-0.045748359985571474
2015-16 selloff,A_absolute_discount_decile,8,-0.13081987875543433,-0.0644259364764848
2015-16 selloff,B_absolute_discount_quintile,8,-0.07502591611364873,-0.06090794235811293
2015-16 selloff,C_discount_zscore,8,-0.0463888239661584,-0.05331344310127349
2015-16 selloff,D_sector_neutral_zscore,8,-0.01153145165676217,-0.060964972454697265
2015-16 selloff,E_discount_overshoot,8,0.010128505036053781,-0.07176711522169953
2015-16 selloff,BM_equal_weight_universe,8,-0.07830958820527123,-0.05874698861291966
2015-16 selloff,BM_cap_weight_universe,8,-0.06914070660643246,-0.062409559624264685
2015-16 selloff +12m recovery,A_absolute_discount_decile,11,0.36989844472961186,-0.008479473985337969
2015-16 selloff +12m recovery,BM_equal_weight_universe,11,0.23782534951575296,-0.02026913768078206
Q4 2018,A_absolute_discount_decile,2,24.73495162582213,-0.05042395708798604
Q4 2018,B_absolute_discount_quintile,2,12.414270680501925,-0.01991899939046847
Q4 2018,C_discount_zscore,2,21.333161043277972,-0.03354518868471089
Q4 2018,D_sector_neutral_zscore,2,21.734651256110013,-0.07611821587858576
Q4 2018,E_discount_overshoot,2,22.485971938942587,0.016380113881878072
Q4 2018,BM_equal_weight_universe,2,2.424678812593583,-0.021272922656914953
Q4 2018,BM_cap_weight_universe,2,-0.04165432040422745,-0.039830428158163136
Q4 2018 +12m recovery,A_absolute_discount_decile,11,0.04878841525420219,-0.0511733921006644
Q4 2018 +12m recovery,BM_equal_weight_universe,11,0.11035854846307158,-0.046762589928057596
COVID crash,A_absolute_discount_decile,1,-0.20880191754069755,-0.20880191754069757
COVID crash,B_absolute_discount_quintile,1,-0.18263262916157186,-0.1826326291615719
COVID crash,C_discount_zscore,1,-0.09211361360504766,-0.0921136136050477
COVID crash,D_sector_neutral_zscore,1,-0.10921386538896594,-0.10921386538896598
COVID crash,E_discount_overshoot,1,-0.10647935027595523,-0.1064793502759552
COVID crash,BM_equal_weight_universe,1,-0.17291920547835105,-0.1729192054783511
COVID crash,BM_cap_weight_universe,1,-0.12934514516374684,-0.12934514516374682
COVID crash +12m recovery,A_absolute_discount_decile,11,0.501316577522267,-0.004121886028148169
COVID crash +12m recovery,BM_equal_weight_universe,11,0.35037338603146284,-0.010987301130126971
2022 rate shock,A_absolute_discount_decile,11,-0.022783814781654033,-0.05874371747734664
2022 rate shock,B_absolute_discount_quintile,11,11.230120306674333,-0.06565482618726734
2022 rate shock,C_discount_zscore,11,0.10602537005971979,-0.0651334266478508
2022 rate shock,D_sector_neutral_zscore,11,0.030553924090280793,-0.06470927130257621
2022 rate shock,E_discount_overshoot,11,0.12772479200133535,-0.056394820096654696
2022 rate shock,BM_equal_weight_universe,11,1.908058314103081,-0.06618346143692284
2022 rate shock,BM_cap_weight_universe,11,0.4579858965278987,-0.06658833620021044
2022 rate shock +12m recovery,A_absolute_discount_decile,11,0.06916698614251904,-0.038619743461857814
2022 rate shock +12m recovery,BM_equal_weight_universe,11,-0.013828384751253253,-0.060581987962505676
2023-25 IT discount crisis,A_absolute_discount_decile,35,0.6800416576564725,-0.038619743461857814
2023-25 IT discount crisis,B_absolute_discount_quintile,35,0.5691927463670501,-0.04480040175403668
2023-25 IT discount crisis,C_discount_zscore,35,1.1564471567750787,-0.05479209187550523
2023-25 IT discount crisis,D_sector_neutral_zscore,35,0.620345188546646,-0.05744476796859141
2023-25 IT discount crisis,E_discount_overshoot,35,1.352232396330669,-0.055685836501205406
2023-25 IT discount crisis,BM_equal_weight_universe,35,0.22356797158436903,-0.060581987962505676
2023-25 IT discount crisis,BM_cap_weight_universe,35,0.27730314135480905,-0.05580724701789964
2023-25 IT discount crisis +12m recovery,A_absolute_discount_decile,7,0.07060195556285587,-0.04801836010633836
2023-25 IT discount crisis +12m recovery,BM_equal_weight_universe,7,0.04891925983473677,-0.09429143842153519
