security_id,fund,isin,old_ticker,figi_ticker,figi_name,outcome,detail
SEDOL:3216473,"JPMorgan Emerging Europe, Middle East & Africa",GB0032164732,JRS,JEMA,JPMORGAN EMERGING EUROPE MI,verified_new_ticker,"JPMorgan Emerging Europe, Middle East & Africa Securities"
SEDOL:3047468,Patria Private Equity,GB0030474687,SLPE,PPET,PATRIA PRIVATE EQUITY TRUST,verified_new_ticker,Patria Private Equity Trust
SEDOL:B1GHHH7,Volta Finance,GG00B1GHHH78,VTA,VTA,VOLTA FINANCE LTD,unverified_not_written,no_h1
SEDOL:BDGKMY2,BioPharma Credit,GB00BDGKMY29,BPCR,BPCR,BIOPHARMA CREDIT PLC,unverified_not_written,no_h1
SEDOL:BJVKW83,JPMorgan Global Core Real Assets,GG00BWPKR307,JARA,JARA,JPMORGAN GLOBAL CORE REAL AS,unverified_not_written,no_h1
SEDOL:BGJYPP4,Chrysalis Investments,GG00BGJYPP46,MERI,CHRY,CHRYSALIS INVESTMENTS LTD,verified_new_ticker,Chrysalis Investments Limited NPV
