,A_absolute_discount_decile_gross,A_absolute_discount_decile_net,B_absolute_discount_quintile_gross,B_absolute_discount_quintile_net,C_discount_zscore_gross,C_discount_zscore_net,D_sector_neutral_zscore_gross,D_sector_neutral_zscore_net,E_discount_overshoot_gross,E_discount_overshoot_net,BM_equal_weight_universe_gross,BM_equal_weight_universe_net,BM_cap_weight_universe_gross,BM_cap_weight_universe_net
2007(11m),-0.05723326260386408,-0.10282111298917407,-0.021122783389326716,-0.07071479320465945,,,,,,,-0.011539897766947416,-0.027163198100265018,0.03144042507199796,0.014504738375396897
2008,-0.3574752943896309,-0.399120510740565,-0.3705138229107998,-0.3986413252336072,,,,,,,-0.3554851106684046,-0.36055025702804266,-0.33186911991285495,-0.3444685986387458
2009,1.0567133509522546,0.9390385923795699,0.8319579365176197,0.745280422141366,1.016388819014276,0.8144797295281101,0.9169984990984839,0.7128120650602725,1.1168247758475416,0.8903875736503697,0.39575108496075617,0.38586558297003837,0.3371802802812447,0.329152825024855
2010,0.362045002202938,0.28871349090205234,0.3333214081820479,0.2781906849503035,0.3908096690308138,0.2695789704575595,0.3836367199708115,0.26572245385582405,0.47079986063812895,0.31898114675938727,0.20442289773801758,0.19912498493975228,0.21457930202321807,0.20825147826284374
2011,-0.15939633977122447,-0.19894362352835104,-0.12749531008543247,-0.15864057517878016,0.026217245570713033,-0.06624684503383627,-0.013636298399094526,-0.09972999018528494,-0.034827199330608294,-0.12871075600480997,-0.127717581068146,-0.1315964381369632,-0.1333399904313689,-0.13735303006136246
2012,0.16243791517286588,0.09379310700605492,0.14637908500209296,0.08833895461784524,0.33860171447545273,0.20412487367420606,0.1977520025799635,0.10044057922246097,0.37323470004049186,0.2102374568383607,0.1734527570400135,0.1379664619797487,0.13325047227825482,0.1008950614895947
2013,0.43925785614617374,0.37663443181601863,0.3535697224405294,0.30249772464126057,0.219666019367607,0.10853280428188472,0.3605610402840851,0.23737429135598687,0.2877910626818716,0.1625804033632905,0.20363272402925348,0.1988287221858105,0.19265869112106793,0.18954723254175576
2014,0.017531498148507074,-0.02940169770870671,0.04494420976251767,-0.0027701788467513477,0.17112479724838514,0.08063358630786044,0.13415253997193743,0.038034801220000025,0.21116874319801382,0.09197954411284726,0.014309238629408139,0.009921788437984302,0.04192636844747755,0.03924444487827228
2015,-0.0987439007873282,-0.135964076756252,0.014868347633837375,-0.02626485825756153,-0.0051636745358103475,-0.09110772425129754,0.07690889775079968,-0.011003912732467036,0.041463046477469456,-0.061385710596134735,0.008112410329196962,0.0033191430503032304,0.030679330616381284,0.028554051548430825
2016,0.26402155638202207,0.21533152170847947,0.2503777606918667,0.20024643050459412,0.36803584618370544,0.23106052707680358,0.3024729149651493,0.17187320598765843,0.47465775891555984,0.33083334888090343,0.15263172880285647,0.14610043081381163,0.143404524398842,0.1391959854068261
2017,0.28454100482467193,0.24327866413073052,0.30297045135882583,0.25346008258796315,0.32664446524919066,0.21101766130038913,0.30460143153105745,0.1899843887242556,0.3202989763893669,0.18859642550265998,0.18124903357122424,0.17329990561728437,0.2078377787056922,0.20101901467378425
2018,-0.005283559352589284,-0.049424649885205674,-0.04876366362607343,-0.08183972490265601,0.035258812024320685,-0.058425897255028225,-0.00772065666238031,-0.09956028646542858,0.004290178567292191,-0.10015526796360263,-0.10274053763724456,-0.1082662007467724,-0.09144309108648718,-0.09499335352342209
2019,0.23479728626277052,0.18157947338783575,0.2373622073063657,0.19493259255400908,0.22465776733693787,0.11444896132114768,0.2818524482859419,0.15706547104868274,0.2839072128256763,0.15733846488767744,0.1846312967148953,0.18005797682619362,0.21056726622904476,0.20759775515760404
2020,0.16952604494325652,0.11129680931602492,0.2214487656807158,0.16898610860819185,0.4780866473723038,0.31335552793355315,0.34958490925761265,0.202582392341901,0.4296629258304383,0.2766747442006081,0.07285496900186561,0.0671761324553597,0.18430888426502,0.18140495744309804
2021,0.30645570682128453,0.24836798816486327,0.23838738779724378,0.1875010999083675,0.3285873890542401,0.21327235700207203,0.3355999559469578,0.21720402721845256,0.38723873230474615,0.2447477119088044,0.11403059446275998,0.10920873012837529,0.09664110797661674,0.06154715417049372
2022,-0.06127983893266231,-0.1059226120911696,-0.05572713977867816,-0.10354563753355317,0.08969111484908532,-0.016591136875011347,0.009078218337174482,-0.07898127965268742,0.14685967366491104,0.02363269552997127,-0.1603415323803946,-0.16509694596070734,-0.21562682755343732,-0.21923742067362306
2023,0.12095095958319524,0.08748605069089166,0.14301725766474038,0.09542450220892373,0.13656482723299757,0.050505227093931016,0.1009263814040775,0.01488156683939934,0.1844235284234883,0.08476199262206552,0.03212768573189062,0.02694435723058697,0.05826675273151616,0.05387943456151412
2024,0.12979012936205936,0.10121315835888356,0.08028909684717034,0.035943225261435785,0.19072880683731963,0.08539311087832102,0.15240875136777876,0.054130580902323144,0.19584522496974066,0.08754613407555989,0.06044217150321374,0.055687307925389895,0.09446916620013157,0.09222000888111381
2025,0.31509498170255235,0.2721457269870038,0.2920159038176926,0.2347663536476663,0.26960891431462786,0.1668253756890994,0.20268570243921835,0.11565036870347889,0.41692418092320627,0.271260610127783,0.16755418264088306,0.16248552280328155,0.16070856812228174,0.15832432091631699
2026(7m),0.12892497328119146,0.09634902801230583,0.10331843790373352,0.06918728685926201,0.14978687675733937,0.09563318820213018,0.15729444973675566,0.10809034778035476,0.1672401366727143,0.10665236934883926,0.07967768094179384,0.07655570357653563,0.10099240450113278,0.09885397704392296
