signal_month,holding_month,bucket,n_members,n_with_return,fwd_return,signal
2007-12,2008-01,8,19,19,-0.09453423889840237,widening_3m
2007-12,2008-01,9,19,19,-0.08904583328049676,widening_3m
2007-12,2008-01,10,19,15,-0.08645561535363967,widening_3m
2008-01,2008-02,1,19,18,0.057778144956207096,widening_3m
2008-01,2008-02,2,18,18,0.04396981285106173,widening_3m
2008-01,2008-02,3,18,18,0.042074878886616894,widening_3m
2008-01,2008-02,4,19,18,0.059155216952461794,widening_3m
2008-01,2008-02,5,18,18,0.017279667932577687,widening_3m
2008-01,2008-02,6,18,18,0.0420096074475519,widening_3m
2008-01,2008-02,7,19,19,0.029181007816218393,widening_3m
2008-01,2008-02,8,18,18,0.04972311489851135,widening_3m
2008-01,2008-02,9,18,17,0.019208731804772398,widening_3m
2008-01,2008-02,10,19,18,0.014627694932453984,widening_3m
2008-02,2008-03,1,19,19,-0.053268530124138985,widening_3m
2008-02,2008-03,2,18,18,-0.022835669922774457,widening_3m
2008-02,2008-03,3,18,18,-0.032581643090152115,widening_3m
2008-02,2008-03,4,18,18,-0.04252257359281456,widening_3m
2008-02,2008-03,5,18,18,-0.033452423624754084,widening_3m
2008-02,2008-03,6,18,18,-0.04227966390493008,widening_3m
2008-02,2008-03,7,17,17,-0.04354869653291634,widening_3m
2008-02,2008-03,8,19,19,-0.04971011538022882,widening_3m
2008-02,2008-03,9,18,18,-0.07167496202866924,widening_3m
2008-02,2008-03,10,18,17,-0.0677839695500077,widening_3m
2008-03,2008-04,1,19,17,0.055111605504600605,widening_3m
2008-03,2008-04,2,19,17,0.05372817123019675,widening_3m
2008-03,2008-04,3,18,18,0.054785754378710264,widening_3m
2008-03,2008-04,4,19,18,0.04715762982015351,widening_3m
2008-03,2008-04,5,19,19,0.05264996704961409,widening_3m
2008-03,2008-04,6,18,18,0.06352620208313847,widening_3m
2008-03,2008-04,7,19,19,0.040363760542499766,widening_3m
2008-03,2008-04,8,18,17,0.05682920269234681,widening_3m
2008-03,2008-04,9,19,19,0.046396803326129936,widening_3m
2008-03,2008-04,10,19,18,0.019533987117854694,widening_3m
2008-04,2008-05,1,18,18,0.014386391689107127,widening_3m
2008-04,2008-05,2,18,17,0.012125961540201891,widening_3m
2008-04,2008-05,3,18,18,0.018698143404777552,widening_3m
2008-04,2008-05,4,18,18,0.022664624517874543,widening_3m
2008-04,2008-05,5,18,18,0.021622147533229632,widening_3m
2008-04,2008-05,6,18,18,0.016394649232947176,widening_3m
2008-04,2008-05,7,18,18,0.017733552508900803,widening_3m
2008-04,2008-05,8,18,18,0.011025227438555583,widening_3m
2008-04,2008-05,9,18,18,-0.00037979696083503513,widening_3m
2008-04,2008-05,10,18,18,-0.0008001732511354794,widening_3m
2008-05,2008-06,1,18,18,-0.054842937378006565,widening_3m
2008-05,2008-06,2,18,18,-0.07931877778209052,widening_3m
2008-05,2008-06,3,18,18,-0.08571375700843162,widening_3m
2008-05,2008-06,4,18,18,-0.09826175080967649,widening_3m
2008-05,2008-06,5,18,18,-0.0815889252926672,widening_3m
2008-05,2008-06,6,18,18,-0.08452590179940092,widening_3m
2008-05,2008-06,7,18,17,-0.07573226996785008,widening_3m
2008-05,2008-06,8,18,18,-0.07913335262390099,widening_3m
2008-05,2008-06,9,18,18,-0.08711346187639626,widening_3m
2008-05,2008-06,10,18,18,-0.10559844935936918,widening_3m
2008-06,2008-07,1,19,18,0.017203611852457137,widening_3m
2008-06,2008-07,2,18,18,-0.014218072534077844,widening_3m
2008-06,2008-07,3,19,18,-0.020616114159984513,widening_3m
2008-06,2008-07,4,18,18,-0.03968367455954419,widening_3m
2008-06,2008-07,5,19,19,-0.026414161151614348,widening_3m
2008-06,2008-07,6,18,18,-0.02315551673773624,widening_3m
2008-06,2008-07,7,18,17,-0.03293206330170953,widening_3m
2008-06,2008-07,8,19,19,-0.03664479432899187,widening_3m
2008-06,2008-07,9,18,18,-0.06583114583446242,widening_3m
2008-06,2008-07,10,19,19,-0.0851711662457706,widening_3m
2008-07,2008-08,1,19,18,0.021473110559737427,widening_3m
2008-07,2008-08,2,18,18,0.028911215223067974,widening_3m
2008-07,2008-08,3,19,18,0.0349298646486302,widening_3m
2008-07,2008-08,4,18,18,0.017662244243609786,widening_3m
2008-07,2008-08,5,19,19,0.03312345523687715,widening_3m
2008-07,2008-08,6,18,17,0.010811229813514553,widening_3m
2008-07,2008-08,7,18,18,0.025851476639827033,widening_3m
2008-07,2008-08,8,19,19,0.010359555755347492,widening_3m
2008-07,2008-08,9,18,18,0.016438482593000167,widening_3m
2008-07,2008-08,10,19,19,-0.003307551184997365,widening_3m
2008-08,2008-09,1,19,19,-0.13061774870038925,widening_3m
2008-08,2008-09,2,19,19,-0.11580437983505142,widening_3m
2008-08,2008-09,3,18,18,-0.11510909147751185,widening_3m
2008-08,2008-09,4,19,19,-0.1346179056970436,widening_3m
2008-08,2008-09,5,18,18,-0.1317718008072087,widening_3m
2008-08,2008-09,6,19,19,-0.10853994964842202,widening_3m
2008-08,2008-09,7,18,18,-0.13522732852147576,widening_3m
2008-08,2008-09,8,19,19,-0.1240621831379361,widening_3m
2008-08,2008-09,9,18,18,-0.13381562657452395,widening_3m
2008-08,2008-09,10,19,18,-0.1711532309072007,widening_3m
2008-09,2008-10,1,20,18,-0.135670622874023,widening_3m
2008-09,2008-10,2,19,18,-0.18480591055706946,widening_3m
2008-09,2008-10,3,19,19,-0.1752887197523863,widening_3m
2008-09,2008-10,4,19,19,-0.16406069746783136,widening_3m
2008-09,2008-10,5,19,19,-0.17883200271147134,widening_3m
2008-09,2008-10,6,19,18,-0.17314357496649302,widening_3m
2008-09,2008-10,7,19,19,-0.1926433297055615,widening_3m
2008-09,2008-10,8,19,19,-0.15818913216778036,widening_3m
2008-09,2008-10,9,19,19,-0.1833142389651854,widening_3m
2008-09,2008-10,10,19,19,-0.18132254472981502,widening_3m
2008-10,2008-11,1,19,18,0.008573678221915904,widening_3m
2008-10,2008-11,2,19,19,-0.008933981645624067,widening_3m
2008-10,2008-11,3,19,19,-0.04837065486877272,widening_3m
2008-10,2008-11,4,18,18,-0.031199226111500906,widening_3m
2008-10,2008-11,5,19,19,-0.0357212567369823,widening_3m
2008-10,2008-11,6,19,19,-0.06691695706416949,widening_3m
2008-10,2008-11,7,18,18,-0.044129257820135624,widening_3m
2008-10,2008-11,8,19,19,-0.0458280109086894,widening_3m
2008-10,2008-11,9,19,19,-0.03355166699532406,widening_3m
2008-10,2008-11,10,19,19,-0.09847531792206596,widening_3m
2008-11,2008-12,1,19,19,0.024199831417586116,widening_3m
2008-11,2008-12,2,19,18,0.06666295436131138,widening_3m
2008-11,2008-12,3,18,18,0.1122905512902666,widening_3m
2008-11,2008-12,4,19,19,0.06439144650101945,widening_3m
2008-11,2008-12,5,18,18,0.1257139581096561,widening_3m
2008-11,2008-12,6,19,19,0.08692425214627023,widening_3m
2008-11,2008-12,7,18,18,0.09827062068809446,widening_3m
2008-11,2008-12,8,19,19,0.01001445957557423,widening_3m
2008-11,2008-12,9,18,17,0.08555586377002493,widening_3m
2008-11,2008-12,10,19,19,-0.004425474425672578,widening_3m
2008-12,2009-01,1,20,18,0.09957369958074087,widening_3m
2008-12,2009-01,2,19,19,0.0026832291873047976,widening_3m
2008-12,2009-01,3,19,19,-0.002403693725258446,widening_3m
2008-12,2009-01,4,19,19,-0.013695590958430892,widening_3m
2008-12,2009-01,5,19,19,-0.04335603984869387,widening_3m
2008-12,2009-01,6,19,17,-0.03527686691383086,widening_3m
2008-12,2009-01,7,19,19,-0.05857601873335568,widening_3m
2008-12,2009-01,8,19,19,-0.04640615964503997,widening_3m
2008-12,2009-01,9,19,19,-0.02358115399901587,widening_3m
2008-12,2009-01,10,19,18,-0.08339867882549161,widening_3m
2009-01,2009-02,1,19,19,-0.009869088434714983,widening_3m
2009-01,2009-02,2,19,19,-0.06569707456382204,widening_3m
2009-01,2009-02,3,18,18,-0.05537877769369913,widening_3m
2009-01,2009-02,4,19,19,-0.036199503008332884,widening_3m
2009-01,2009-02,5,18,18,-0.08812844044797633,widening_3m
2009-01,2009-02,6,19,19,-0.06585372054248573,widening_3m
2009-01,2009-02,7,18,17,-0.06155444990475232,widening_3m
2009-01,2009-02,8,19,19,-0.09030640213142671,widening_3m
2009-01,2009-02,9,18,18,-0.0777916427630175,widening_3m
2009-01,2009-02,10,19,19,-0.10620895079264633,widening_3m
2009-02,2009-03,1,19,19,0.09241811004047489,widening_3m
2009-02,2009-03,2,19,19,0.04282429027075451,widening_3m
2009-02,2009-03,3,18,18,0.06612921779242867,widening_3m
2009-02,2009-03,4,19,19,0.04198292184885381,widening_3m
2009-02,2009-03,5,19,19,0.04502800347398408,widening_3m
2009-02,2009-03,6,18,18,0.09017329060349272,widening_3m
2009-02,2009-03,7,19,19,0.02253812423304551,widening_3m
2009-02,2009-03,8,18,18,0.03830238755319955,widening_3m
2009-02,2009-03,9,19,19,-0.0025691792787146074,widening_3m
2009-02,2009-03,10,19,19,-0.03067327944366399,widening_3m
2009-03,2009-04,1,20,19,0.24435947557877152,widening_3m
2009-03,2009-04,2,19,19,0.14070939977784772,widening_3m
2009-03,2009-04,3,19,18,0.13866396179612292,widening_3m
2009-03,2009-04,4,19,19,0.1315137441680823,widening_3m
2009-03,2009-04,5,19,18,0.12235280381776173,widening_3m
2009-03,2009-04,6,19,19,0.10489891633746849,widening_3m
2009-03,2009-04,7,19,18,0.12828342047006858,widening_3m
2009-03,2009-04,8,19,19,0.10843205294384273,widening_3m
2009-03,2009-04,9,19,19,0.13010144177828295,widening_3m
2009-03,2009-04,10,20,19,0.13700545134314837,widening_3m
2009-04,2009-05,1,19,19,0.12760853512966933,widening_3m
2009-04,2009-05,2,19,19,0.05445387247536889,widening_3m
2009-04,2009-05,3,19,19,0.05765859762887525,widening_3m
2009-04,2009-05,4,19,19,0.06492556324448796,widening_3m
