signal_month,holding_month,gross_return,buy_turnover,sell_turnover,n_holdings,missing_return_weight,n_missing_return,rebalanced,cost,net_return,strategy
2007-01,2007-02,0.012293850493359397,1.0,0.0,18,0.0,0,True,0.009531706660468766,0.0027621438328906314,A_absolute_discount_decile
2007-02,2007-03,0.03323507109285573,0.2883171022382028,0.28831710223820284,18,0.05555555555555555,1,True,0.004189739554921946,0.02904533153793378,A_absolute_discount_decile
2007-03,2007-04,0.028494676838051014,0.3458024936290085,0.3458024936290085,18,0.1111111111111111,2,True,0.005025100399875371,0.023469576438175644,A_absolute_discount_decile
2007-04,2007-05,0.009676092012785,0.3375325246942525,0.33753252469425277,18,0.0,0,True,0.004904923637224308,0.004771168375560691,A_absolute_discount_decile
2007-05,2007-06,-0.0014826334222260863,0.12045919498887546,0.12045919498887551,18,0.0,0,True,0.0017504776861345475,-0.0032331111083606337,A_absolute_discount_decile
2007-06,2007-07,-0.011851969129006244,0.2636771767631937,0.2636771767631934,19,0.10526315789473686,2,True,0.0038316793857833004,-0.015683648514789546,A_absolute_discount_decile
2007-07,2007-08,-0.05721767293676041,0.3730709405978023,0.3730709405978023,18,0.0,0,True,0.005421357472312431,-0.06263903040907284,A_absolute_discount_decile
2007-08,2007-09,-0.014308828250132952,0.07450246822547776,0.07450246822547771,18,0.0,0,True,0.0010826480137335376,-0.015391476263866489,A_absolute_discount_decile
2007-09,2007-10,0.01935758712164009,0.3173020020167975,0.3173020020167973,19,0.21052631578947373,4,True,0.004610939616087569,0.014746647505552522,A_absolute_discount_decile
2007-10,2007-11,-0.10935503455276663,0.3826064565712554,0.3826064565712553,19,0.0,0,True,0.0055599247932948655,-0.1149149593460615,A_absolute_discount_decile
2007-11,2007-12,0.042685379114377246,0.21425682899820225,0.2142568289982024,18,0.0,0,True,0.0031135173890040942,0.03957186172537315,A_absolute_discount_decile
2007-12,2008-01,-0.0406218335577263,0.5345709422322279,0.5345709422322276,19,0.10526315789473686,2,True,0.007768228121729129,-0.04839006167945543,A_absolute_discount_decile
2008-01,2008-02,0.06456272436641838,0.5843116209181053,0.5843116209181055,18,0.0,0,True,0.008491045073484933,0.056071679292933455,A_absolute_discount_decile
2008-02,2008-03,-0.07013784679447359,0.35098100279973427,0.3509810027997342,18,0.0,0,True,0.0051003529760829044,-0.07523819977055649,A_absolute_discount_decile
2008-03,2008-04,0.05550375426630415,0.3269757923907923,0.326975792390792,19,0.0,0,True,0.004751516300097327,0.05075223796620682,A_absolute_discount_decile
2008-04,2008-05,0.011046956653330121,0.2759044969107125,0.27590449691071234,18,0.0,0,True,0.004009363215410684,0.007037593437919437,A_absolute_discount_decile
2008-05,2008-06,-0.06763798735611876,0.32234811172942085,0.32234811172942074,19,0.0,0,True,0.0046842682022079545,-0.0723222555583267,A_absolute_discount_decile
2008-06,2008-07,-0.0241948205518229,0.22688629428093274,0.22688629428093263,19,0.10526315789473686,2,True,0.003297045073771306,-0.027491865625594206,A_absolute_discount_decile
2008-07,2008-08,0.013066718390492744,0.385453203619605,0.3854532036196049,19,0.0,0,True,0.005601292886338037,0.007465425504154707,A_absolute_discount_decile
2008-08,2008-09,-0.12128956325931375,0.223917640807376,0.22391764080737586,19,0.0,0,True,0.0032539054723169977,-0.12454346873163075,A_absolute_discount_decile
2008-09,2008-10,-0.174894533580004,0.34052526375537073,0.3405252637553705,19,0.05263157894736843,1,True,0.004948413243371803,-0.17984294682337582,A_absolute_discount_decile
2008-10,2008-11,-0.05343980899321662,0.4025247959356034,0.4025247959356032,19,0.05263157894736843,1,True,0.0058493722581012386,-0.05928918125131786,A_absolute_discount_decile
2008-11,2008-12,0.0022817967833879712,0.48261864848426306,0.4826186484842628,19,0.0,0,True,0.007013272628645198,-0.004731475845257226,A_absolute_discount_decile
2008-12,2009-01,0.08370183228646344,0.5229300750023538,0.5229300750023537,19,0.1578947368421053,3,True,0.007599066453871135,0.0761027658325923,A_absolute_discount_decile
2009-01,2009-02,-0.020323760018296087,0.3128109431963757,0.31281094319637537,19,0.05263157894736843,1,True,0.004545676866714288,-0.024869436885010376,A_absolute_discount_decile
2009-02,2009-03,0.040472854167126676,0.36744669455859336,0.36744669455859325,19,0.0,0,True,0.005339627578684343,0.03513322658844233,A_absolute_discount_decile
2009-03,2009-04,0.19947175593748892,0.3100815069816359,0.31008150698163567,19,0.10526315789473686,2,True,0.004506013500293229,0.1949657424371957,A_absolute_discount_decile
2009-04,2009-05,0.1447088937114462,0.3726477166835383,0.3726477166835381,19,0.10526315789473686,2,True,0.00541520730653865,0.13929368640490755,A_absolute_discount_decile
2009-05,2009-06,0.022569853300024215,0.3565415782836358,0.3565415782836354,19,0.05263157894736843,1,True,0.005181157627878354,0.017388695672145862,A_absolute_discount_decile
2009-06,2009-07,0.012205225889708222,0.3412373589795989,0.34123735897959867,19,0.10526315789473686,2,True,0.004958761202284607,0.007246464687423615,A_absolute_discount_decile
2009-07,2009-08,0.13585891378886905,0.3418613368883142,0.3418613368883142,19,0.05263157894736843,1,True,0.004967828666216673,0.13089108512265238,A_absolute_discount_decile
2009-08,2009-09,0.10733748596071345,0.24056941843258567,0.24056941843258556,19,0.10526315789473686,2,True,0.003495884220141902,0.10384160174057155,A_absolute_discount_decile
2009-09,2009-10,-0.007609400666530167,0.3975427654768253,0.3975427654768251,19,0.1578947368421053,3,True,0.005776974852900754,-0.01338637551943092,A_absolute_discount_decile
2009-10,2009-11,-0.001592858757124466,0.3701932721483568,0.37019327214835696,18,0.0,0,True,0.005379540038539004,-0.00697239879566347,A_absolute_discount_decile
2009-11,2009-12,0.05125790392640275,0.3480754091756053,0.34807540917560537,18,0.0,0,True,0.005058129741862535,0.046199774184540215,A_absolute_discount_decile
2009-12,2010-01,0.015742791527693853,0.5847775115963643,0.5847775115963643,18,0.0,0,True,0.008497815260157238,0.007244976267536615,A_absolute_discount_decile
2010-01,2010-02,0.004019242590688839,0.23852711835993237,0.23852711835993246,18,0.05555555555555555,1,True,0.0034662061145734513,0.0005530364761153878,A_absolute_discount_decile
2010-02,2010-03,0.06883173295796158,0.23116945318374027,0.23116945318374024,18,0.0,0,True,0.003359286682527081,0.0654724462754345,A_absolute_discount_decile
2010-03,2010-04,0.03311352821610388,0.4084885466683516,0.4084885466683517,18,0.1111111111111111,2,True,0.005936035734345692,0.02717749248175819,A_absolute_discount_decile
2010-04,2010-05,-0.07623482328562407,0.35180109833235046,0.3518010983323506,18,0.0,0,True,0.005112270363796445,-0.08134709364942051,A_absolute_discount_decile
2010-05,2010-06,0.009826261202564005,0.30289551430851347,0.3028955143085134,18,0.0,0,True,0.004401588762703137,0.0054246724398608675,A_absolute_discount_decile
2010-06,2010-07,0.027483054270380718,0.3441646425987367,0.3441646425987365,18,0.1111111111111111,2,True,0.0050012996291499134,0.022481754641230804,A_absolute_discount_decile
2010-07,2010-08,0.0011492732659085982,0.18606054469069475,0.18606054469069472,18,0.0,0,True,0.002703777256532215,-0.0015545039906236166,A_absolute_discount_decile
2010-08,2010-09,0.07154617028550925,0.2329894590405563,0.23298945904055646,18,0.0,0,True,0.0033857344737586673,0.06816043581175057,A_absolute_discount_decile
2010-09,2010-10,0.10166736441101051,0.30006879461112745,0.3000687946111276,18,0.1111111111111111,2,True,0.0043605117012493555,0.09730685270976115,A_absolute_discount_decile
2010-10,2010-11,-0.01818375723142412,0.36012967645960914,0.36012967645960936,18,0.0,0,True,0.005233298818040565,-0.023417056049464688,A_absolute_discount_decile
2010-11,2010-12,0.08751422663162997,0.3446832391406738,0.3446832391406737,18,0.0,0,True,0.005008835721972477,0.0825053909096575,A_absolute_discount_decile
2010-12,2011-01,0.03012779237230976,0.35319758156838954,0.35319758156838976,18,0.1111111111111111,2,True,0.005132563648538827,0.024995228723770933,A_absolute_discount_decile
2011-01,2011-02,-0.006090917969746407,0.29301566252443406,0.29301566252443406,18,0.05555555555555555,1,True,0.0042580176547279865,-0.010348935624474392,A_absolute_discount_decile
2011-02,2011-03,-0.0012042039777184702,0.29138941720910044,0.29138941720910055,18,0.0,0,True,0.004234385534847597,-0.0054385895125660675,A_absolute_discount_decile
2011-03,2011-04,0.01906426076139716,0.2395838091305515,0.23958380913055155,18,0.05555555555555555,1,True,0.003481561634882913,0.015582699126514247,A_absolute_discount_decile
2011-04,2011-05,0.02288438605307368,0.2935046598971089,0.29350465989710894,18,0.0,0,True,0.004265123621105437,0.018619262431968243,A_absolute_discount_decile
2011-05,2011-06,-0.0036954971947085378,0.183088376068384,0.18308837606838405,18,0.0,0,True,0.0026605865739673462,-0.006356083768675884,A_absolute_discount_decile
2011-06,2011-07,-0.027543847238358385,0.23271219241954258,0.2327121924195425,18,0.05555555555555555,1,True,0.0033817053165553553,-0.030925552554913742,A_absolute_discount_decile
2011-07,2011-08,-0.09643125697511414,0.3545187118997241,0.35451871189972417,18,0.0,0,True,0.005151761926974028,-0.10158301890208817,A_absolute_discount_decile
2011-08,2011-09,-0.0658585858821542,0.24523257843799767,0.2452325784379978,18,0.0,0,True,0.0035636478934513802,-0.06942223377560558,A_absolute_discount_decile
2011-09,2011-10,0.021232808782952816,0.34732834184498573,0.34732834184498573,18,0.05555555555555555,1,True,0.005047273578558351,0.016185535204394464,A_absolute_discount_decile
2011-10,2011-11,-0.04898267081797499,0.24145464234758104,0.24145464234758107,18,0.05555555555555555,1,True,0.0035087480344034474,-0.05249141885237844,A_absolute_discount_decile
2011-11,2011-12,-0.007113625482395252,0.185626368009397,0.1856263680093969,18,0.0,0,True,0.00269746792836078,-0.009811093410756033,A_absolute_discount_decile
