holding_month,A_absolute_discount_decile,B_absolute_discount_quintile,C_discount_zscore,D_sector_neutral_zscore,E_discount_overshoot,BM_equal_weight_universe,BM_cap_weight_universe
2007-02-28,-0.005704873274218999,-0.004932071822249532,,,,-0.011513185083933179,-0.016143924403390242
2007-03-31,0.02682360674256072,0.024708795804772754,,,,0.01557504461969572,0.028891518513805423
2007-04-30,0.5708631292906517,0.2896882093302966,,,,0.07193502131999946,0.02698078697233082
2007-05-31,0.002272600581852493,0.011681945119978304,,,,0.014454381459403677,0.020398367108292143
2007-06-30,-0.003230274848048738,-0.0031171409326916787,,,,-0.013333737958650262,-0.0224373600359439
2007-07-31,-0.015677440129355163,-0.015003180720392553,,,,-0.01301709507015325,-0.004326112060771794
2007-08-31,-0.06263024630336438,-0.038794884432150296,,,,-0.022574332858903756,-0.016916328167068718
2007-09-30,-0.015389722073214745,0.0035543469379521343,,,,0.021929231319246484,0.027315194945014436
2007-10-31,0.014754118509117575,0.02148369228785612,,,,0.023741227550724463,0.03135294779427689
2007-11-30,-0.11490595072278496,-0.10553669512277462,,,,-0.06930541087362924,-0.05619063128887181
2007-12-31,0.03957690648879446,0.009644039657356697,,,,0.00718270605460732,7.700136310855389e-05
2008-01-31,-0.048377474991096056,-0.06937781534559535,,,,-0.07934641651790708,-0.07732058113367181
2008-02-29,0.05608543714562658,0.0617066455831425,,,,0.03679441191824375,0.033665706176408204
2008-03-31,-0.07522993578133955,-0.06269641650061013,,,,-0.046394330994685824,-0.03365151640722629
2008-04-30,0.05075993674306644,0.04755758360087252,,,,0.04819405236902111,0.05153867342581943
2008-05-31,0.005607395678594858,0.007959084067479763,,,,0.012526851827385126,0.008208633938798116
2008-06-30,-0.07307404218618825,-0.07624293262136903,,,,-0.08237517456185836,-0.08492587278500735
2008-07-31,-0.027486523496320955,-0.045502196563303454,,,,-0.03463136574922904,-0.02199373473029622
2008-08-31,0.007474501155238216,0.015405753111723285,,,,0.019097597740233285,0.019403853192304324
2008-09-30,-0.12453819650050042,-0.12828693737770167,,,,-0.13026938406984787,-0.13584863146196346
