holding_month,F_quality_only,BM_5y_record_universe_gross,F_value_only,F_combined_z0.0,F_combined_z-0.5,F_combined_z-1.0,F_quality_only_TR,BM_5y_record_universe_gross_TR,F_value_only_TR,F_combined_z0.0_TR,F_combined_z-0.5_TR,F_combined_z-1.0_TR
2011-07-31,,-0.005553176067474963,,,,,,-0.004464285714285698,,,,
2011-08-31,-0.035604262229551244,-0.07600177637824221,-0.059641989418051794,,,,-0.035604262229551244,-0.07218661239113827,-0.058506535600452256,,,
2011-09-30,-0.09908976934194758,-0.0682173619864889,-0.06678996749756952,,,,-0.09908976934194758,-0.0700420364904116,-0.07165376816409967,,,
2011-10-31,0.024833582409660677,0.0347185845785162,0.03378344338346945,,,,0.024833582409660677,0.03272705452212005,0.030244729962757386,,,
2011-11-30,-0.026628308577309967,-0.029248022391512828,-0.026459823431038317,,,,-0.026628308577309967,-0.030274724901186618,-0.025521722531919363,,,
2011-12-31,0.012897494783777236,-0.001199157639596353,0.002293857701202724,,,,0.012897494783777236,-0.0009735247145355443,0.0036207224549580086,,,
2012-01-31,0.05921187269372022,0.0641359988786336,0.07050686360110386,,,,0.05921187269372022,0.0668046177690488,0.07061392212547066,,,
2012-02-29,0.07569680322517058,0.06144828670063581,0.060529005801888816,,,,0.07084163972459208,0.061763409369434814,0.06338321494501908,,,
2012-03-31,0.013262948160908464,0.004209846599809844,0.0067769122183090015,,,,0.012215937813606715,0.003201914442561786,0.005831015505695168,,,
2012-04-30,-0.004043172675481113,-0.010892752722437225,-0.02241926310521953,,,,-0.0011979620704831897,-0.009576543172978335,-0.02195309633184201,,,
2012-05-31,-0.04676898521511229,-0.06088208933993997,-0.05832189824873855,-0.04405682623665242,-0.04405682623665242,,-0.04200693179253881,-0.062249386404021376,-0.06142965023444952,-0.04405682623665242,-0.04405682623665242,
2012-06-30,0.04295018462494707,0.03218855259764244,0.036770091391323,0.03721375327457635,-0.04405682623665242,,0.046276936521608844,0.03393835080614204,0.03978946386993484,-0.04405682623665242,-0.04405682623665242,
2012-07-31,0.03258829927851972,0.018243446983204268,0.01591158598206625,0.03721375327457635,-0.04405682623665242,,0.031734128730744306,0.01802809062214352,0.016038675303201324,-0.04405682623665242,-0.04405682623665242,
2012-08-31,0.00810249945074594,0.00949665390885961,0.013666711318753586,0.03721375327457635,-0.04405682623665242,,0.003841280160458419,0.007538324078960587,0.012032620261679977,-0.04405682623665242,-0.04405682623665242,
2012-09-30,0.040899520286880486,0.0349892866341791,0.03999549412162313,0.03721375327457635,-0.04405682623665242,,0.04659627553066725,0.03694769523602351,0.04228714123615927,-0.04405682623665242,-0.04405682623665242,
2012-10-31,-0.002000904466601644,0.012257086578483218,0.019284444991363125,0.03721375327457635,-0.04405682623665242,,0.0070863145130957,0.014326347066480455,0.01794535412784878,-0.04405682623665242,-0.04405682623665242,
2012-11-30,-0.0009336826545972982,0.005468059024625626,0.0035139435150653995,0.03721375327457635,-0.04405682623665242,,-0.0022380260783219546,0.006359745272479526,0.004886328452303892,-0.04405682623665242,-0.04405682623665242,
2012-12-31,0.023398851133394308,0.03282107203458903,0.04007139488269639,0.03721375327457635,-0.04405682623665242,,0.028870851159806424,0.035603621608350046,0.04446618272043158,-0.04405682623665242,-0.04405682623665242,
2013-01-31,0.07772926693323348,0.0660244073475142,0.07484808871477634,0.03721375327457635,-0.04405682623665242,,0.0812000260743707,0.06813300917292327,0.07799871694275164,,,
2013-02-28,0.056800778526614235,0.03620615399636771,0.02472941656021161,,,,0.056800778526614235,0.03719228417653118,0.026942589040348647,,,
