strategy,period,months,cagr,mean_monthly,t_stat
F_combined_z0.0,2011-2016,47,0.18268215506502972,0.014588029739312652,3.0921689508931594
F_combined_z0.0,2017-2021,48,0.21469019009898616,0.017441406412800915,2.542652848473936
F_combined_z0.0,2022+,55,0.022282234139726853,0.0028339705035363544,0.46984711161894205
F_combined_z0.0_SKIP1M,2011-2016,47,0.13744634923222798,0.011318974978509913,2.356423865383962
F_combined_z0.0_SKIP1M,2017-2021,48,0.09162002329491137,0.008590057147467698,1.1880692849067382
F_combined_z0.0_SKIP1M,2022+,54,0.002196543085692726,0.0010953130017010615,0.18719018971338175
