strategy,holding_month,nav_return,discount_return,coverage_weight
A_absolute_discount_decile,2007-02,0.010856990519747834,0.001865169668092366,1.0
A_absolute_discount_decile,2007-03,0.025590423773589395,0.00739382307546896,0.9444444444444444
A_absolute_discount_decile,2007-04,0.017761941659009753,0.011007445826541222,0.8888888888888888
A_absolute_discount_decile,2007-05,0.026477088426817307,-0.01634866568281224,1.0
A_absolute_discount_decile,2007-06,-0.01875957301766227,0.017377701998699036,1.0
A_absolute_discount_decile,2007-07,-0.02315247629169933,0.01169531569364363,0.8947368421052632
A_absolute_discount_decile,2007-08,-0.046030804414373,-0.011945395857058904,1.0
A_absolute_discount_decile,2007-09,-0.01642102843381308,0.0025089257842093966,1.0
A_absolute_discount_decile,2007-10,0.045674184874518554,-0.025317739437355942,0.7894736842105264
A_absolute_discount_decile,2007-11,-0.08557404111704321,-0.025717628201057136,1.0
A_absolute_discount_decile,2007-12,-0.010224983416666307,0.052093562154284415,1.0
A_absolute_discount_decile,2008-01,-0.07750693849801875,0.04022697480363874,0.8947368421052632
A_absolute_discount_decile,2008-02,0.03333152347366543,0.029909769389000283,1.0
A_absolute_discount_decile,2008-03,-0.04471116159987666,-0.027504638329801764,1.0
A_absolute_discount_decile,2008-04,0.02066052471324719,0.03401047269677081,1.0
A_absolute_discount_decile,2008-05,0.005047521110969844,0.0060710462214797365,1.0
A_absolute_discount_decile,2008-06,-0.07787655648174333,0.012397352357705753,1.0
A_absolute_discount_decile,2008-07,-0.03180598127715633,0.008016822671969154,0.8947368421052632
A_absolute_discount_decile,2008-08,0.02423390175096296,-0.010870034777243175,1.0
A_absolute_discount_decile,2008-09,-0.11610222292159118,-0.005170144143514544,1.0
A_absolute_discount_decile,2008-10,-0.1606248746615065,-0.013946993276624573,0.9473684210526316
A_absolute_discount_decile,2008-11,-0.041507283904635775,-0.01086779007913145,0.9473684210526316
A_absolute_discount_decile,2008-12,-0.002885191971391865,0.0027045634919776324,1.0
A_absolute_discount_decile,2009-01,-0.03431888374774431,0.12245229274228012,0.8421052631578947
A_absolute_discount_decile,2009-02,-0.031270317251785605,0.013330779141669667,0.9473684210526316
A_absolute_discount_decile,2009-03,0.0030237300970106804,0.0370483615251956,1.0
A_absolute_discount_decile,2009-04,0.0817223953484472,0.10811883619482125,0.8947368421052632
A_absolute_discount_decile,2009-05,0.005045479731858543,0.14425933347179312,0.8947368421052632
A_absolute_discount_decile,2009-06,-0.00883937159707631,0.03150122797062244,0.9473684210526316
A_absolute_discount_decile,2009-07,0.03798202646895309,-0.024054930976546915,0.8947368421052632
A_absolute_discount_decile,2009-08,0.09142528518752448,0.041272141202036275,0.9473684210526316
A_absolute_discount_decile,2009-09,0.07835992682966735,0.026016437005200805,0.8947368421052632
A_absolute_discount_decile,2009-10,-0.03540922741869248,0.03048871908346519,0.8421052631578947
A_absolute_discount_decile,2009-11,-0.009248335639250036,0.008246690872180077,1.0
A_absolute_discount_decile,2009-12,0.02665142439366625,0.024991789316671495,1.0
A_absolute_discount_decile,2010-01,-0.004942768529020031,0.02185311340010255,1.0
A_absolute_discount_decile,2010-02,0.008620449045416641,-0.0041211421321889615,0.9444444444444444
A_absolute_discount_decile,2010-03,0.05574901883276717,0.012150287192162471,1.0
A_absolute_discount_decile,2010-04,0.0035798706831168467,0.030791288965530912,0.8888888888888888
A_absolute_discount_decile,2010-05,-0.07089304204325736,-0.006259946445402262,1.0
