holding_month,A_absolute_discount_decile,B_absolute_discount_quintile,C_discount_zscore,D_sector_neutral_zscore,E_discount_overshoot,BM_equal_weight_universe,BM_cap_weight_universe
2007-02-28,0.0038032879830768676,0.004653385830829342,,,,-0.0018981647614795378,-0.0063404322815214225
2007-03-31,0.031052153150038612,0.028417814398216876,,,,0.015944878464902088,0.028979644572406697
2007-04-30,0.5758939198822408,0.2944590378629706,,,,0.07300784358915155,0.027753523357522084
2007-05-31,0.009676092012785,0.0180516783668303,,,,0.015819027923916578,0.021111534520810667
2007-06-30,-0.0014826334222260863,0.0002508971970860128,,,,-0.012944725938631307,-0.021842753310581733
2007-07-31,-0.011851969129006244,-0.010364229193936062,,,,-0.012231939075622929,-0.0031819278617681843
2007-08-31,-0.05721767293676041,-0.034083684642965524,,,,-0.021923872044009356,-0.016340386377819358
2007-09-30,-0.014308828250132952,0.0077200686263117786,,,,0.022243050670168442,0.027972006562402976
2007-10-31,0.01935758712164009,0.025632109583546,,,,0.02460808334436783,0.03291164411846211
2007-11-30,-0.10935503455276663,-0.10057497673512901,,,,-0.06870995746042158,-0.055671449528645944
2007-12-31,0.042685379114377246,0.012330606842288238,,,,0.0075559880457829005,0.0001508139862762179
2008-01-31,-0.0406218335577263,-0.0672408200534259,,,,-0.0786342877782133,-0.07679812708114309
2008-02-29,0.06456272436641838,0.06417776134536499,,,,0.037545472524748116,0.03486528917603876
2008-03-31,-0.07013784679447359,-0.05980090284905347,,,,-0.04591941354970222,-0.032949088825994066
2008-04-30,0.05550375426630415,0.051873031534455924,,,,0.04901773474851612,0.05241149750270628
2008-05-31,0.009610262611388563,0.0119514761433929,,,,0.013220322971590428,0.008928567108552634
2008-06-30,-0.06763798735611876,-0.07265606080821511,,,,-0.08195540873889526,-0.08486126668552998
2008-07-31,-0.0241948205518229,-0.0425879433353117,,,,-0.0341076389342824,-0.021296926736706003
2008-08-31,0.013066718390492744,0.01791900328992167,,,,0.019641534154040463,0.01992491166113291
2008-09-30,-0.12128956325931375,-0.12588390404119895,,,,-0.12987345179751664,-0.13535540530345175
2008-10-31,-0.174894533580004,-0.1910202822789161,,,,-0.1728584202976317,-0.16400981710537205
2008-11-30,-0.05343980899321662,-0.03874708024283993,,,,-0.040747302563988785,-0.03707410156999464
