ticker,date,headline,amount,unit,currency,amount_gbx,ex_date,pay_date,confidence,period,title
SDV,2008-08-28,Dividend Declaration,,,,,,,,,Dividend Declaration
SDV,2008-12-04,Dividend Declaration,,,,,,,,,Dividend Declaration
SDV,2009-06-25,Dividend Declaration,,,,,,,,,Dividend Declaration
SDV,2009-12-03,Dividend Declaration,,,,,,,,,Dividend Declaration
SDV,2010-12-07,Dividend Declaration,,,,,,,,,Dividend Declaration
SDV,2011-06-21,Dividend Declaration,,,,,,,,,Dividend Declaration
SDV,2013-03-26,Dividend Declaration,,,,,,,,,Dividend Declaration
SDV,2014-03-13,Dividend Declaration,,,,,,,,,Dividend Declaration
SDV,2014-08-27,Dividend Declaration,,,,,,,,,Dividend Declaration
SDV,2015-03-11,Dividend Declaration,,,,,,,,,Dividend Declaration
SDV,2015-06-18,Dividend Declaration,2.4,p,GBX,2.4,2015-06-18,,high,fourth interim,Dividend Declaration
SDV,2016-03-11,Dividend Declaration,,,,,,,,,Dividend Declaration
SDV,2016-09-02,Dividend Declaration,1.85,p,GBX,1.85,2016-09-22,2016-10-03,high,interim,Dividend Declaration
SDV,2018-11-28,Dividend Declaration,2.19,p,GBX,2.19,2018-12-06,2019-01-02,high,interim,Dividend Declaration
SDV,2024-10-11,Dividend Declaration,3.25,p,GBX,3.25,2024-10-24,2025-04-30,high,interim,Dividend Declaration
SJG,2015-10-01,Dividend Declaration,2.0,p,GBX,2.0,2015-10-15,2015-07-31,high,final,Dividend Declaration
SJG,2021-10-27,Dividend Declaration,4.3,p,GBX,4.3,2021-11-04,2021-07-31,high,final,Dividend Declaration
SJG,2024-12-13,Dividend Declaration,2.82,pence,GBX,2.82,2025-01-02,2025-01-31,high,interim,Dividend Declaration
SJG,2026-06-12,Dividend Declaration,3.29,pence,GBX,3.29,2026-07-02,2026-07-31,high,third interim,Dividend Declaration
WWH,2011-05-26,Dividend Declaration,,,,,,,,,Dividend Declaration
WWH,2018-11-14,Dividend Declaration,6.5,pence,GBX,6.5,2018-11-22,2019-01-09,high,first interim,Dividend Declaration
