ticker,date,headline,amount,unit,currency,amount_gbx,ex_date,pay_date,confidence,period,title
BUT,2024-10-10,Dividend Declaration,5.9,p,GBX,5.9,2024-10-24,2024-12-12,high,third interim,Dividend Declaration
CLDN,2006-03-17,Elective special dividend,,,,,,,,,Elective special dividend
CTUK,2008-08-18,Dividend Declaration,1.9,p,GBX,1.9,,,low,interim,Dividend Declaration
CTUK,2012-08-16,Interim Dividend,,,,,,,,,Interim Dividend
CTUK,2014-08-20,Dividend Declaration,2.25,pence,GBX,2.25,,2014-09-30,medium,interim,Dividend Declaration
CTUK,2016-02-09,Dividend Declaration,2.35,pence,GBX,2.35,,2016-03-31,medium,interim,Dividend Declaration
CTUK,2016-08-18,Dividend Declaration,2.35,pence,GBX,2.35,,2016-09-30,medium,interim,Dividend Declaration
CTUK,2021-05-28,Half Year Report & Quarterly Dividend Declaration,5.25,p,GBX,5.25,2021-06-10,2021-06-30,high,quarterly,Half Year Report & Quarterly Dividend Declaration
CTUK,2025-05-29,Interim Results and Dividend Announcement,5.9,p,GBX,5.9,2025-06-12,2025-06-30,high,interim,Interim Results and Dividend Announcement
CTUK,2026-03-05,Dividend Declaration,3.1,pence,GBX,3.1,2026-03-12,2026-03-31,high,quarterly,Dividend Declaration
CTY,2008-08-29,Dividend Declaration,3.08,p,GBX,3.08,2008-10-02,2008-11-28,high,first interim,Dividend Declaration
CTY,2011-07-14,Dividend Declaration,3.35,p,GBX,3.35,2011-07-27,2011-08-31,high,fourth interim,Dividend Declaration
CTY,2011-09-01,Dividend Declaration,3.35,p,GBX,3.35,2011-10-26,2011-11-30,high,first interim,Dividend Declaration
CTY,2012-09-06,Dividend Declaration,3.52,p,GBX,3.52,2012-10-24,2012-11-30,high,first interim,Dividend Declaration
CTY,2015-12-10,Dividend Declaration,3.9,p,GBX,3.9,2016-01-28,2016-02-29,high,second interim,Dividend Declaration
CTY,2019-09-12,Dividend Declaration,4.75,p,GBX,4.75,2019-10-24,2019-11-29,high,first interim,Dividend Declaration
CTY,2023-03-30,Dividend Declaration,5.05,p,GBX,5.05,2023-04-27,2023-05-31,high,third interim,Dividend Declaration
CTY,2023-09-07,Dividend Declaration,5.05,p,GBX,5.05,2023-10-26,2023-11-30,high,first interim,Dividend Declaration
CTY,2024-07-11,Dividend Declaration,5.25,p,GBX,5.25,2024-07-25,2024-08-30,high,fourth interim,Dividend Declaration
CTY,2026-09-03,Dividend Declaration,5.7,p,GBX,5.7,2026-10-22,2026-11-30,high,first interim,Dividend Declaration
DIG,2012-07-25,Dividend Declaration,2.5,p,GBX,2.5,2012-08-08,2012-08-31,high,first interim,Dividend Declaration
DIG,2014-07-04,Dividend Declaration,2.575,p,GBX,2.575,2014-08-06,2014-08-29,high,first interim,Dividend Declaration
DIG,2015-01-14,Dividend Declaration,2.575,p,GBX,2.575,2015-02-05,2015-02-27,high,third interim,Dividend Declaration
DIG,2020-12-03,Third Interim Dividend,3.0,p,GBX,3.0,2021-02-04,2021-02-26,high,third interim,Third Interim Dividend
