strategy,holding_month,security_id,side,weight_change
A_absolute_discount_decile,2007-07,SEDOL:B05KL90,buy,0.05263157894736843
A_absolute_discount_decile,2007-07,SEDOL:891055,sell,-0.0029239766081871205
A_absolute_discount_decile,2007-07,SEDOL:152417,sell,-0.05555555555555555
A_absolute_discount_decile,2007-07,SEDOL:890632,sell,-0.0029239766081871205
A_absolute_discount_decile,2007-07,SEDOL:532309,sell,-0.0029239766081871205
A_absolute_discount_decile,2007-07,SEDOL:149000,buy,0.05263157894736843
A_absolute_discount_decile,2007-07,SEDOL:B11V7W9,sell,-0.0029239766081871205
A_absolute_discount_decile,2007-07,SEDOL:596286,buy,0.05263157894736843
A_absolute_discount_decile,2007-08,SEDOL:371922,buy,0.0029239766081871205
A_absolute_discount_decile,2007-08,SEDOL:732518,sell,-0.05263157894736843
A_absolute_discount_decile,2007-08,SEDOL:B1GCL25,buy,0.05555555555555555
A_absolute_discount_decile,2007-08,NAME:asset management|ordinary share,buy,0.0029239766081871205
A_absolute_discount_decile,2007-08,SEDOL:B1FL3C7,buy,0.0029239766081871205
A_absolute_discount_decile,2007-08,SEDOL:600756,buy,0.05555555555555555
A_absolute_discount_decile,2007-08,SEDOL:B1B9C40,buy,0.0029239766081871205
A_absolute_discount_decile,2007-08,SEDOL:589383,buy,0.0029239766081871205
A_absolute_discount_decile,2007-08,NAME:aberforth smaller companies|ordinary share,sell,-0.05263157894736843
A_absolute_discount_decile,2007-08,SEDOL:B05KL90,sell,-0.05263157894736843
A_absolute_discount_decile,2007-08,SEDOL:422864,sell,-0.05263157894736843
A_absolute_discount_decile,2007-08,SEDOL:741600,buy,0.0029239766081871205
A_absolute_discount_decile,2007-08,SEDOL:532707,buy,0.0029239766081871205
A_absolute_discount_decile,2007-08,SEDOL:643610,buy,0.0029239766081871205
A_absolute_discount_decile,2007-08,SEDOL:906506,buy,0.0029239766081871205
A_absolute_discount_decile,2007-08,SEDOL:295958,buy,0.05555555555555555
A_absolute_discount_decile,2007-08,SEDOL:891055,buy,0.0029239766081871205
