security_id,company_name,entry_month,exit_month,months_held,entry_discount,entry_z,entry_nav_cagr_5y,spell_compound_return,n_missing_returns,contribution
NAME:biotech growth|ordinary share,Biotech Growth,2013-09,2014-12,16,-0.05702633253966383,-0.5129804333695936,0.2588703397877045,1.7326274716152632,0,0.1843269684995592
SEDOL:2894108,Hansa Investment Company,2026-02,2026-08,7,-0.44721286339701816,-1.282671691745588,0.14291696873183074,1.1190072992700721,0,0.16010222074855213
NAME:aberdeen new thai|ordinary share,Aberdeen New Thai,2013-03,2014-06,16,-0.05698445559493315,2.7958107785696207,0.23306974446954468,1.2612372276231185,0,0.14681742759356148
NAME:aberdeen asia focus|ordinary share,Aberdeen Asian Smaller Companies,2013-09,2015-04,20,-0.05438521302431898,-1.1718871099795058,0.22869478704051915,1.138264640441104,0,0.13338625184052572
SEDOL:338530,Worldwide Healthcare,2012-05,2013-01,9,-0.09396514010729662,-0.9216602039731948,0.1018920633133894,0.5629051132945715,0,0.09217469179762809
SEDOL:806372,Aberdeen Smaller Companies High Income,2014-08,2018-05,46,-0.12131265130458169,-0.11936871119164633,0.24991582858457131,0.7340245714534943,0,0.0916661758933741
SEDOL:455934,International Biotechnology,2013-09,2014-04,8,-0.13588178605846457,-0.15086912075248643,0.1418951578216885,0.6556890265405819,0,0.08674101610904592
SEDOL:343501,JPMorgan Chinese,2019-06,2020-04,11,-0.13985664277379561,-0.492763384657141,0.12815019922895463,0.7349370719863555,0,0.08266806885955248
SEDOL:BYSRMH1,CC Japan Income & Growth Trust,2026-03,2026-08,6,-0.08148677626876344,-0.38908102600846,0.1737628511506605,0.4843067827002989,0,0.07784325456612531
SEDOL:338530,Worldwide Healthcare,2013-03,2013-08,6,-0.06352464997713536,0.7235911654850217,0.1605670035544284,0.42228212996313297,0,0.07256176853055907
SEDOL:B0CRWN5,Schroder Oriental Income,2013-09,2014-05,9,-0.022477494891478433,-1.6834847625798894,0.14024292178959477,0.5075979455215223,0,0.0715754640839388
SEDOL:294502,Edinburgh Dragon,2012-05,2013-01,9,-0.09498480243161089,-0.8705197823916239,0.11790709586440971,0.40063217096955817,0,0.06961095381213495
SEDOL:294502,Asia Dragon,2021-02,2021-06,5,-0.09628905262093035,1.3692162772073166,0.1794036063984337,0.4288691314042854,0,0.06165473349244241
