security_id,company_name,total_contribution,n_episodes,months_held
SEDOL:791887,Schroder AsiaPacific,-0.022212017869772296,9,20
SEDOL:341895,JPMorgan Emerging Markets,-0.02296084924597603,4,9
SEDOL:295958,abrdn UK Smaller Companies Growth,-0.02402373269976687,1,6
SEDOL:454351,Montanaro European Smaller Companies,-0.02513098468108068,3,24
SEDOL:B7W0XJ6,BlackRock North American Income,-0.027591164427951037,2,5
SEDOL:846505,JPMorgan American,-0.030805747598841318,10,45
SEDOL:741600,JPMorgan UK Smaller Companies,-0.031971619570538484,4,19
SEDOL:343501,JPMorgan China Growth & Income,-0.03480704992255772,6,24
SEDOL:B15FW33,Geiger Counter,-0.038409084039466315,3,42
SEDOL:B1FL3C7,Invesco Perpetual UK Smaller Companies,-0.04552740886720608,4,9
SEDOL:291633,Edinburgh Worldwide,-0.0678654345258043,2,18
SEDOL:341969,JPMorgan European Smaller Companies,-0.09992964344552349,3,15
