variant,signal_col,top_fraction,months,cagr,sharpe,max_drawdown,alpha_annual,alpha_t,avg_holdings,rebalance,weighting,min_market_cap
discount_top5,discount,0.05,235,0.1273731193772898,0.7804869888795775,-0.3587277981134793,0.07478154919341576,3.117371390639558,8.719148936170212,,,
discount_top10,discount,0.1,235,0.14213230374889352,0.9007949537081565,-0.44356507470841666,0.08329651884041392,4.893088886776743,17.425531914893618,,,
discount_top20,discount,0.2,235,0.13363290458069343,0.8829394890868181,-0.45109606269460134,0.07274552195787212,6.86475756322544,34.91063829787234,,,
discount_top30,discount,0.3,235,0.11937112447878073,0.8142206780793954,-0.43030813854249894,0.05936974095623765,7.885007907568905,52.33617021276596,,,
z24m_top10,discount_z_24m,0.1,212,0.2779081643520054,1.7898994989717807,-0.13214601852735075,0.16651619762896,10.634085781416692,14.11320754716981,,,
z36m_top10,discount_z_36m,0.1,212,0.2563122181078392,1.6476413485940251,-0.1772584566539891,0.14563086360401034,10.391382683339806,16.47641509433962,,,
z60m_top10,discount_z_60m,0.1,212,0.22722626038734806,1.4953109417994044,-0.2240422966138753,0.12223093517943906,8.906572859730417,16.5,,,
z36m_monthly,discount_z_36m,0.1,212,0.2563122181078392,1.6476413485940251,-0.1772584566539891,0.14563086360401034,10.391382683339806,16.47641509433962,monthly,,
z36m_quarterly,discount_z_36m,0.1,212,0.14091836639492583,0.9816783742349501,-0.2716637626203998,0.04757626188448406,3.5447928026348543,16.42924528301887,quarterly,,
z36m_equal,discount_z_36m,0.1,212,0.2563122181078392,1.6476413485940251,-0.1772584566539891,0.14563086360401034,10.391382683339806,16.47641509433962,,equal,
z36m_market_cap,discount_z_36m,0.1,212,0.21042957130864326,1.3013472359529543,-0.18887387625958418,0.10670627166149108,5.8360632115494235,16.47641509433962,,market_cap,
z36m_capped_inverse_rank,discount_z_36m,0.1,212,0.2947204631696636,1.7801238162812059,-0.16018462004311862,0.17590775776183598,10.354846397305097,16.47641509433962,,capped_inverse_rank,
z36m_mcap0,discount_z_36m,0.1,212,0.2563122181078392,1.6476413485940251,-0.1772584566539891,0.14563086360401034,10.391382683339806,16.47641509433962,,,
z36m_mcap25,discount_z_36m,0.1,212,0.24591866261537398,1.5466356469692872,-0.18483835234852297,0.13373060747991586,9.925560035875073,15.547169811320755,,,25.0
z36m_mcap50,discount_z_36m,0.1,212,0.223593735807758,1.4281366670560716,-0.18381244844457145,0.11596823640576116,8.441474752419609,14.36320754716981,,,50.0
z36m_mcap100,discount_z_36m,0.1,212,0.21533200191153257,1.3672291086397905,-0.22349069875265692,0.11068938490564365,6.955150847306395,12.13679245283019,,,100.0
z36m_mcap200,discount_z_36m,0.1,212,0.18543725914219356,1.2349641309777752,-0.2194671815050795,0.090171377336029,5.291340412507294,8.721698113207546,,,200.0
discount_top10_SKIP1M,discount,0.1,235,0.057460745619963394,0.4231357354251366,-0.5331112922481915,0.007424374843314541,0.4125198471392139,17.425531914893618,,,
z36m_top10_SKIP1M,discount_z_36m,0.1,212,0.1021472287169376,0.7588206349401398,-0.27647748114244297,0.013423327102438515,1.1134748037475473,16.47641509433962,,,
overshoot_top10_SKIP1M,overshoot_score,0.1,212,0.12179356881161563,0.8783756624305197,-0.2902318811525708,0.030787606873403157,2.5044906251908934,16.37264150943396,,,
