group,n_obs,n_with_fwd_return,mean_fwd_return,median_fwd_return,t_stat,avg_discount,avg_zscore
cheap_no_catalyst,4421,4399.0,0.02077977936932075,0.016494845360824684,21.067105099685474,-0.1473683592943412,-1.6226255198747388
cheap_with_catalyst,104,103.0,0.01871375484158755,0.012690355329949332,2.6413019035917458,-0.14273529174009328,-1.6230631603926413
difference (catalyst - none),4502,,-0.0020660245277332005,0.773284787033786,-0.2888179743635429,,
