month,action,security_id,company_name,weight_change_pct,price_gbx_at_signal,entry_discount,entry_z,dividend_gbx_per_share,income_per_100_invested
2025-01,SELL,SEDOL:346607,F&C Investment Trust,-1.39,1108.0,-0.08707402280667065,-0.31882675318166537,,
2025-01,SELL,SEDOL:611190,Murray International Trust,-1.39,257.5,-0.08888259854221214,-0.9655947697211016,,
2025-01,SELL,SEDOL:787369,Scottish American,-1.39,498.5,-0.107494539334694,-1.5551739365296444,,
2025-01,BUY,SEDOL:802284,Schroder Japan Trust,11.11,255.0,-0.1352707789345179,-1.275061678314393,,
2025-01,SELL,SEDOL:B0N8MF9,BlackRock Energy and Resources Income,-1.39,114.0,-0.10073361205332487,-0.6341620537410158,,
2025-01,SELL,SEDOL:B15FW33,Geiger Counter,-1.39,45.25,-0.13512996941896027,-0.06958986981267531,,
2025-01,SELL,SEDOL:B7W0XJ6,BlackRock American Income,-12.5,,,,,
2025-01,SELL,SEDOL:BD3V464,Ecofin Global Utilities and Infrastructure,-12.5,,,,,
2025-01,SELL,SEDOL:BFZ7R98,Mobius Investment Trust,-1.39,143.5,-0.08622007131940901,-1.1456480775680058,,
2025-01,BUY,SEDOL:BYSRMH1,CC Japan Income & Growth Trust,11.11,186.5,-0.09148480124707714,-0.9658129617577318,,
2025-01,DIVIDEND,SEDOL:346607,F&C Investment Trust,,,,,3.6,0.0361
2025-01,DIVIDEND,SEDOL:611190,Murray International Trust,,,,,2.5,0.1079
2025-01,DIVIDEND,SEDOL:802284,Schroder Japan Trust,,,,,5.64,0.2458
2025-01,DIVIDEND,SEDOL:BYSRMH1,CC Japan Income & Growth Trust,,,,,3.85,0.2294
2025-02,SELL,NAME:bankers|ordinary share,Bankers Investment Trust,-11.11,,,,,
2025-02,SELL,SEDOL:346607,F&C Investment Trust,-11.11,,,,,
2025-02,BUY,SEDOL:506241,CQS New City High Yield Fund,16.67,51.0,0.0521972354033422,-0.20317956102967275,,
2025-02,BUY,SEDOL:611190,Murray International Trust,5.56,270.5,-0.0732175283516634,-0.548893043383067,,
2025-02,BUY,SEDOL:787369,Scottish American,5.56,524.0,-0.10141646945844907,-1.3344577672436562,,
2025-02,BUY,SEDOL:802284,Schroder Japan Trust,5.56,260.0,-0.12055202273034771,-0.35698931609743556,,
2025-02,BUY,SEDOL:B0N8MF9,BlackRock Energy and Resources Income,5.56,120.5,-0.08587467759065393,-0.25885080493164997,,
2025-02,SELL,SEDOL:B15FW33,Geiger Counter,-11.11,,,,,
2025-02,BUY,SEDOL:BFZ7R98,Mobius Investment Trust,5.56,147.5,-0.07459690068385716,-0.7731645813372223,,
2025-02,SELL,SEDOL:BYSRMH1,CC Japan Income & Growth Trust,-11.11,,,,,
2025-02,DIVIDEND,SEDOL:787369,Scottish American,,,,,4.175,0.1328
2025-03,BUY,SEDOL:305233,Edinburgh Investment Trust,10.0,762.0,-0.10348722292813783,-1.240028674723099,,
2025-03,BUY,SEDOL:3142921,Law Debenture Corporation,10.0,905.0,0.003993787441757268,-0.03584421576240265,,
2025-03,BUY,SEDOL:339072,Allianz Technology Trust,10.0,400.5,-0.11319250697489036,-0.4463440792225057,,
2025-03,BUY,SEDOL:346607,F&C Investment Trust,10.0,1146.0,-0.07681153582792921,-0.006464142670366942,,
2025-03,SELL,SEDOL:506241,CQS New City High Yield Fund,-16.67,,,,,
2025-03,SELL,SEDOL:611190,Murray International Trust,-6.67,272.5,-0.07091714967609963,-0.4764369914129226,,
2025-03,SELL,SEDOL:787369,Scottish American,-6.67,512.0,-0.1096736049524406,-1.4329772354047154,,
2025-03,SELL,SEDOL:802284,Schroder Japan Trust,-16.67,,,,,
2025-03,BUY,SEDOL:914327,JPMorgan Global Growth & Income,10.0,578.0,-0.008678352142146517,-1.0289965820630103,,
2025-03,SELL,SEDOL:B0N8MF9,BlackRock Energy and Resources Income,-6.67,116.0,-0.09825870646766155,-0.50437131114396,,
2025-03,BUY,SEDOL:BF50VS4,Ashoka India Equity,10.0,253.0,0.00043497172683770735,-0.24189000509725708,,
2025-03,SELL,SEDOL:BFZ7R98,Mobius Investment Trust,-16.67,,,,,
2025-03,BUY,SEDOL:BYSRMH1,CC Japan Income & Growth Trust,10.0,184.5,-0.0867692916893531,-0.669709957315471,,
2025-03,DIVIDEND,SEDOL:914327,JPMorgan Global Growth & Income,,,,,11.4,0.1972
2025-03,DIVIDEND,SEDOL:B0N8MF9,BlackRock Energy and Resources Income,,,,,1.125,0.097
2025-04,BUY,NAME:aberforth smaller companies|ordinary share,Aberforth Smaller Companies,10.0,1312.0,-0.1224960706283651,-0.09378158781383875,,
2025-04,BUY,SEDOL:199049,City of London Investment Trust,10.0,452.0,-0.010919276132956957,-0.8219908760138188,,
2025-04,SELL,SEDOL:3142921,Law Debenture Corporation,-10.0,,,,,
2025-04,BUY,SEDOL:332231,Fidelity Asian Values,10.0,499.0,-0.09167030726663761,-0.3147953686920328,,
2025-04,SELL,SEDOL:339072,Allianz Technology Trust,-10.0,,,,,
2025-04,SELL,SEDOL:346607,F&C Investment Trust,-10.0,,,,,
2025-04,BUY,SEDOL:580007,Merchants Trust,10.0,523.0,-0.053719083030270176,-2.534597888226072,,
2025-04,SELL,SEDOL:787369,Scottish American,-10.0,,,,,
2025-04,BUY,SEDOL:B11V7W9,Alliance Witan,10.0,1160.0,-0.05896859713309921,-0.4701665209281667,,
2025-04,SELL,SEDOL:BF50VS4,Ashoka India Equity,-10.0,,,,,
2025-04,DIVIDEND,SEDOL:199049,City of London Investment Trust,,,,,5.4,0.1195
2025-05,SELL,NAME:aberforth smaller companies|ordinary share,Aberforth Smaller Companies,-10.0,,,,,
2025-05,SELL,SEDOL:199049,City of London Investment Trust,-10.0,,,,,
2025-05,SELL,SEDOL:305233,Edinburgh Investment Trust,-10.0,,,,,
2025-05,SELL,SEDOL:332231,Fidelity Asian Values,-10.0,,,,,
2025-05,BUY,SEDOL:346607,F&C Investment Trust,14.29,1033.0,-0.09022854374917433,-0.49187358516628016,,
2025-05,BUY,SEDOL:580007,Merchants Trust,4.29,546.0,-0.020908797475164054,-0.8051858898697553,,
2025-05,SELL,SEDOL:611190,Murray International Trust,-10.0,,,,,
2025-05,BUY,SEDOL:914327,JPMorgan Global Growth & Income,4.29,508.0,-0.004585178508445309,-0.6553552881775009,,
2025-05,BUY,SEDOL:B0N8MF9,BlackRock Energy and Resources Income,4.29,105.25,-0.09873265970200373,-0.4392509148630364,,
