security_id,name,market,basis,staleness_days,z_adj,z_status,z_source,g_used,irr_central,nav_ok,z_ok,growth_ok,irr_ok,signal_complete,blockers
SEDOL:BD3V464,Ecofin Global Utilities and Infrastructure,UK,0.0,2.0,1.333,computed,aggregator_panel,0.047,0.0368,True,True,True,True,True,
SEDOL:305233,Edinburgh Investment Trust,UK,0.0,1.0,4.7397,computed,aggregator_panel,0.0936,0.1084,True,True,True,True,True,
SEDOL:291633,Edinburgh Worldwide,UK,0.0,1.0,-0.2677,computed,aggregator_panel,-0.0258,0.0609,True,True,True,True,True,
SEDOL:346607,F&C Investment Trust,UK,0.0,1.0,-0.7038,computed,aggregator_panel,0.0962,0.1128,True,True,True,True,True,
SEDOL:332231,Fidelity Asian Values,UK,0.0,1.0,0.8422,computed,aggregator_panel,0.0812,0.1169,True,True,True,True,True,
SEDOL:B62Z3C7,Fidelity China Special Situations,UK,0.0,1.0,0.2824,within_error_band,aggregator_panel,-0.0493,-0.0099,True,True,True,True,True,
SEDOL:B4L0PD4,Fidelity Emerging Markets,UK,0.0,2.0,0.3121,within_error_band,aggregator_panel,0.0431,0.0817,True,True,True,True,True,
SEDOL:337582,Fidelity European Trust,UK,0.0,1.0,-0.005,within_error_band,aggregator_panel,0.0186,0.0177,True,True,True,True,True,
SEDOL:332510,Fidelity Special Values,UK,0.0,1.0,1.0898,computed,aggregator_panel,0.0716,0.0916,True,True,True,True,True,
SEDOL:781606,Finsbury Growth & Income Trust,UK,0.0,2.0,-0.1375,within_error_band,aggregator_panel,0.0521,0.084,True,True,True,True,True,
SEDOL:BJL5FH8,Foresight Environmental Infrastructure,UK,0.0,60.0,1.5552,computed,own_daily_panel,0.0476,0.0367,True,True,True,True,True,
SEDOL:BKF2JH0,Foresight Solar & Tech VCT FWT,UK,0.0,60.0,-1.0907,within_error_band,own_daily_panel,0.0476,0.0543,True,True,True,True,True,
SEDOL:BD3QJR5,Foresight Solar Fund,UK,0.0,60.0,0.282,within_error_band,own_daily_panel,0.0476,0.058,True,True,True,True,True,
SEDOL:BYXX8B0,GCP Asset Backed Income,UK,0.0,60.0,0.4956,within_error_band,own_daily_panel,0.0476,0.0541,True,True,True,True,True,
SEDOL:B6173J1,GCP Infrastructure Investments,UK,0.0,60.0,2.2298,computed,own_daily_panel,-0.05,-0.0762,True,True,True,True,True,
SEDOL:BCKFVJ4,GRIT Investment Trust,UK,3.0,2841.0,-1.9782,history_stale_2015-10,aggregator_panel,0.15,3.8119,False,True,True,True,False,nav
SEDOL:BD8P074,Gabelli Merchant Partners,UK,,,,no_discount_history,,0.0206,,False,False,True,False,False,nav+z:no_discount_history
SEDOL:B15FW33,Geiger Counter,UK,0.0,2.0,0.7922,computed,aggregator_panel,0.15,0.1438,True,True,True,True,True,
SEDOL:3386257,Global Opportunities Trust,UK,0.0,2.0,1.2576,computed,aggregator_panel,0.0595,0.0755,True,True,True,True,True,
SEDOL:B979FD0,Globalworth Real Estate Investments,UK,3.0,2668.0,,no_discount_history,,0.0476,,False,False,True,False,False,nav+z:no_discount_history
SEDOL:B1G9T99,Golden Prospect Precious Metals,UK,0.0,2.0,2.0484,computed,aggregator_panel,0.15,0.1211,True,True,True,True,True,
SEDOL:BG0P0V7,Gore Street Energy Storage,UK,0.0,60.0,1.2586,computed,own_daily_panel,0.0476,0.0403,True,True,True,True,True,
SEDOL:B8SC6K5,Greencoat UK Wind,UK,3.0,60.0,-1.2031,computed,aggregator_panel,-0.0434,-0.0431,True,True,True,True,True,
SEDOL:BFX3K77,Gresham House Energy Storage,UK,0.0,14.0,0.5827,computed,own_daily_panel,0.0476,0.0741,True,True,True,True,True,
SEDOL:B0T4LH6,HICL Infrastructure,UK,3.0,36.0,1089.7994,computed,own_daily_panel,0.0476,-0.6102,True,True,True,True,True,
SEDOL:2894108,Hansa Investment Company,UK,0.0,2.0,0.0498,within_error_band,aggregator_panel,0.0931,0.2285,True,True,True,True,True,
SEDOL:787972,Hansa Investment Company,UK,0.0,2.0,0.5359,computed,aggregator_panel,0.0495,0.06,True,True,True,True,True,
SEDOL:B28XHD6,HarbourVest Global Private Equity,UK,0.0,37.0,1.3928,computed,own_daily_panel,0.0351,-0.0053,True,True,True,True,True,
SEDOL:B1GXH75,Henderson Far East Income,UK,0.0,2.0,0.3088,within_error_band,aggregator_panel,0.034,0.0333,True,True,True,True,True,
SEDOL:958057,Henderson High Income Trust,UK,0.0,2.0,1.4997,computed,aggregator_panel,0.0188,0.0604,True,True,True,True,True,
