ticker,name,sector,nav_route,is_vct,nav_rows_extracted,nav_announcements_indexed,readiness
JMGI,JPMorgan Emerging Markets Growth & Income,Global Emerging Markets,registry,False,2905,5190.0,archived
JPEL,JPEL Private Equity,Private Equity,announcements_only,False,8,268.0,archived
JUGI,JPMorgan UK Small Cap Growth & Income,UK Smaller Companies,registry,False,2902,5197.0,archived
JUSC,JPMorgan US Smaller Companies,North American Smaller Companies,registry,False,2904,5180.0,archived
LABS,Life Science REIT,Property - UK Commercial,announcements_only,False,0,0.0,indexed_no_nav_announcements
LIVE,Living REIT,Property - UK Residential,announcements_only,False,0,6.0,indexed_not_archived
LTI,Lindsell Train Investment Trust,Global,registry,False,77,1181.0,archived
LWDB,Law Debenture Corporation,UK Equity Income,registry,False,1632,2335.0,archived
LWI,Lowland Investment Company,UK Equity Income,registry,False,4687,5178.0,archived
MAJE,Majedie Investments,Flexible Investment,registry,False,108,2244.0,archived
MAV4,Maven Income and Growth VCT 4,VCT,announcements_only,True,0,4.0,indexed_not_archived
MIG1,Maven Income and Growth VCT,VCT,announcements_only,True,0,4.0,indexed_not_archived
MIG3,Maven Income and Growth VCT 3,VCT,announcements_only,True,0,3.0,indexed_not_archived
MIG5,Maven Income and Growth VCT 5,VCT,registry,True,0,3.0,indexed_not_archived
MIGO,MIGO Opportunities Trust,Flexible Investment,registry,False,3010,3017.0,archived
MMIT,Mobius Investment Trust,Global Emerging Markets,registry,False,1992,2011.0,archived
MNKS,Monks Investment Trust,Global,registry,False,4960,5335.0,archived
MNTN,Schiehallion Fund,Growth Capital,registry,False,91,105.0,archived
MRC,Mercantile Investment Trust,UK All Companies,registry,False,2904,5170.0,archived
MRCH,Merchants Trust,UK Equity Income,registry,False,4177,4596.0,archived
MRV,Maven Renovar VCT,VCT AIM Quoted,registry,True,0,21.0,indexed_not_archived
MTE,Montanaro European Smaller Companies,European Smaller Companies,registry,False,4574,5171.0,archived
MTU,Montanaro UK Smaller Companies,UK Smaller Companies,registry,False,4819,4919.0,archived
MUT,Murray Income Trust,UK Equity Income,registry,False,4028,5185.0,archived
MVCT,Molten Ventures VCT,VCT,registry,True,0,0.0,indexed_no_nav_announcements
MVI,Marwyn Value Investors,UK Smaller Companies,announcements_only,False,18,1360.0,archived
MWY,Mid Wynd International,Global,registry,False,4947,5221.0,archived
MYI,Murray International Trust,Global Equity Income,registry,False,4032,5157.0,archived
NAIT,North American Income Trust,North America,registry,False,4050,5151.0,archived
NAS,North Atlantic Smaller Companies,North American Smaller Companies,registry,False,197,213.0,archived
NAVF,Nippon Active Value Fund,Japanese Smaller Companies,registry,False,1193,1653.0,archived
NBPE,Neuberger Private Equity Partners,Private Equity,announcements_only,False,0,6.0,indexed_not_archived
NCYF,CQS New City High Yield Fund,Debt - Loans & Bonds,registry,False,2524,4533.0,archived
NESF,NextEnergy Solar Fund,Renewable Energy Infrastructure,announcements_only,False,15,22.0,archived
NTN,Northern 3 VCT,VCT,announcements_only,True,0,3.0,indexed_not_archived
NTV,Northern 2 VCT,VCT,announcements_only,True,0,3.0,indexed_not_archived
NVT,Northern Venture Trust,VCT,announcements_only,True,0,3.0,indexed_not_archived
OAP3,Octopus Apollo VCT,VCT,registry,True,0,2.0,indexed_not_archived
OCI,Oakley Capital Investments,Private Equity,registry,False,0,0.0,indexed_no_nav_announcements
OFG,Octopus Future Generations VCT,VCT,announcements_only,True,0,3.0,indexed_not_archived
OIT,Odyssean Investment Trust,UK Smaller Companies,registry,False,2048,2111.0,archived
ONWD,Onward Opportunities,UK Smaller Companies,announcements_only,False,1,23.0,archived
OOA,Octopus AIM VCT,VCT AIM Quoted,registry,True,1,26.0,archived
ORIT,Octopus Renewables Infrastructure Trust,Renewable Energy Infrastructure,announcements_only,False,6,26.0,archived
OSEC,Octopus AIM VCT 2,VCT AIM Quoted,registry,True,1,27.0,archived
OT1,Oxford Technology 2 VCT - OT1 shares,VCT,announcements_only,True,0,,no_listing_index
OT3,Oxford Technology 2 VCT - OT3 shares,VCT,announcements_only,True,0,,no_listing_index
OT4,Oxford Technology 2 VCT - OT4 shares,VCT,announcements_only,True,0,,no_listing_index
OTV2,Octopus Titan VCT,VCT,registry,True,0,5.0,indexed_not_archived
OXH,Oxford Technology 2 VCT - OT2 shares,VCT,announcements_only,True,0,3.0,indexed_not_archived
PAC,Pacific Assets Trust,Asia Pacific,registry,False,4424,4708.0,archived
PAIM,Puma AIM VCT,VCT AIM Quoted,announcements_only,True,1,26.0,archived
PCFT,Polar Capital Global Financials,Financials & Financial Innovation,registry,False,3169,3341.0,archived
PCGH,Polar Capital Global Healthcare,Biotechnology & Healthcare,registry,False,4085,4112.0,archived
PCT,Polar Capital Technology,Technology & Technology Innovation,registry,False,4692,5212.0,archived
PEMB,Pembroke VCT B shares,VCT,announcements_only,True,0,3.0,indexed_not_archived
PEY,Partners Group Private Equity,Private Equity,announcements_only,False,0,0.0,indexed_no_nav_announcements
PGOO,ProVen Growth and Income VCT,VCT,registry,True,0,0.0,indexed_no_nav_announcements
PGV,PXN Growth VCT,VCT,announcements_only,True,0,4.0,indexed_not_archived
PHI,Pacific Horizon Investment Trust,Asia Pacific,registry,False,4885,5259.0,archived
PIN,Pantheon International,Private Equity,registry,False,37,54.0,archived
PINT,Pantheon Infrastructure,Infrastructure,announcements_only,False,8,8.0,archived
PNL,Personal Assets Trust,Flexible Investment,registry,False,4578,5193.0,archived
PPET,Patria Private Equity,Private Equity,registry,False,7,53.0,archived
PSDL,Phoenix Spree Deutschland,Property - Europe,announcements_only,False,0,0.0,indexed_no_nav_announcements
PSH,Pershing Square Holdings,North America,announcements_only,False,0,86.0,indexed_not_archived
PU13,Puma VCT 13,VCT,announcements_only,True,0,3.0,indexed_not_archived
PUAL,Puma Alpha VCT,VCT,registry,True,0,7.0,indexed_not_archived
PVN,ProVen VCT,VCT,registry,True,0,0.0,indexed_no_nav_announcements
RCOI,Riverstone Credit Opportunities Income,Debt - Direct Lending,registry,False,0,0.0,indexed_no_nav_announcements
RCP,RIT Capital Partners,Flexible Investment,registry,False,16,208.0,archived
RESI,Residential Secure Income REIT,Property - UK Residential,announcements_only,False,7,10.0,archived
RGL,Regional REIT,Property - UK Commercial,announcements_only,False,0,0.0,indexed_no_nav_announcements
RICA,Ruffer Investment Company,Flexible Investment,announcements_only,False,20,1275.0,archived
RIII,Rights & Issues,Split Capital Trust,announcements_only,False,820,1909.0,archived
RKW,Rockwood Strategic,UK Smaller Companies,registry,False,245,248.0,archived
RMMC,River UK Micro Cap,UK Smaller Companies,announcements_only,False,2908,2940.0,archived
RTW,RTW Biotech Opportunities,Biotechnology & Healthcare,announcements_only,False,0,0.0,indexed_no_nav_announcements
SAIN,Scottish American,Global Equity Income,registry,False,4953,5321.0,archived
SBO,Schroder British Opportunities,Growth Capital,registry,False,1446,1457.0,archived
SBSI,Schroder BSC Social Impact,Flexible Investment,announcements_only,False,8,8.0,archived
SCF,Schroder Income Growth Fund,UK Equity Income,registry,False,4574,4734.0,archived
SCP,Schroder UK Mid Cap Fund,UK All Companies,registry,False,4567,4757.0,archived
SDP,Schroder AsiaPacific Fund,Asia Pacific,registry,False,4579,4978.0,archived
SDV,Chelverton UK Dividend Trust,UK Equity Income,registry,False,1360,1731.0,archived
SEC,Strategic Equity Capital,UK Smaller Companies,registry,False,3405,3497.0,archived
SEIT,SDCL Efficiency Income,Renewable Energy Infrastructure,announcements_only,False,0,0.0,indexed_no_nav_announcements
SEQI,Sequoia Economic Infrastructure Income,Infrastructure,announcements_only,False,8,45.0,archived
SHIP,Tufton Assets,Leasing,announcements_only,False,0,0.0,indexed_no_nav_announcements
SJG,Schroder Japan Trust,Japan,registry,False,4572,4975.0,archived
SMIF,TwentyFour Select Monthly Income,Debt - Loans & Bonds,announcements_only,False,0,780.0,indexed_not_archived
SMT,Scottish Mortgage Investment Trust,Global,registry,False,4961,5312.0,archived
SOI,Schroder Oriental Income,Asia Pacific Equity Income,registry,False,4573,4998.0,archived
SREI,Schroder Real Estate,Property - UK Commercial,announcements_only,False,1,15.0,archived
SSIC,Seraphim Space Investment Trust C shares,Growth Capital,announcements_only,False,0,0.0,indexed_no_nav_announcements
SSIT,Seraphim Space Investment Trust,Growth Capital,announcements_only,False,0,0.0,indexed_no_nav_announcements
SST,Scottish Oriental Smaller Companies,Asia Pacific Smaller Companies,registry,False,3931,5215.0,archived
STS,STS Global Income & Growth Trust,Global Equity Income,registry,False,4149,5189.0,archived
SVCT,Seneca Growth Capital VCT B shares,VCT,announcements_only,True,0,6.0,indexed_not_archived
SYNC,Syncona,Biotechnology & Healthcare,announcements_only,False,1,68.0,archived
TEM,Templeton Emerging Markets,Global Emerging Markets,registry,False,4586,5103.0,archived
TFG,Tetragon Financial Group,Flexible Investment,announcements_only,False,0,0.0,indexed_no_nav_announcements
TFIF,TwentyFour Income Fund,Debt - Structured Finance,announcements_only,False,52,804.0,archived
THRL,Target Healthcare REIT,Property - UK Healthcare,announcements_only,False,28,53.0,archived
TMPL,Temple Bar Investment Trust,UK Equity Income,registry,False,3415,4109.0,archived
TORO,Chenavari Toro Income Fund,Debt - Structured Finance,announcements_only,False,0,0.0,indexed_no_nav_announcements
TPV,Triple Point Venture VCT Venture shares,VCT,announcements_only,True,0,0.0,indexed_no_nav_announcements
TRIG,Renewables Infrastructure Group,Renewable Energy Infrastructure,announcements_only,False,9,13.0,archived
TRY,TR Property Investment Trust,Property Securities,registry,False,4675,5192.0,archived
UAV,Unicorn AIM VCT,VCT AIM Quoted,registry,True,0,15.0,indexed_not_archived
UEM,Utilico Emerging Markets Trust,Global Emerging Markets,registry,False,4144,4241.0,archived
USA,Baillie Gifford US Growth,North America,registry,False,2126,2202.0,archived
USF,US Solar Fund,Renewable Energy Infrastructure,announcements_only,False,0,0.0,indexed_no_nav_announcements
UTL,UIL,Flexible Investment,registry,False,2122,2136.0,archived
UTLH,UIL,Flexible Investment,registry,False,1,30.0,archived
UTLI,UIL,Flexible Investment,registry,False,0,0.0,indexed_no_nav_announcements
VEIL,Vietnam Enterprise Investments,Country Specialist,announcements_only,False,2395,2476.0,archived
VNH,VietNam Holding,Country Specialist,announcements_only,False,1774,2389.0,archived
VOF,VinaCapital Vietnam Opportunity,Country Specialist,announcements_only,False,1832,2027.0,archived
VSL,VPC Specialty Lending Investments,Debt - Direct Lending,announcements_only,False,52,125.0,archived
VTA,Volta Finance,Debt - Structured Finance,registry,False,0,0.0,indexed_no_nav_announcements
WINV,Worsley Investors,UK Smaller Companies,announcements_only,False,51,72.0,archived
WWH,Worldwide Healthcare Trust,Biotechnology & Healthcare,registry,False,4716,5164.0,archived
