ticker,name,status,rows_indexed,nav_announcements
ASLI,abrdn European Logistics Income,details,1095,16
AUGM,Augmentum Fintech,details,786,1
AWEM,Ashoka WhiteOak Emerging Markets,details,1057,844
BSIF,Bluefield Solar Income Fund,details,1636,2
DPA,DP Aircraft I,details,319,0
EJFZ,EJF Investments,details,104,16
HOME,Home REIT,details,1290,0
JPEL,JPEL Private Equity,details,788,268
LBOW,ICG-Longbow Senior Secured UK Property Debt Invest,details,308,0
ORIT,Octopus Renewables Infrastructure Trust,details,470,26
RCP,RIT Capital Partners,details,1350,208
RECI,Real Estate Credit Investments,details,1136,0
RICA,Ruffer Investment Company,details,2700,1275
RIII,Rights & Issues Investment Trust,details,3250,1909
RSE,Riverstone Energy,details,914,0
SERE,Schroder European Real Estate,details,395,2
SMIF,TwentyFour Select Monthly Income,details,1682,780
TFG,Tetragon Financial Group,not_found,0,0
TFIF,TwentyFour Income Fund,details,1470,804
VEIL,Vietnam Enterprise Investments,details,3516,2476
VIP,Value and Indexed Property Income Trust,details,950,233
VSL,VPC Specialty Lending Investments,details,935,125
VTA,Volta Finance,not_found,0,0
WINV,Worsley Investors,details,496,72
