ticker,name,sector,is_vct,nav_route,currency,price_days,price_first,price_last,nav_first,nav_last,discount_days,fresh_days,median_nav_age,median_discount,last_discount,price_ccy,price_unit_status,nav_history_source,nav_frequency,median_gap_days,nav_obs
BVT,Baronsmead Venture Trust,VCT,True,registry,GBX,4984,2007-01-02,2026-09-22,2025-09-30,2026-08-31,227,227,23.0,-0.049167020783003945,-0.04949624341044878,GBp,ok,committed+s3_snapshot,monthly,25.0,14.0
CAT,CATCo Reinsurance Opportunities,Insurance & Reinsurance Strategies,False,registry,GBX,3537,2010-12-20,2024-12-19,2011-09-30,2021-09-30,0,0,417.0,,,USD,currency_mismatch,committed,adhoc,491.0,6.0
CATC,CATCo Reinsurance Opportunities C shares,Insurance & Reinsurance Strategies,False,announcements_only,GBX,2304,2015-11-09,2024-12-19,,,0,0,,,,USD,unresolved_no_nav_no_currency,,,,
CBA,Ceiba Investments,Property - Rest of World,False,announcements_only,,2000,2018-10-22,2026-09-22,2019-09-30,2026-03-31,1736,564,841.5,-0.6211142684922071,-0.9955927052939917,GBp,ok,s3_archive,semiannual,180.0,4.0
CCJI,CC Japan Income & Growth Trust,Japan,False,registry,GBX,2721,2015-12-15,2026-09-23,2015-12-15,2026-09-21,2720,2720,1.0,-0.05589311090838911,-0.08605737158105409,GBp,ok,committed+s3_snapshot,daily,1.0,2717.0
CCRD,Cordiant Digital Infrastructure C Share,Infrastructure,False,announcements_only,,0,,,,,0,0,,,,,,,,,
CDI,Candover,Private Equity,False,announcements_only,,2757,2007-01-03,2018-05-30,,,0,0,,,,,unresolved_no_nav_no_currency,,,,
CGI,Canadian General Investments,North America,False,announcements_only,GBX,4985,2007-01-02,2026-09-23,2009-03-23,2026-09-23,4422,2648,0.0,-0.41403648219378536,30.04064314426083,GBp,ok,committed+s3_archive+s3_snapshot,daily,1.0,3031.0
CGL,Castelnau Group,Flexible Investment,False,announcements_only,,1245,2021-10-18,2026-09-23,2022-03-08,2026-07-23,1147,1139,20.0,-0.02564102564102566,-0.20796460176991138,GBp,ok,s3_archive+s3_snapshot,monthly,31.0,41.0
CGT,Capital Gearing Trust,Flexible Investment,False,registry,GBX,4985,2007-01-02,2026-09-23,2008-12-10,2026-09-21,4491,3763,1.0,0.023684210526315752,-0.013821872777254551,GBp,ok,committed+s3_archive+s3_snapshot,daily,1.0,3146.0
