ticker,name,sector,is_vct,nav_route,currency,price_days,price_first,price_last,nav_first,nav_last,discount_days,fresh_days,median_nav_age,median_discount,last_discount,price_ccy,price_unit_status,nav_history_source,nav_frequency,median_gap_days,nav_obs
FTNI,Foresight 2 VCT Infrastructure shares,VCT Specialist: Infrastructure,True,announcements_only,,1,2026-07-17,2026-07-17,,,0,0,,,,GBP,assumed_from_currency,,,,
FTNP,Foresight 2 VCT Planned Exit shares,VCT Generalist,True,announcements_only,,935,2021-04-20,2025-01-02,,,0,0,,,,GBp,assumed_from_currency,,,,
FTSV,Foresight Solar & Technology VCT,VCT Specialist: Environmental,True,announcements_only,GBX,0,,,,,0,0,,,,,,,quarterly,112.5,15.0
FTV,Foresight VCT,VCT,True,announcements_only,GBX,4984,2007-01-02,2026-09-22,2025-03-31,2026-03-31,333,333,118.0,-0.11976911976911975,-0.11976911976911975,GBp,ok,committed,semiannual,170.0,4.0
FTVI,Foresight VCT Infrastructure shares,VCT Specialist: Infrastructure,True,announcements_only,,0,,,,,0,0,,,,,,,,,
FTVP,Foresight VCT Planned Exit shares,VCT Generalist,True,announcements_only,,0,,,,,0,0,,,,,,,,,
FVEN,Foresight Ventures VCT,VCT,True,announcements_only,GBX,4984,2007-01-02,2026-09-22,2025-06-16,2026-06-30,322,318,66.0,-0.0561797752808989,-0.04791154791154795,GBp,ok,committed+s3_snapshot,quarterly,65.0,6.0
FVV,Fuel Ventures VCT,VCT,True,announcements_only,,632,2024-03-22,2026-09-22,2024-09-30,2026-07-24,440,403,218.5,0.020199959192001682,-0.050959339086754096,GBp,rescaled_x100,committed,adhoc,288.5,3.0
FWT,Foresight Solar & Tech VCT FWT,VTC,False,announcements_only,,1448,2020-03-11,2026-09-22,2023-06-30,2026-06-30,761,761,139.0,-0.02263374485596714,-0.04977375565610864,GBp,ok,committed+s3_archive+s3_snapshot,quarterly,112.0,10.0
GABC,GCP Asset Backed Income C Shares,Sector Specialist: Debt,False,announcements_only,,0,,,,,0,0,,,,,,,quarterly,59.5,3.0
GABI,GCP Asset Backed Income,Debt - Direct Lending,False,registry,GBP,2758,2015-10-23,2026-09-23,2015-12-31,2025-12-31,2698,2377,81.0,-0.04354380270613789,-0.145542580461407,GBp,ok,committed+s3_archive,semiannual,165.0,33.0
GCL,Geiger Counter,Commodities & Natural Resources,False,registry,GBX,2274,2017-09-22,2026-09-23,2019-02-05,2026-09-21,1928,315,149.0,-0.9951408044828229,-0.10892610231986488,GBp,ok_recent_window,s3_archive+s3_snapshot,daily,1.0,244.0
GCP,GCP Infrastructure Investments,Infrastructure,False,registry,GBX,4086,2010-07-22,2026-09-23,2010-10-29,2026-06-30,4012,4012,41.0,0.06275034735984786,-0.14300202839756593,GBp,ok,committed+s3_snapshot,quarterly,87.0,111.0
GFIR,Global Fixed Income Realisation,Hedge Funds,False,announcements_only,,151,2018-05-16,2018-12-28,,,0,0,,,,,unresolved_no_nav_no_currency,,,,
GHV1,Gresham House Income & Growth VCT,VCT,True,registry,GBX,4985,2007-01-02,2026-09-23,2026-02-28,2026-02-28,127,0,117.0,-0.08286403861625102,-0.07481898632341111,GBp,ok,committed,single_observation,,1.0
GHV2,Gresham House Income & Growth 2 VCT,VCT,True,registry,GBX,4985,2007-01-02,2026-09-23,2026-02-28,2026-02-28,127,0,117.0,-0.08620343368745953,-0.08222181019070085,GBp,ok,committed,single_observation,,1.0
GMP,Gabelli Merchant Partners,Hedge Funds,False,announcements_only,,2319,2017-07-19,2026-09-22,,,0,0,,,,USD,unresolved_no_nav_no_currency,,,,
GOT,Global Opportunities Trust,Flexible Investment,False,registry,GBX,4985,2007-01-02,2026-09-23,2006-12-29,2026-09-21,4984,4984,1.0,-0.06270636885282316,-0.16474009993288086,GBp,ok,committed+s3_archive+s3_snapshot,daily,1.0,4313.0
GPM,Golden Prospect Precious Metals,Commodities & Natural Resources,False,registry,GBX,2279,2017-09-15,2026-09-23,2014-08-20,2026-09-21,2279,429,161.0,-0.9954865796399056,-0.08888358398981455,GBp,ok,committed+s3_archive+s3_snapshot,daily,1.0,453.0
GRID,Gresham House Energy Storage,Renewable Energy Infrastructure,False,announcements_only,,1985,2018-11-13,2026-09-23,2018-12-31,2026-03-31,1932,1842,125.0,0.05052526263131574,-0.15328212290502796,GBp,ok,committed,quarterly,104.0,17.0
GRIT,GRIT Investment Trust,Commodities & Natural Resources,False,registry,,3169,2014-03-07,2026-09-22,,,0,0,,,,GBp,assumed_from_currency,,,,
GROW,Molten Ventures,Growth Capital,False,announcements_only,,2597,2016-06-15,2026-09-23,2016-11-28,2026-06-09,2480,2360,114.0,-0.12975036104807097,0.008941877794336861,GBp,ok,committed,quarterly,91.0,31.0
GRP,Greencoat Renewables,Renewable Energy Infrastructure,False,registry,EUR,2317,2017-07-25,2026-09-23,,,0,0,,,,EUR,unresolved_no_nav_no_currency,,,,
GSCT,The Global Smaller Companies Trust,Global Smaller Companies,False,registry,GBX,4985,2007-01-02,2026-09-23,2006-12-29,2026-09-22,4985,4985,0.0,-0.05780040471089565,-0.04375280383021196,GBp,ok,committed+s3_archive+s3_snapshot,daily,1.0,4964.0
GSF,Gore Street Energy Storage,Renewable Energy Infrastructure,False,announcements_only,,2105,2018-05-25,2026-09-23,2018-06-30,2026-06-30,2020,1628,166.5,-0.00707290533188254,-0.3154017236586044,GBp,ok,committed+s3_archive+s3_snapshot,quarterly,99.0,18.0
GV1O,Gresham House Renewable Energy VCT 1,VCT Specialist: Environmental,True,announcements_only,GBX,3967,2011-01-10,2026-09-22,2011-03-31,2024-03-31,3872,2429,290.0,-0.07730672127588134,-0.8804347832565722,GBp,rescaled_x100,committed,semiannual,148.0,17.0
GV2O,Gresham House Renewable Energy VCT 2,VCT Specialist: Environmental,True,announcements_only,GBX,3967,2011-01-10,2026-09-22,2011-03-31,2024-03-31,3872,2429,290.0,-0.03758889087453465,-0.9993381468146573,GBp,ok,committed,semiannual,148.0,17.0
GVP,Gabelli Value Plus+,North America,False,registry,GBX,0,,,,,0,0,,,,,,,,,
GWI,Globalworth Real Estate Investments,Property Direct - Europe,False,announcements_only,,3327,2013-07-25,2026-09-23,2016-06-30,2016-06-30,0,0,1938.0,,,EUR,currency_mismatch,s3_archive,single_observation,,1.0
HAN,Hansa Investment Company,Flexible Investment,False,registry,GBX,4985,2007-01-02,2026-09-23,2007-01-02,2026-09-21,4985,3679,1.0,-0.35205834488578147,-0.4028662420382165,GBp,ok,committed+s3_archive+s3_snapshot,daily,1.0,3557.0
HANA,Hansa Investment Company,Flexible Investment,False,registry,GBX,4985,2007-01-02,2026-09-23,2026-08-25,2026-09-21,20,20,2.0,-0.39307492257988286,-0.3920092646207296,GBp,ok,committed+s3_snapshot,daily,1.0,20.0
HAST,Henderson Alternative Strategies,Flexible Investment,False,registry,GBX,0,,,,,0,0,,,,,,,,,
HDIV,Henderson Diversified Income,Debt - Loans & Bonds,False,registry,GBX,0,,,,,0,0,,,,,,,daily,1.0,3754.0
HEIC,Harmony Energy Income C Shares,Renewable Energy Infrastructure,False,announcements_only,,0,,,,,0,0,,,,,,,,,
HET,Henderson European Trust,Europe,False,registry,GBX,1,2025-09-25,2025-09-25,2025-09-19,2025-09-19,1,1,6.0,-0.9904513064586069,-0.9904513064586069,GBp,assumed_from_currency_thin_overlap,committed,daily,1.0,913.0
HFEL,Henderson Far East Income,Asia Pacific Equity Income,False,registry,GBX,4985,2007-01-02,2026-09-23,2007-01-02,2026-09-21,4984,4698,0.0,0.012658227848101222,0.040152963671128195,GBp,ok,committed+s3_snapshot,daily,1.0,4594.0
HGL,Henderson Global,Global,False,registry,GBP,0,,,,,0,0,,,,,,,,,
HGT,HgCapital Trust,Private Equity,False,announcements_only,GBX,4985,2007-01-02,2026-09-23,2006-12-31,2026-06-30,4935,4171,149.0,0.009046624913013224,-0.27642736009044666,GBp,ok,committed,quarterly,91.0,46.0
HHI,Henderson High Income Trust,UK Equity & Bond Income,False,registry,GBX,4985,2007-01-02,2026-09-23,2006-12-29,2026-09-21,4985,4870,1.0,-0.01294926004228325,-0.038189533239038176,GBp,ok,committed+s3_snapshot,daily,1.0,4646.0
HHV,Hargreave Hale AIM VCT,VCT AIM Quoted,True,registry,GBX,4985,2007-01-02,2026-09-23,2026-05-08,2026-09-18,0,0,6.0,,,GBp,unresolved_dispersed,committed+s3_archive+s3_snapshot,weekly,7.0,24.0
HHVT,Hargreave Hale AIM VCT 2,VCT AIM Quoted,True,registry,,320,2007-05-07,2018-03-23,,,0,0,,,,,unresolved_no_nav_no_currency,,,,
HICL,HICL Infrastructure,Infrastructure,False,announcements_only,GBX,4985,2007-01-02,2026-09-23,2007-03-31,2026-08-03,4760,3049,202.5,0.06393857990079521,133.60000610351562,GBp,ok,s3_archive,quarterly,91.0,42.0
HINC,Henderson International Income C shares,Global Equity Income,False,registry,,0,,,,,0,0,,,,,,,,,
HNE,Henderson EuroTrust,Europe,False,registry,GBX,0,,,,,0,0,,,,,,,daily,1.0,4074.0
HOME,Home REIT,Property - UK Residential,False,announcements_only,,1502,2020-10-12,2026-09-23,2021-02-28,2025-08-31,1365,484,473.0,-0.47513812154696133,-0.4696132385928329,GBp,ok,committed,quarterly,95.0,8.0
HOT,Henderson Opportunities Trust,UK All Companies,False,registry,GBX,0,,,,,0,0,,,,,,,daily,1.0,4251.0
HRI,Herald Investment Trust,Global Smaller Companies,False,registry,GBX,4985,2007-01-02,2026-09-23,2007-01-02,2026-09-21,4985,4985,1.0,-0.1606714628297362,-0.13065371286395544,GBp,ok,committed+s3_archive+s3_snapshot,daily,1.0,4864.0
HSL,Henderson Smaller Companies,UK Smaller Companies,False,registry,GBX,4985,2007-01-02,2026-09-23,2006-12-29,2026-09-21,4985,4843,1.0,-0.13753094059405935,-0.0937207122774133,GBp,ok,committed+s3_archive+s3_snapshot,daily,1.0,4630.0
HVPE,HarbourVest Global Private Equity,Private Equity,False,announcements_only,GBX,4103,2010-06-29,2026-09-23,2016-07-31,2026-07-31,2448,2303,36.0,-0.2483533073206986,-0.24715261958997725,GBp,ok,committed+s3_archive+s3_snapshot,monthly,29.0,123.0
HWSC,Hadrian's Wall Secured Investments C shares,Sector Specialist: Debt,False,announcements_only,,991,2022-10-20,2026-09-22,,,0,0,,,,USD,unresolved_no_nav_no_currency,,,,
HWSL,HWSI Realisation,Debt - Direct Lending,False,announcements_only,GBP,0,,,,,0,0,,,,,,,,,
HYG,Seneca Growth Capital VCT,VCT,True,announcements_only,GBX,4985,2007-01-02,2026-09-23,2023-09-30,2025-12-31,0,0,162.5,,,GBp,unresolved_scale,committed,adhoc,357.5,4.0
IAD,Invesco Asia Dragon Trust,Asia Pacific Equity Income,False,registry,GBX,4985,2007-01-02,2026-09-23,2011-08-23,2026-09-22,3811,3811,0.0,-0.10922443270127458,-0.06019202363367804,GBp,ok,committed+s3_archive+s3_snapshot,daily,1.0,3632.0
IBT,International Biotechnology,Biotechnology & Healthcare,False,registry,GBX,4985,2007-01-02,2026-09-23,2007-01-04,2026-09-22,4983,4662,0.0,-0.0995396522941503,-0.03392201433817099,GBp,ok,committed+s3_archive+s3_snapshot,daily,1.0,4599.0
ICGT,ICG Enterprise Trust,Private Equity,False,registry,GBX,4985,2007-01-02,2026-09-23,2015-04-27,2026-01-31,2884,2068,221.0,-0.08051628764597418,-0.3251833740831296,GBp,ok,committed,semiannual,182.0,14.0
IE1D,Ingenious Entertainment VCT 1 D shares,"VCT Specialist: Media, Leisure & Events Pre Qualifying",True,announcements_only,,0,,,,,0,0,,,,,,,,,
IEM,Impax Environmental Markets,Environmental,False,registry,GBX,4985,2007-01-02,2026-09-23,2007-01-02,2026-09-21,4984,4984,1.0,-0.09291591959542089,-0.10630959626699121,GBp,ok,committed+s3_archive+s3_snapshot,daily,1.0,4954.0
IEVD,Ingenious Entertainment VCT 2 D shares,"VCT Specialist: Media, Leisure & Events Pre Qualifying",True,announcements_only,,0,,,,,0,0,,,,,,,,,
IGC,India Capital Growth Fund,India / Indian Subcontinent,False,announcements_only,GBX,4985,2007-01-02,2026-09-23,2006-12-31,2026-09-22,4979,3565,3.0,-0.15055653192735796,-0.09411172622043273,GBp,ok,committed+s3_archive+s3_snapshot,daily,1.0,2504.0
IGET,Invesco Global Equity Income Trust,Global Equity Income,False,registry,GBX,4985,2007-01-02,2026-09-23,2023-11-14,2026-09-21,723,723,0.0,-0.00918122829218393,0.01978845083253189,GBp,ok,committed+s3_archive+s3_snapshot,daily,1.0,722.0
IGV,Income & Growth VCT,VCT Generalist,True,registry,,4981,2007-01-02,2026-09-17,,,0,0,,,,GBp,assumed_from_currency,,,,
IIT,Independent Investment Trust,UK All Companies,False,registry,GBX,0,,,,,0,0,,,,,,,,,
INOV,Schroders Capital Global Innovation Trust,Growth Capital,False,registry,GBX,2888,2015-04-21,2026-09-23,2015-04-21,2026-03-31,2887,2887,3.0,-0.29983902591539546,-0.24284396959694032,GBp,ok,committed+s3_archive,semiannual,179.5,1862.0
INPP,International Public Partnerships,Infrastructure,False,announcements_only,GBX,4985,2007-01-02,2026-09-23,2006-12-31,2025-12-31,4805,4171,154.0,0.04457751164337975,-0.08735332464146028,GBp,ok,committed+s3_archive,quarterly,86.5,58.0
INV,The Investment Company,Flexible Investment,False,registry,GBX,4984,2007-01-02,2026-09-22,2013-07-09,2026-09-18,3338,2984,5.0,-0.08607008503072688,-0.0019505851755526882,GBp,ok,committed+s3_archive+s3_snapshot,weekly,7.0,582.0
IPE,Invesco Enhanced Income,Debt - Loans & Bonds,False,registry,GBX,0,,,,,0,0,,,,,,,,,
IVI,Invesco Income Growth,UK Equity Income,False,registry,GBX,0,,,,,0,0,,,,,,,,,
IVPB,Invesco Select Trust - Balanced Risk Allocation sh,Flexible Investment,False,registry,GBX,0,,,,,0,0,,,,,,,daily,1.0,116.0
IVPM,Invesco Select Trust - Managed Liquidity share,Liquidity Funds,False,registry,GBX,0,,,,,0,0,,,,,,,daily,1.0,116.0
IVPU,Invesco Select Trust - UK Equity shares,UK Equity Income,False,registry,GBX,0,,,,,0,0,,,,,,,daily,1.0,116.0
JAGI,JPMorgan Asia Growth & Income,Asia Pacific Equity Income,False,registry,GBX,4985,2007-01-02,2026-09-23,2009-03-18,2026-09-22,4425,2979,0.0,-0.10663273256115935,0.003693459429915391,GBp,ok,committed+s3_archive+s3_snapshot,daily,1.0,2924.0
JAM,JPMorgan American,North America,False,registry,GBX,4985,2007-01-02,2026-09-23,2008-01-02,2026-09-22,4732,2989,0.0,-0.052793491570189754,-0.02958209422444824,GBp,ok,committed+s3_archive+s3_snapshot,daily,1.0,2925.0
JARA,JPMorgan Global Core Real Assets,Flexible Investment,False,registry,GBX,1752,2019-09-24,2026-09-01,2025-09-17,2026-03-16,242,242,58.0,-0.17183820323262455,-0.9910842862385706,GBp,ok,committed+s3_archive,quarterly,90.0,3.0
JCGI,JPMorgan China Growth & Income,China / Greater China,False,registry,GBX,4985,2007-01-02,2026-09-23,2009-03-18,2026-09-22,4425,2997,0.0,-0.13724554707379133,-0.10605444941080855,GBp,ok,committed+s3_archive+s3_snapshot,daily,1.0,2932.0
JCH,JPMorgan Claverhouse,UK Equity Income,False,registry,GBX,4985,2007-01-02,2026-09-23,2008-12-24,2026-09-22,4482,2998,0.0,-0.05917257077146526,-0.038529946844731655,GBp,ok,committed+s3_archive+s3_snapshot,daily,1.0,2926.0
JEDT,JPMorgan European Discovery,European Smaller Companies,False,registry,GBX,4985,2007-01-02,2026-09-23,2008-12-24,2026-09-22,4482,2987,0.0,-0.14219464113716695,-0.07406050838766387,GBp,ok,committed+s3_archive+s3_snapshot,daily,1.0,2926.0
JEFI,Jupiter Emerging & Frontier Income,Global Emerging Markets,False,registry,GBX,0,,,,,0,0,,,,,,,,,
JEGI,JPMorgan European Growth & Income,Europe,False,registry,GBX,4985,2007-01-02,2026-09-23,2022-02-07,2026-09-22,1168,1168,0.0,-0.10381015687453155,-0.04177069977731285,GBp,ok,committed+s3_archive+s3_snapshot,daily,1.0,1171.0
JEMA,"JPMorgan Emerging Europe, Middle East & Africa",Global Emerging Markets,False,registry,GBX,4985,2007-01-02,2026-09-23,2009-03-18,2026-09-22,4425,2979,0.0,-0.15437857357809215,2.317502444475485,GBp,ok,committed+s3_snapshot,daily,1.0,2924.0
JEMI,JPMorgan Emerging Markets Dividend Income,Global Emerging Markets,False,registry,GBX,4081,2010-07-29,2026-09-23,2010-07-29,2026-09-22,4081,2947,0.0,-0.08991957428796038,-0.07620263942103023,GBp,ok,committed+s3_archive+s3_snapshot,daily,1.0,2900.0
JETI,JPMorgan European Income,Europe,False,registry,GBX,3826,2007-01-02,2022-02-17,,,0,0,,,,GBp,assumed_from_currency,,,,
JFJ,JPMorgan Japanese,Japan,False,registry,GBX,4985,2007-01-02,2026-09-23,2009-03-18,2026-09-22,4425,2992,0.0,-0.10848305662952007,-0.06898830822526603,GBp,ok,committed+s3_archive+s3_snapshot,daily,1.0,2928.0
JGC,Jupiter Green Investment Trust,Environmental,False,registry,GBX,0,,,,,0,0,,,,,,,daily,1.0,2582.0
JGCI,JPMorgan Global Convertibles Income,Debt - Loans & Bonds,False,registry,GBX,0,,,,,0,0,,,,,,,,,
JGGC,JPMorgan Global Growth & Income C Shares,Global Equity Income,False,announcements_only,,0,,,,,0,0,,,,,,,,,
JGGI,JPMorgan Global Growth & Income,Global Equity Income,False,registry,GBX,4985,2007-01-02,2026-09-23,2009-03-18,2026-09-22,4425,2989,0.0,-0.021221307925508914,-0.029087422087262338,GBp,ok,committed+s3_archive+s3_snapshot,daily,1.0,2923.0
JIGC,JPMorgan Income & Growth,Split Capital Trust,False,registry,GBP,0,,,,,0,0,,,,,,,,,
JIGI,JPMorgan Income & Growth,Split Capital Trust,False,registry,,4985,2007-01-02,2026-09-23,2009-02-13,2026-09-22,4448,2990,0.0,-0.17289305191454724,-0.07407407407407407,GBp,ok,committed+s3_archive,daily,1.0,2922.0
JIL,Juridica Investments,Sector Specialist: Litigation,False,registry,,146,2018-05-16,2018-12-20,,,0,0,,,,,unresolved_no_nav_no_currency,,,,
JLIF,John Laing Infrastructure,Sector Specialist: Infrastructure,False,announcements_only,,95,2018-05-16,2018-10-01,,,0,0,,,,,unresolved_no_nav_no_currency,,,,
JMF,JPMorgan MidCap,UK All Companies,False,registry,GBX,4336,2007-01-02,2024-02-28,2007-09-25,2024-02-23,4151,2363,0.0,-0.030325880990446197,-0.13777618106700196,GBp,ok,committed,daily,1.0,2273.0
JMGI,JPMorgan Emerging Markets Growth & Income,Global Emerging Markets,False,registry,GBX,4985,2007-01-02,2026-09-23,2008-12-24,2026-09-22,4482,2998,0.0,-0.12218725985859202,-0.07757039594346749,GBp,ok,committed+s3_archive+s3_snapshot,daily,1.0,2927.0
JPB,JPMorgan Brazil,Country Specialist: Latin America,False,registry,GBX,0,,,,,0,0,,,,,,,,,
JPE,JPMorgan Elect Managed Growth,Global,False,registry,GBX,0,,,,,0,0,,,,,,,,,
JPEC,JPMorgan Elect Managed Cash,Liquidity Funds,False,registry,GBX,0,,,,,0,0,,,,,,,,,
JPEI,JPMorgan Elect Managed Income,UK Equity Income,False,registry,GBX,0,,,,,0,0,,,,,,,,,
JPEL,JPMorgan Private Equity,Split Capital Trust,False,announcements_only,,4984,2007-01-02,2026-09-22,2009-06-30,2016-01-31,0,0,1318.5,,,USD,currency_mismatch,committed+s3_archive,weekly,5.0,8.0
JPI,JPMorgan Income & Capital,Split Capital Trust,False,registry,GBP,2764,2007-01-03,2018-02-27,,,0,0,,,,,unresolved_no_nav_no_currency,,,,
JPSL,JPMorgan Senior Secured Loan,Sector Specialist: Debt,False,registry,,0,,,,,0,0,,,,,,,,,
JRIC,Japan Residential,Property Direct - Asia Pacific,False,announcements_only,,2262,2007-01-03,2015-12-31,,,0,0,,,,,unresolved_no_nav_no_currency,,,,
JSGI,JPMorgan Japan Small Cap Growth & Income,Japanese Smaller Companies,False,registry,GBX,4501,2007-01-02,2024-10-23,2009-03-18,2024-10-22,3941,2516,0.0,-0.13408982889733845,-0.9909331530421518,GBp,ok,committed,daily,1.0,2437.0
JUGI,JPMorgan UK Small Cap Growth & Income,UK Smaller Companies,False,registry,GBX,4985,2007-01-02,2026-09-23,2008-12-24,2026-09-22,4482,2998,0.0,-0.15580475045804448,-0.08191153448138622,GBp,ok,committed+s3_archive+s3_snapshot,daily,1.0,2923.0
JUKG,Jupiter UK Growth,UK All Companies,False,registry,GBX,0,,,,,0,0,,,,,,,,,
JUSC,JPMorgan US Smaller Companies,North American Smaller Companies,False,registry,GBX,4985,2007-01-02,2026-09-23,2008-12-24,2026-09-22,4482,2987,0.0,-0.09841053816339179,-0.08205932314125186,GBp,ok,committed+s3_archive+s3_snapshot,daily,1.0,2926.0
JZCP,JZ Capital Partners,Flexible Investment,False,registry,GBX,4984,2007-01-02,2026-09-22,2012-10-19,2014-08-22,3518,555,1868.5,-0.9530797101449275,-0.9788647342995169,GBp,ok,committed,adhoc,672.0,2.0
KPC,Keystone Positive Change,Global,False,registry,GBX,0,,,,,0,0,,,,,,,daily,1.0,3265.0
KWE,Kennedy Wilson Europe Real Estate,Property Direct - Europe,False,announcements_only,,0,,,,,0,0,,,,,,,,,
LBOW,ICG-Longbow Senior Secured UK Property Debt Invest,Property - Debt,False,announcements_only,GBX,3444,2013-02-05,2026-09-22,2013-07-31,2025-02-01,3280,2370,295.5,0.06660527931246163,1.5899999618530272,GBp,ok,s3_archive,semiannual,219.0,18.0
LEF,Ludgate Environmental,Sector Specialist: Environmental,False,announcements_only,,2508,2007-08-01,2017-07-24,,,0,0,,,,,unresolved_no_nav_no_currency,,,,
LIVE,Living REIT,Property - UK Residential,False,announcements_only,GBP,2304,2017-08-08,2026-09-23,2018-03-31,2025-12-31,2089,1493,245.0,-0.11232569781151358,-0.27385093715486497,GBp,ok,committed+s3_archive,adhoc,367.0,9.0
LMS,LMS Capital,Private Equity,False,registry,GBX,4985,2007-01-02,2026-09-23,2007-12-31,2025-12-31,4671,2315,406.0,-0.4034653465346535,-0.5666666560702853,GBp,ok,committed+s3_archive,adhoc,362.0,10.0
LSLI,London & St Lawrence,Global Equity Income,False,registry,GBP,2589,2007-01-03,2017-04-20,,,0,0,,,,,unresolved_no_nav_no_currency,,,,
LTI,Lindsell Train Investment Trust,Global,False,registry,GBP,4985,2007-01-02,2026-09-23,2009-03-18,2026-09-22,4425,533,190.0,7.938043911240042,-0.15680236593722452,GBP,rescaled_x100_recent_window,s3_archive+s3_snapshot,weekly,7.0,85.0
LWDB,Law Debenture Corporation,UK Equity Income,False,registry,GBX,4985,2007-01-02,2026-09-23,2007-01-02,2026-09-21,4985,4981,4.0,0.016276092692739885,0.003686176429721577,GBp,ok,committed+s3_archive+s3_snapshot,daily,1.0,2253.0
LWI,Lowland Investment Company,UK Equity Income,False,registry,GBX,4985,2007-01-02,2026-09-23,2006-12-29,2026-09-21,4985,4961,1.0,-0.05542544886807177,-0.07517309594460919,GBp,ok,committed+s3_snapshot,daily,1.0,4709.0
MAJE,Majedie Investments,Flexible Investment,False,registry,GBX,4985,2007-01-02,2026-09-23,2010-02-26,2026-08-31,0,0,156.0,,,GBp,unreliable_nav_series,s3_archive+s3_snapshot,monthly,15.0,111.0
MAV4,Maven Income and Growth VCT 4,VCT,True,announcements_only,GBX,4985,2007-01-02,2026-09-23,2025-12-31,2026-06-30,176,176,77.0,-0.06516609184970057,-0.06641000962463917,GBp,ok,committed+s3_archive+s3_snapshot,quarterly,59.0,5.0
MAVT,Momentum Multi-Asset Value,Flexible Investment,False,registry,GBX,4209,2007-01-02,2023-08-30,2008-06-30,2023-08-17,3829,2458,1.0,-0.050145808242778034,100.03653635481858,GBp,rescaled_x100,committed+s3_archive,daily,1.0,2240.0
MCP,Martin Currie Asia Unconstrained,Asia Pacific Income,False,registry,GBX,0,,,,,0,0,,,,,,,,,
MCT,Middlefield Canadian Income Trust,North America,False,announcements_only,GBX,1,2025-10-23,2025-10-23,,,0,0,,,,GBp,assumed_from_currency,,,,
MGCI,M&G Credit Income,Debt - Loans & Bonds,False,registry,GBX,1984,2018-11-14,2026-09-23,2019-11-14,2026-06-16,1731,1443,34.0,-0.006867406233491913,-0.01063949820947474,GBp,ok,committed,adhoc,335.0,41.0
MGHC,M&G High Income,Split Capital Trust,False,registry,GBP,0,,,,,0,0,,,,,,,,,
MGHZ,M&G High Income,Split Capital Trust,False,registry,,0,,,,,0,0,,,,,,,,,
MIG1,Maven Income and Growth VCT,VCT,True,announcements_only,GBX,4985,2007-01-02,2026-09-23,2025-08-31,2026-05-31,202,135,106.0,-0.07972173553025941,-0.09244642720012808,GBp,ok,committed+s3_archive+s3_snapshot,monthly,39.0,7.0
MIG2,Maven Income and Growth VCT 2,VCT Generalist,True,registry,,129,2018-05-16,2018-11-15,,,0,0,,,,,unresolved_no_nav_no_currency,,,,
MIG3,Maven Income and Growth VCT 3,VCT,True,announcements_only,GBX,4984,2007-01-02,2026-09-22,2025-05-31,2026-05-31,305,242,100.0,-0.07968574635241299,-0.07968574635241299,GBp,ok,committed+s3_archive+s3_snapshot,quarterly,49.5,7.0
MIG5,Maven Income and Growth VCT 5,VCT,True,registry,GBX,4984,2007-01-02,2026-09-22,2025-05-31,2026-05-31,305,246,101.0,-0.07890278486490176,-0.07890278486490176,GBp,ok,committed+s3_archive+s3_snapshot,quarterly,50.0,6.0
MIG6,Talisman First VCT,VCT Generalist,True,announcements_only,,0,,,,,0,0,,,,,,,,,
MIGO,MIGO Opportunities Trust,Flexible Investment,False,registry,GBX,4985,2007-01-02,2026-09-23,2014-07-31,2026-09-21,3069,3051,1.0,-0.029748283752860427,-0.026847220911578762,GBp,ok,committed+s3_archive+s3_snapshot,daily,1.0,3032.0
MINC,Miton UK Microcap C shares,UK Smaller Companies,False,registry,,0,,,,,0,0,,,,,,,,,
MINI,Miton UK Microcap Trust,UK Smaller Companies,False,registry,GBX,0,,,,,0,0,,,,,,,daily,1.0,2535.0
MMIT,Mobius Investment Trust,Global Emerging Markets,False,registry,GBX,2016,2018-10-01,2026-09-23,2018-10-01,2026-09-21,2016,2016,1.0,-0.055813118653933735,-0.09798285176190713,GBp,ok,committed+s3_archive+s3_snapshot,daily,1.0,2017.0
MNKS,Monks Investment Trust,Global,False,registry,GBX,4985,2007-01-02,2026-09-23,2007-01-02,2026-09-22,4985,4985,0.0,-0.10506596587176154,-0.046598511396217734,GBp,ok,committed+s3_archive+s3_snapshot,daily,1.0,4982.0
MNTC,Schiehallion C Shares,Growth Capital,False,announcements_only,#N/A,0,,,,,0,0,,,,,,,,,
MNTN,Schiehallion Fund,Growth Capital,False,registry,USD,1892,2019-03-27,2026-09-23,2019-12-31,2026-08-31,0,0,21.0,,,USD,currency_mismatch,committed+s3_archive+s3_snapshot,monthly,11.0,93.0
MPLF,Marble Point Loan Financing,Debt - Structured Finance,False,announcements_only,,1669,2018-02-12,2024-09-20,,,0,0,,,,USD,unresolved_no_nav_no_currency,,,,
MPO,Macau Property Opportunities,Property - Rest of World,False,announcements_only,GBX,4985,2007-01-02,2026-09-23,2010-09-30,2015-06-30,4007,1126,1205.0,-0.4703557312252964,-0.9796442683977572,GBp,ok,s3_archive,adhoc,639.0,6.0
MRC,Mercantile Investment Trust,UK All Companies,False,registry,GBX,4985,2007-01-02,2026-09-23,2007-11-02,2026-09-22,4772,2996,0.0,-0.09710610449304508,-0.11256795650783491,GBp,ok,committed+s3_archive+s3_snapshot,daily,1.0,2927.0
MRCH,Merchants Trust,UK Equity Income,False,registry,GBX,4985,2007-01-02,2026-09-23,2008-06-09,2026-09-22,4623,4470,1.0,-0.011355088297453242,-0.05672420885402629,GBp,ok,committed+s3_archive+s3_snapshot,daily,1.0,4199.0
