ticker,obs,median_abs_change,p99_abs_change,big_moves,jump_reversals,cum_assumed_share,median_abs_change_all,reliable,suspect_rate
SVM,3,0.04714322316167041,0.9722585567709257,1,1,0.3333333333333333,0.04317340617307186,True,0.3333333333333333
CGW,11,0.11489151873767267,44.361000000000004,5,2,0.7272727272727273,0.030563273553927628,True,0.18181818181818182
ATT,4669,0.00973770355944148,11.169771428571392,390,217,0.5699293210537588,0.009707457332031932,True,0.046476761619190406
BRIG,4732,0.0056048179565071354,7.984295652173583,345,211,0.18702451394759087,0.005627642458647053,True,0.04459002535925613
TEM,4572,0.005139115843507791,10.65815925925926,364,200,0.011811023622047244,0.005201142967219963,True,0.04374453193350831
MATE,642,0.0029056023953982213,10.096635541722327,27,8,0.037383177570093455,0.002958579881656709,True,0.012461059190031152
RKW,113,0.0038691523039043885,0.8763973468615867,2,1,0.9646017699115044,0.008020794652803476,True,0.008849557522123894
HAN,3518,0.0034920422134779305,1.1241312728127306,86,30,0.11455372370665151,0.0035189185422619396,True,0.008527572484366117
EGL,2339,0.00527167630057801,0.9672357733337182,39,19,0.2214621633176571,0.005264398654972635,True,0.008123129542539546
CYN,622,0.012066276637515527,3.157982090495189,66,5,0.1495176848874598,0.012336562834862286,True,0.008038585209003215
BHMG,305,0.005079006772009009,0.9902165739089462,6,2,0.9934426229508196,0.005330694150569915,True,0.006557377049180328
ATS,4465,0.00395099438892399,0.9926282436290416,78,28,0.1135498320268757,0.003960214847696597,True,0.006270996640537514
ACIC,2591,0.005124162396531351,1.0325610078329852,79,16,0.0385951370127364,0.005277321497221654,True,0.0061752219220378235
CMPG,4557,0.004205271975110225,0.9669450079283687,85,27,0.016897081413210446,0.004200906511405034,True,0.005924950625411455
PNL,4566,0.0022923568798517424,0.8571152293027405,69,26,0.014673674989049496,0.0022856744189021505,True,0.0056942619360490585
IGC,2297,0.006912850812407556,0.3103789377833381,24,13,0.11275576839355682,0.007468598675038518,True,0.0056595559425337396
TIGT,3559,0.0040582143856704445,0.9917177543849942,67,20,0.023321157628547345,0.004125288927099957,True,0.005619556055071649
