ticker,symbol,mode,status,rows,first,last,price_ccy
IVPM,IVPM.L,full,no_history,0,,,
IVPU,IVPU.L,full,no_history,0,,,
JAGI,JAGI.L,tail,ok,21,2026-08-03,2026-09-01,GBp
JAM,JAM.L,tail,ok,21,2026-08-03,2026-09-01,GBp
JARA,JARA.L,tail,ok,21,2026-08-03,2026-09-01,GBp
JCGI,JCGI.L,tail,ok,21,2026-08-03,2026-09-01,GBp
JCH,JCH.L,tail,ok,21,2026-08-03,2026-09-01,GBp
JEDT,JEDT.L,tail,ok,21,2026-08-03,2026-09-01,GBp
JEFI,JEFI.L,full,no_history,0,,,
JEGI,JEGI.L,tail,ok,21,2026-08-03,2026-09-01,GBp
JEMA,JEMA.L,tail,ok,21,2026-08-03,2026-09-01,GBp
JEMI,JEMI.L,tail,ok,21,2026-08-03,2026-09-01,GBp
JETI,JETI.L,full,ok,4078,2006-01-03,2022-02-17,GBp
JFJ,JFJ.L,tail,ok,21,2026-08-03,2026-09-01,GBp
JGC,JGC.L,full,no_history,0,,,
JGCI,JGCI.L,full,no_history,0,,,
JGGC,JGGC.L,full,no_history,0,,,
JGGI,JGGI.L,tail,ok,21,2026-08-03,2026-09-01,GBp
JIGC,JIGC.L,full,no_history,0,,,
JIGI,JIGI.L,tail,ok,21,2026-08-03,2026-09-01,GBp
JIL,JIL.L,full,ok,146,2018-05-16,2018-12-20,
JLIF,JLIF.L,full,ok,95,2018-05-16,2018-10-01,
JMF,JMF.L,full,ok,4588,2006-01-03,2024-02-28,GBp
JMGI,JMGI.L,tail,ok,21,2026-08-03,2026-09-01,GBp
JPB,JPB.L,full,no_history,0,,,
JPE,JPE.L,full,no_history,0,,,
JPEC,JPEC.L,full,no_history,0,,,
JPEI,JPEI.L,full,no_history,0,,,
JPEL,JPEL.L,tail,ok,21,2026-08-03,2026-09-01,USD
JPI,JPI.L,full,ok,3015,2006-01-03,2018-02-27,
JPSL,JPSL.L,full,no_history,0,,,
JRIC,JRIC.L,full,ok,2317,2006-10-12,2015-12-31,
JSGI,JSGI.L,full,ok,4753,2006-01-03,2024-10-23,GBp
JUGI,JUGI.L,tail,ok,21,2026-08-03,2026-09-01,GBp
JUKG,JUKG.L,full,no_history,0,,,
JUSC,JUSC.L,tail,ok,21,2026-08-03,2026-09-01,GBp
JZCP,JZCP.L,full,ok,5221,2006-01-03,2026-09-01,GBp
KAY,KAY.L,full,ok,4795,2006-01-03,2024-12-20,GBp
KPC,KPC.L,full,no_history,0,,,
KWE,KWE.L,full,no_history,0,,,
LABS,LABS.L,full,no_history,0,,,
LBOW,LBOW.L,tail,ok,25,2026-07-28,2026-09-01,GBp
LEF,LEF.L,full,ok,2508,2007-08-01,2017-07-24,
LIVE,LIVE.L,tail,ok,23,2026-07-28,2026-09-01,GBp
LMS,LMS.L,tail,ok,25,2026-07-28,2026-09-01,GBp
LSLI,LSLI.L,full,ok,2840,2006-01-03,2017-04-20,
LTI,LTI.L,tail,ok,21,2026-08-03,2026-09-01,GBP
LWDB,LWDB.L,tail,ok,21,2026-08-03,2026-09-01,GBp
LWI,LWI.L,tail,ok,21,2026-08-03,2026-09-01,GBp
LXI,LXI.L,full,no_history,0,,,
MAJE,MAJE.L,tail,ok,21,2026-08-03,2026-09-01,GBp
MATE,MATE.L,full,ok,1533,2018-03-02,2024-03-27,GBp
MAV4,MAV4.L,tail,ok,21,2026-08-03,2026-09-01,GBp
MAVT,MAVT.L,full,ok,4461,2006-01-03,2023-08-30,GBp
MCP,MCP.L,full,no_history,0,,,
MCT,MCT.L,full,ok,1,2025-10-23,2025-10-23,GBp
MGCI,MGCI.L,tail,ok,21,2026-08-03,2026-09-01,GBp
MGHC,MGHC.L,full,no_history,0,,,
MGHZ,MGHZ.L,full,no_history,0,,,
MHN,MHN.L,full,no_history,0,,,
MIG,MIG.L,full,no_history,0,,,
MIG1,MIG1.L,tail,ok,21,2026-08-03,2026-09-01,GBp
MIG2,MIG2.L,full,ok,129,2018-05-16,2018-11-15,
MIG3,MIG3.L,tail,ok,21,2026-08-03,2026-09-01,GBp
MIG4,MIG4.L,full,no_history,0,,,
MIG5,MIG5.L,tail,ok,21,2026-08-03,2026-09-01,GBp
MIG6,MIG6.L,full,no_history,0,,,
MIGO,MIGO.L,tail,ok,21,2026-08-03,2026-09-01,GBp
MINC,MINC.L,full,no_history,0,,,
MINI,MINI.L,full,no_history,0,,,
MMIT,MMIT.L,tail,ok,21,2026-08-03,2026-09-01,GBp
MNKS,MNKS.L,tail,ok,21,2026-08-03,2026-09-01,GBp
MNTC,MNTC.L,full,no_history,0,,,
MNTN,MNTN.L,tail,ok,21,2026-08-03,2026-09-01,USD
MPLF,MPLF.L,full,ok,1669,2018-02-12,2024-09-20,USD
MPO,MPO.L,full,ok,5117,2006-06-02,2026-09-01,GBp
MRC,MRC.L,tail,ok,21,2026-08-03,2026-09-01,GBp
MRCH,MRCH.L,tail,ok,21,2026-08-03,2026-09-01,GBp
MRV,MRV.L,tail,ok,21,2026-08-03,2026-09-01,GBp
MTE,MTE.L,tail,ok,21,2026-08-03,2026-09-01,GBp
MTH,MTH.L,full,ok,82,2018-05-16,2018-09-12,
MTU,MTU.L,tail,ok,21,2026-08-03,2026-09-01,GBp
MUT,MUT.L,tail,ok,21,2026-08-03,2026-09-01,GBp
MVCT,MVCT.L,tail,ok,25,2026-07-28,2026-09-01,GBp
MVI,MVI.L,tail,ok,21,2026-08-03,2026-09-01,GBp
MWY,MWY.L,tail,ok,21,2026-08-03,2026-09-01,GBp
MXF,MXF.L,full,no_history,0,,,
MYI,MYI.L,tail,ok,21,2026-08-03,2026-09-01,GBp
NAIT,NAIT.L,tail,ok,21,2026-08-03,2026-09-01,GBp
NAS,NAS.L,tail,ok,21,2026-08-03,2026-09-01,GBp
NAVF,NAVF.L,tail,ok,21,2026-08-03,2026-09-01,GBp
NBDD,NBDD.L,full,ok,1,2025-12-10,2025-12-10,USD
NBDG,NBDG.L,full,ok,1,2025-12-10,2025-12-10,GBp
NBDX,NBDX.L,full,ok,1,2025-12-10,2025-12-10,USD
NBLU,NBLU.L,full,no_history,0,,,
NBMI,NBMI.L,full,no_history,0,,,
NBPE,NBPE.L,tail,ok,21,2026-08-03,2026-09-01,GBp
NBPZ,NBPZ.L,full,no_history,0,,,
NCE,NCE.L,full,no_history,0,,,
NCYF,NCYF.L,tail,ok,21,2026-08-03,2026-09-01,GBp
NEP,NEP.L,full,ok,2940,2006-01-03,2017-09-13,
NESF,NESF.L,tail,ok,21,2026-08-03,2026-09-01,GBp
NRI,NRI.L,full,ok,144,2018-05-16,2018-12-17,
NTN,NTN.L,tail,ok,21,2026-08-03,2026-09-01,GBp
NTV,NTV.L,tail,ok,21,2026-08-03,2026-09-01,GBp
NVT,NVT.L,tail,ok,21,2026-08-03,2026-09-01,GBp
OAP3,OAP3.L,tail,ok,25,2026-07-28,2026-09-01,GBp
OAPC,OAPC.L,full,no_history,0,,,
OAPD,OAPD.L,full,no_history,0,,,
OCI,OCI.L,tail,ok,21,2026-08-03,2026-09-01,GBp
OCV3,OCV3.L,full,no_history,0,,,
OCV4,OCV4.L,full,no_history,0,,,
OEC1,OEC1.L,full,no_history,0,,,
OFG,OFG.L,tail,ok,25,2026-07-28,2026-09-01,GBp
OIT,OIT.L,tail,ok,21,2026-08-03,2026-09-01,GBp
ONWD,ONWD.L,tail,ok,21,2026-08-03,2026-09-01,GBp
OOA,OOA.L,tail,ok,21,2026-08-03,2026-09-01,GBp
ORIT,ORIT.L,tail,ok,21,2026-08-03,2026-09-01,GBp
OSEC,OSEC.L,tail,ok,21,2026-08-03,2026-09-01,GBp
OT1,OT1.L,tail,ok,21,2026-08-03,2026-09-01,GBp
OT3,OT3.L,tail,ok,21,2026-08-03,2026-09-01,GBp
OT4,OT4.L,tail,ok,21,2026-08-03,2026-09-01,GBp
OTV2,OTV2.L,tail,ok,25,2026-07-28,2026-09-01,GBp
OVC2,OVC2.L,full,no_history,0,,,
OXH,OXH.L,tail,ok,25,2026-07-28,2026-09-01,GBp
P2P2,P2P2.L,full,no_history,0,,,
PAC,PAC.L,tail,ok,21,2026-08-03,2026-09-01,GBp
PAIM,PAIM.L,tail,ok,21,2026-08-03,2026-09-01,GBp
PCFC,PCFC.L,full,no_history,0,,,
PCFT,PCFT.L,tail,ok,21,2026-08-03,2026-09-01,GBp
PCGH,PCGH.L,tail,ok,21,2026-08-03,2026-09-01,GBp
PCT,PCT.L,tail,ok,21,2026-08-03,2026-09-01,GBp
PCTN,PCTN.L,full,ok,5221,2006-01-03,2026-09-01,GBp
