month,month_end,market,segment,n_funds,sufficient,mean_discount,median_discount,cap_weighted_discount,p10_discount,p25_discount,p75_discount,p90_discount,std_discount,iqr_discount,pct_at_discount,pct_wider_than_10,pct_wider_than_20,pct_at_premium,n_with_market_cap,total_market_cap_local,mean_discount_pct,median_discount_pct,cap_weighted_discount_pct,p10_discount_pct,p25_discount_pct,p75_discount_pct,p90_discount_pct,std_discount_pct,iqr_discount_pct,pct_at_discount_pct,pct_at_discount_share_pct,pct_wider_than_10_share_pct,pct_wider_than_20_share_pct,pct_at_premium_share_pct
2007-01,2007-01-31,UK,Asia Pacific Equity,4,True,-0.04359315379154574,-0.04759235281619961,-0.04155061948909206,-0.054639584004448016,-0.0538183318043875,-0.037367174803357855,-0.029347364358920366,0.014339285647729842,0.016451157001029643,1.0,0.0,0.0,0.0,4,490.67795494250004,-4.359315379154574,-4.7592352816199615,-4.155061948909206,-5.463958400444802,-5.38183318043875,-3.7367174803357854,-2.9347364358920367,1.4339285647729842,1.6451157001029642,100.0,100.0,0.0,0.0,0.0
2007-01,2007-01-31,UK,Emerging & Frontier Equity,6,True,-0.08408438092271638,-0.09714300418784833,-0.09033015527868808,-0.103852356188948,-0.10015530905938672,-0.08763796045350766,-0.05125778239135281,0.033590856356533035,0.012517348605879053,1.0,0.3333333333333333,0.0,0.0,6,3002.8057041700004,-8.408438092271638,-9.714300418784832,-9.033015527868809,-10.3852356188948,-10.015530905938672,-8.763796045350766,-5.125778239135281,3.3590856356533036,1.2517348605879053,100.0,100.0,33.33333333333333,0.0,0.0
2007-01,2007-01-31,UK,Europe Equity,17,True,-0.05206612808716195,-0.05191730435885511,-0.06151631704258751,-0.09540853590109732,-0.07865308151093431,-0.03826938449240613,-0.010217724359503312,0.036115201416033554,0.040383697018528175,0.8823529411764706,0.058823529411764705,0.0,0.11764705882352941,17,3888.2373042675,-5.206612808716195,-5.1917304358855105,-6.151631704258751,-9.540853590109732,-7.865308151093431,-3.8269384492406133,-1.021772435950331,3.6115201416033553,4.038369701852817,88.23529411764706,88.23529411764706,5.88235294117647,0.0,11.76470588235294
2007-01,2007-01-31,UK,Global Equity,34,True,-0.04796602666482987,-0.0466990829562729,-0.08220395911967733,-0.10953357371169267,-0.09437265261573904,-0.010570822649805162,0.02219555015201634,0.05535622794324056,0.08380182996593388,0.8529411764705882,0.17647058823529413,0.0,0.14705882352941177,34,15554.198591010001,-4.796602666482987,-4.669908295627289,-8.220395911967733,-10.953357371169266,-9.437265261573904,-1.057082264980516,2.219555015201634,5.535622794324056,8.380182996593389,85.29411764705883,85.29411764705883,17.647058823529413,0.0,14.705882352941178
2007-01,2007-01-31,UK,Hedge & Multi-Asset,2,False,,,,,,,,,,,,,,2,246.49295787,,,,,,,,,,,,,,
2007-01,2007-01-31,UK,Japan Equity,25,True,-0.05839468313972769,-0.06740223673346835,-0.0632387201472625,-0.09940763813545501,-0.08267832219202231,-0.03593886644734101,-0.00789657955283047,0.03860005934885589,0.0467394557446813,0.96,0.04,0.0,0.04,25,3458.4208315674996,-5.839468313972769,-6.740223673346835,-6.32387201472625,-9.940763813545502,-8.267832219202232,-3.593886644734101,-0.7896579552830469,3.8600059348855886,4.67394557446813,96.0,96.0,4.0,0.0,4.0
2007-01,2007-01-31,UK,Latin America Equity,1,False,,,,,,,,,,,,,,1,186.38003669999998,,,,,,,,,,,,,,
2007-01,2007-01-31,UK,Liquidity & Cash,2,False,,,,,,,,,,,,,,2,45.421501,,,,,,,,,,,,,,
2007-01,2007-01-31,UK,North America Equity,6,True,-0.09069927628404635,-0.09341028803462909,-0.07249878564266587,-0.12778801632151143,-0.11506818367379798,-0.05867071788551406,-0.05089952449599855,0.03587342017071044,0.05639746578828392,1.0,0.5,0.0,0.0,6,1071.2547626725,-9.069927628404635,-9.341028803462908,-7.249878564266588,-12.778801632151144,-11.506818367379799,-5.8670717885514065,-5.0899524495998545,3.587342017071044,5.639746578828392,100.0,100.0,50.0,0.0,0.0
2007-01,2007-01-31,UK,Private Equity,1,False,,,,,,,,,,,,,,1,84.5,,,,,,,,,,,,,,
