month,month_end,market,sector_canon,n_funds,sufficient,mean_discount,median_discount,cap_weighted_discount,p10_discount,p25_discount,p75_discount,p90_discount,std_discount,iqr_discount,pct_at_discount,pct_wider_than_10,pct_wider_than_20,pct_at_premium,n_with_market_cap,total_market_cap_local,mean_discount_pct,median_discount_pct,cap_weighted_discount_pct,p10_discount_pct,p25_discount_pct,p75_discount_pct,p90_discount_pct,std_discount_pct,iqr_discount_pct,pct_at_discount_pct,pct_at_discount_share_pct,pct_wider_than_10_share_pct,pct_wider_than_20_share_pct,pct_at_premium_share_pct
2007-01,2007-01-31,UK,Asia Pacific,4,True,-0.04359315379154574,-0.04759235281619961,-0.04155061948909206,-0.054639584004448016,-0.0538183318043875,-0.037367174803357855,-0.029347364358920366,0.014339285647729842,0.016451157001029643,1.0,0.0,0.0,0.0,4,490.67795494250004,-4.359315379154574,-4.7592352816199615,-4.155061948909206,-5.463958400444802,-5.38183318043875,-3.7367174803357854,-2.9347364358920367,1.4339285647729842,1.6451157001029642,100.0,100.0,0.0,0.0,0.0
2007-01,2007-01-31,UK,Asia Pacific - ex Japan,13,True,-0.05650535508998118,-0.06740223673346835,-0.06316328333978026,-0.09899565440513385,-0.082225416217511,-0.03593886644734101,-0.010488083427230052,0.04183491358662655,0.046286549770169994,0.9230769230769231,0.0,0.0,0.07692307692307693,13,2071.67813574,-5.650535508998118,-6.740223673346835,-6.316328333978026,-9.899565440513385,-8.2225416217511,-3.593886644734101,-1.0488083427230053,4.183491358662654,4.628654977017,92.3076923076923,92.3076923076923,0.0,0.0,7.6923076923076925
2007-01,2007-01-31,UK,Asia Pacific - inc Japan,3,True,-0.09702206490788938,-0.09902463217060675,-0.09705976911918711,-0.10886011820212879,-0.10517181094030803,-0.08987360250682941,-0.08438298470856301,0.015396197192990123,0.015298208433478622,1.0,0.3333333333333333,0.0,0.0,3,261.21506999,-9.702206490788939,-9.902463217060674,-9.705976911918711,-10.886011820212879,-10.517181094030803,-8.98736025068294,-8.438298470856301,1.5396197192990122,1.5298208433478622,100.0,100.0,33.33333333333333,0.0,0.0
2007-01,2007-01-31,UK,Biotechnology & Healthcare,3,True,-0.0417361536234333,-0.036164428700881435,-0.055148002973647796,-0.06302916092071612,-0.05295488633827811,-0.027731558447312565,-0.022671836295171242,0.025680719593784738,0.02522332789096554,1.0,0.0,0.0,0.0,3,430.33183139000005,-4.17361536234333,-3.6164428700881435,-5.514800297364779,-6.302916092071611,-5.29548863382781,-2.7731558447312565,-2.2671836295171244,2.5680719593784738,2.522332789096554,100.0,100.0,0.0,0.0,0.0
2007-01,2007-01-31,UK,Commodities & Natural Resources,3,True,-0.09491363100685817,-0.08537821942810797,-0.12479564802512072,-0.12384712860958087,-0.10942128766652853,-0.0756382685578127,-0.06979429803563553,0.03477765713187106,0.03378301910871584,1.0,0.3333333333333333,0.0,0.0,3,858.6359384900001,-9.491363100685817,-8.537821942810798,-12.479564802512073,-12.384712860958087,-10.942128766652853,-7.56382685578127,-6.979429803563553,3.477765713187106,3.378301910871584,100.0,100.0,33.33333333333333,0.0,0.0
2007-01,2007-01-31,UK,Environmental,2,False,,,,,,,,,,,,,,2,353.7732563875,,,,,,,,,,,,,,
2007-01,2007-01-31,UK,Europe,13,True,-0.04814472578892414,-0.05191730435885511,-0.0551962951312049,-0.08936813771099632,-0.07133975753807897,-0.03826938449240613,-0.0019002213840573802,0.03644039217781311,0.03307037304567284,0.8461538461538461,0.07692307692307693,0.0,0.15384615384615385,13,2885.3083762324995,-4.814472578892414,-5.1917304358855105,-5.51962951312049,-8.936813771099631,-7.133975753807897,-3.8269384492406133,-0.190022138405738,3.6440392177813115,3.307037304567284,84.61538461538461,84.61538461538461,7.6923076923076925,0.0,15.384615384615385
2007-01,2007-01-31,UK,European Emerging Markets,2,False,,,,,,,,,,,,,,2,485.96239535,,,,,,,,,,,,,,
2007-01,2007-01-31,UK,European Smaller Companies,4,True,-0.06481068555643482,-0.07128656248659071,-0.079698275553459,-0.09543283395965335,-0.09539638687181931,-0.04070086117120622,-0.02900783560909158,0.036898496175798996,0.05469552570061309,1.0,0.0,0.0,0.0,4,1002.9289280350001,-6.481068555643482,-7.128656248659071,-7.9698275553459,-9.543283395965336,-9.539638687181931,-4.070086117120622,-2.900783560909158,3.6898496175799,5.469552570061309,100.0,100.0,0.0,0.0,0.0
2007-01,2007-01-31,UK,Financials,3,True,-0.059687692702771335,-0.09341031076631634,-0.03568707517560282,-0.16207711427711574,-0.13632706296056596,9.036852325078337e-05,0.056190776096991066,0.13950851887765361,0.13641743148381674,0.6666666666666666,0.3333333333333333,0.0,0.3333333333333333,3,95.64555516499999,-5.968769270277133,-9.341031076631634,-3.5687075175602825,-16.207711427711573,-13.632706296056597,0.009036852325078337,5.619077609699106,13.950851887765362,13.641743148381675,66.66666666666666,66.66666666666666,33.33333333333333,0.0,33.33333333333333
